,Statistic,#,Full Name,Year,Pos.,Ht.,Wt.,Hometown,Current School Name,High School,Twitter,Instagram,Image,Name,Title
52,,49.0,Ryan Kost,Gr.,P,6-2,220.0,"Newton, CT",Monmouth,Newtown,ryankost5,ryankost,,,
53,,50.0,Caleb Dennis,Jr.,LB,6-1,230.0,"Olney, MD",Monmouth,Our Lady of Good Counsel,calebden5,calebden5,,,
54,,51.0,Tyler Delgado,Sr.,LB,6-2,210.0,"Westfield, MA",Monmouth,Loomis Chafee,tylerdelgado17,tylerdel7,,,
55,,52.0,Dale Sieczkowski,Sr.,LB,6-2,200.0,"Manalapan, NJ",Monmouth,Manalapan,,dalesieczkowski13,,,
56,,53.0,Kevin Shriner,Fr.,OL,6-2,290.0,"Cranford, NJ",Monmouth,Cranford,BooShriner,Kevinshriner_,,,
57,,54.0,Dalton Short,Jr.,LB,6-2,210.0,"Medford Lakes, NJ",Monmouth,Shawnee,dshort4689,daltonshort5,,,
58,,55.0,Ryan Moran,Sr.,LB,5-10,215.0,"Ocean, NJ",Monmouth,Ocean Township,Ryanmoran24Ry,ryan.moran1,,,
59,,56.0,Andrew Vera,Jr.,LB,6-1,210.0,"Matawan, NJ",Monmouth,Old Bridge,Andrewvera6,andrew__vera,,,
60,,57.0,Bryce Rooks,Fr.,DL,6-1,280.0,"Warren, NJ",Monmouth,St. Peter's Prep,RooksBryce59,_brycerooks,,,
61,,58.0,Sheku Tonkara,Jr.,DL,6-2,265.0,"Woodbridge, VA",Monmouth,Woodbridge,D1Shek,d1shek,,,
62,,59.0,Adrian Hawkins,So.,OL,6-6,295.0,"Baltimore, MD",Monmouth,DeMatha Catholic,,adrianhawkinsjr,,,
63,,60.0,Anthony Buscemi,Sr.,K,6-2,205.0,"Smyrna, DE",Monmouth,Smyrna,,abuscemii,,,
64,,60.0,David Dutra,So.,OL,6-4,275.0,"Vineland, NJ",Monmouth,Vineland,ddutra77,,,,
65,,61.0,Pat Hayden,Sr.,DL,6-2,265.0,"Deptford, NJ",Monmouth,Gateway Regional,PMHayden5,p.hayden5,,,
66,,62.0,JT Cornelius,Jr.,OL,6-6,285.0,"Toms River, NJ",Monmouth,Southern Regional,,jt_cornelius,,,
67,,63.0,Dan Doyle,Jr.,OL,6-5,300.0,"Staten Island, NY",Monmouth,St. Joseph's By the Sea,DanDoyle6404,dan.doyle63,,,
68,,64.0,Austin Fischer,Sr.,OL,6-3,300.0,"Holmdel, NJ",Monmouth,Holmdel,austin_fischer,Austinfischer8,,,
69,,64.0,Joe Pronchick,So.,OL,6-2,285.0,"Tabernacle, NJ",Monmouth,Seneca,joepronchick,joe.pronchick,,,
70,,65.0,Justin Tucker,Fr.,OL,6-5,245.0,"Toms River, NJ",Monmouth,Toms River East / Ocean CC,JTucker1017,justinntuckerr,,,
71,,66.0,Kent Vines,5th,LS,6-1,270.0,"Durham, NC",Monmouth,Jordan,kentv12,kentvines66_,,,
72,,67.0,Kevin Pineda,So.,OL,6-4,295.0,"Blue Bell, PA",Monmouth,Wissahickon,KevinPineda217,kevin._.pineda,,,
73,,68.0,Ed Gatling,Sr.,OL,6-3,315.0,"Temple Hills, MD",Monmouth,St. Francis Academy,bigeze1,_.ed68,,,
74,,69.0,Justin Szuba,Gr.,OL,6-8,310.0,"Brick, NJ",Monmouth,Brick Memorial,szubason1,szubason,,,
75,,70.0,Greyson Brockriede,Fr.,OL,6-3,300.0,"Rumson, NJ",Monmouth,The Hun School of Princeton,Greyson1232,greybrock,,,
76,,71.0,Kyrik Mason,So.,OL,6-5,295.0,"Columbia, MD",Monmouth,St. John's Catholic,KyrikMason,yeahh.reek,,,
77,,72.0,Shalik Hubbard,Fr.,OL,6-4,295.0,"Hackensack, NJ",Monmouth,Hackensack,HubbardShalik,shalikhubbard_,,,
78,,72.0,Korede Sogbesan,Fr.,DL,6-3,230.0,"Laurel, MD",Monmouth,Atholton,kingk223,,,,
79,,73.0,Oliver Jervis,Sr.,OL,6-5,300.0,"Sellersville, PA",Monmouth,Pennridge,Jervis_Oliver17,ollytrolly227,,,
80,,74.0,Tyler Williams,5th,OL,6-3,300.0,"Pine Bush, NY",Monmouth,Don Bosco,twilliams_74,twill_74,,,
81,,75.0,Stephen Reutlinger Jr.,Fr.,DL,6-2,255.0,"Perkasie, PA",Monmouth,Pennridge,ReutlingerJr,slreutlinger,,,
82,,75.0,James Voss,Fr.,OL,6-5,310.0,"Exton, PA",Monmouth,Downingtown East / Fork Union,James_Voss75,james_voss75,,,
83,,76.0,Greg Anderson,Sr.,OL,6-5,320.0,"Carlstadt, NJ",Monmouth,Becton Regional,Greg_Anderson76,grizzley_greg_,,,
84,,77.0,Jordan Hall,Sr.,OL,6-4,310.0,"Brooklyn, NY",Monmouth,James Madison HS,J_Hall77,,,,
85,,78.0,Will Argo,Sr.,OL,6-4,325.0,"Georgetown, DE",Monmouth,Sussex Technical,WillArgo12,wea.78,,,
86,,79.0,TJ Lewis,So.,OL,6-1,285.0,"Edgewood, MD",Monmouth,McDonogh School,tjlewis14,tjl3wis,,,
87,,80.0,Will Silverman,So.,WR,6-1,190.0,"Doylestown, PA",Monmouth,Central Bucks East,silverw24,,,,
88,,81.0,Ashanti Caviness Jr.,So.,TE,6-6,230.0,"Bogota, NJ",Monmouth,Bogota,AshantiCaviness,yvng.ac_,,,
89,,82.0,Chris Kessler,So.,WR,6-4,205.0,"Oceanport, NJ",Monmouth,Shore Regional,chriskessler22,chriskessler__,,,
90,,83.0,TJ Speight,So.,WR,5-11,175.0,"Forte Meade, MD",Monmouth,Meade,,,,,
91,,84.0,Patrick Murphy,Fr.,WR,6-0,200.0,"New Windsor, NY",Monmouth,Cornwall Central,pat_murphy04,patrickmurphy4_,,,
92,,85.0,Gavin Nelson,Fr.,WR,6-0,175.0,"Reisterstown, MD",Monmouth,Franklin,,,,,
93,,86.0,Jack Neri,Jr.,TE,6-3,240.0,"Doylestown, PA",Monmouth,Central Bucks West,jackneri12,neri_jack,,,
94,,87.0,Sean Fleming,Sr.,TE,6-4,225.0,"Dobbs Ferry, NY",Monmouth,Iona Prep,sflem6,Sean.fleming6,,,
95,,88.0,Justin Marcus,Gr.,TE,6-5,235.0,"Morganville, NJ",Monmouth,Marlboro,justin__marcus,justin__marcus,,,
96,,89.0,Korey McLeod,Sr.,TE,6-3,210.0,"Frederick, MD",Monmouth,Avalon School,_5trilll,kj.cloudy,,,
97,,89.0,Miles Mitchell,Fr.,DL,6-4,220.0,"New Milford, NJ",Monmouth,Teaneck / Lackawanna College,Mitchell18Miles,miles_mitchell18,,,
98,,90.0,Brendan Bigos,Fr.,DL,6-4,250.0,"Red Bank, NJ",Monmouth,Middletown South,BrendanBigs66,brendanbigs90,,,
99,,91.0,Matt Clark,Jr.,DL,6-3,295.0,"Dudley, MA",Monmouth,Shepherd Hill Regional,,m_clark95,,,
100,,92.0,Chris King,Fr.,DL,6-3,260.0,"Queens, NY",Monmouth,Paramus Catholic / Buffalo,ChrisKing0329,itz.chrisking,,,
101,,93.0,Phil Long,So.,DL,6-2,270.0,"Chalfont, PA",Monmouth,Pennridge,phillong416,phil.long_,,,
102,,94.0,Chance Smith,Sr.,DL,6-3,290.0,"Hawley, PA",Monmouth,Wallenpaupack Area,chance_smith71,chance_smith71,,,
103,,95.0,Justin O'Bannon,Jr.,DL,6-5,245.0,"Bel Air, MD",Monmouth,Bel Air,justinobannon75,yeahh_datsjusty,,,
104,,96.0,Dominick Spano,5th,DL,6-3,285.0,"Freehold, NJ",Monmouth,St. John Vianney / Stonehill,,domspano54,,,
105,,97.0,Daviyon Johnson,Sr.,DL,6-2,310.0,"Edgewood, MD",Monmouth,Edgewood,DmvDavo,,,,
106,,99.0,Nick Shoemaker,Gr.,DL,6-2,280.0,"Dunmore, PA",Monmouth,Dunmore,nickshoe99,nickshoe99,,,
0,,,,,,,,,Monmouth,,,,,Kevin Callahan,Head Coach
1,,,,,,,,,Monmouth,,,,,Andy Bobik,Associate Head Coach/Defensive Coordinator
2,,,,,,,,,Monmouth,,,,,Jeff Gallo,Offensive Coordinator/Tight Ends Coach
3,,,,,,,,,Monmouth,,,,,Sam Dorsett,Running Backs Coach/Special Teams Coordinator
4,,,,,,,,,Monmouth,,,,,Brian Gabriel,Run Game Coordinator/Offensive Line Coach
5,,,,,,,,,Monmouth,,,,,Jimmy Robertson,Pass Game Coordinator/Quarterbacks Coach
6,,,,,,,,,Monmouth,,,,,Kevin Callahan Jr.,Wide Receivers Coach
7,,,,,,,,,Monmouth,,,,,Andrew Kirkland,Linebackers Coach / Director of Operations
8,,,,,,,,,Monmouth,,,,,David Kunyz,Defensive Line Coach
9,,,,,,,,,Monmouth,,,,,Bishop Neal,Defensive Backs Coach
10,,,,,,,,,Monmouth,,,,,Dennis Long,Special Teams Quality Control
11,,,,,,,,,Monmouth,,,,,Elijah Harrison,"Defense Quality Control, Assistant Defensive Backs Coach"
12,,,,,,,,,Monmouth,,,,,Ryan Starace,Offensive Quality Control
