,Statistic,No.,Full Name,Pos.,Cl.,Ht.,Wt.,Hometown / High School,Image,Name,Title
43,,28.0,Will Perez,LB,Sr.,6-3,220.0,"North Caldwell, N.J. / West Essex",,,
44,,29.0,Zachary Bouggess,DB,Sr.,5-8,170.0,"Swedesboro, N.J. / St. Joseph's Prep",,,
45,,29.0,Dareion Murphy,RB,Fr.,6-0,180.0,"Floresville, Texas / Floresville",,,
46,,30.0,Dawson De Iuliis,DB,Sr.,5-9,195.0,"Yardley, Pa. / St. Joseph's Prep",,,
47,,31.0,Jackson Fischer,DB,So.,5-10,180.0,"Manhattan Beach, Calif. / Mira Costa",,,
48,,32.0,Caden Dumas,TE,Sr.,6-5,250.0,"Holden, Mass. / Choate Rosemary Hall",,,
49,,32.0,Jalen Jones,DB,Fr.,5-8,180.0,"Yorba Linda, Calif. / Santa Margarita Catholic",,,
50,,33.0,Ike Hall,LB,Sr.,6-1,230.0,"San Diego, Calif. / St. Augustine",,,
51,,34.0,Davis Kline,RB,Sr.,5-11,215.0,"Everett, Pa. / Bedford",,,
52,,34.0,Dyami Rios,LB,So.,6-1,235.0,"Keizer, Or. / McNary High",,,
53,,35.0,Jackson Ford,LB,So.,6-0,220.0,"Chandler, Ariz. / Perry",,,
54,,36.0,Sekou Roland,LB,Fr.,6-1,220.0,"Philadelphia, Pa. / Deerfield Academy (Mass.)",,,
55,,37.0,Samy Lamothe,DB,So.,5-10,200.0,"Malden, Mass. / Everett",,,
56,,38.0,Joseph Dalsey,FB,Sr.,6-1,230.0,"Medford, N.J. / Shawnee",,,
57,,39.0,Lucas Warfield,RB,Sr.,5-10,200.0,"Bowie, Md. / Gonzaga College Prep",,,
58,,40.0,Marco Scarano,LB,Fr.,6-0,200.0,"Southington, Conn. / Avon Old Farms",,,
59,,41.0,Connor Hulstein,TE,So.,6-5,215.0,"Frisco, Texas / Liberty",,,
60,,43.0,Joseph Bonczek,LB,Sr.,6-1,225.0,"Northfield, N.J. / St. Augustine Prep",,,
61,,43.0,Tyler Picinic,TE,So.,6-3,230.0,"New Milford, N.J. / New Milford",,,
62,,44.0,Kevin Bruce,DL,Sr.,6-1,255.0,"Needham, Mass. / Needham",,,
63,,45.0,Nate Martey,DL,So.,6-1,270.0,"Orleans, Ont. / The Loomis Chaffee School",,,
64,,46.0,William Buhay,DB,Jr.,5-9,155.0,"Atlanta, Ga. / The Westminster School",,,
65,,47.0,Simon Brackin,TE,So.,6-3,250.0,"Jacksonville, Fla. / The Bolles School",,,
66,,47.0,Tahj Owens,DB,Fr.,5-10,195.0,"Chino Hills, Calif. / Loyola",,,
67,,48.0,Solomon Williams,DB,Fr.,5-11,190.0,"Carmel, Ind. / Carmel",,,
68,,49.0,Will Beesley,LB,Fr.,5-10,200.0,"Rochester Hills, Mich. / De La Salle",,,
69,,50.0,Manus McCracken,LB,Sr.,5-9,230.0,"Mt. Carmel, Pa. / Mt. Carmel",,,
70,,52.0,Tola Banjoko,DL,Sr.,6-4,250.0,"Fort McMurray, Alberta / Episcopal",,,
71,,53.0,Blake Feigenspan,OL,Sr.,6-3,275.0,"Kaneohe, Hawaii / Punahou School",,,
72,,53.0,Mark Anthony Prescott,LB,So.,6-2,240.0,"Clarksville, Tenn. / Rossview",,,
73,,54.0,Carson Irons,LB,So.,5-11,205.0,"Fullerton, Calif. / Sunny Hills",,,
74,,54.0,William Suter,LS,Jr.,5-11,220.0,"Cary, N.C. / Green Hope",,,
75,,55.0,Ethan Puckett,LB,Fr.,5-9,195.0,"Westfield, N.C. /",,,
76,,56.0,Scott Becker,OL,Fr.,6-2,300.0,"Briarcliff Manor, N.Y. / Iona Prep.",,,
77,,56.0,Anthony Corbin,LB,Sr.,5-10,200.0,"Hackettstown, N.J. / Bergen Catholic",,,
78,,57.0,Lance Reaves-Hicks,DL,So.,5-11,320.0,"Piqua, Ohio / Piqua",,,
79,,57.0,Jaden Wedderburn,OL,Fr.,6-4,290.0,"Glassboro, N.J. / The Peddie School",,,
80,,58.0,Aaron Richard,DL,Fr.,6-1,230.0,"Gadsden, Ala. / Gadsden City",,,
81,,59.0,Ryan Savage,DL,Jr.,6-3,240.0,"Rydal, Pa. / La Salle College",,,
82,,60.0,Cooper Koers,OL,Fr.,6-5,270.0,"Indianapolis, Ind. / Cathedral",,,
83,,61.0,Richard Krebs,OL,Sr.,6-3,245.0,"Huntington Beach, Calif. / Servite",,,
84,,62.0,Charlie Lingon,DL,Fr.,6-2,265.0,"Wheaton, Ill. / Wheaton North",,,
85,,63.0,David Heath,OL,So.,6-5,255.0,"Sparta, N.J. / Pope John XXIII",,,
86,,64.0,Zackary Zambrano,OL,Sr.,6-3,310.0,"Fort Lauderdale, Fla. / American Heritage",,,
87,,65.0,Connor Scaglione,OL,Sr.,6-4,305.0,"Closter, N.J. / Northern Valley Regional",,,
88,,66.0,Will Reed,OL,So.,6-5,285.0,"Redmond, Wash. / Eastside Catholic High",,,
89,,67.0,Henry Byrd,OL,Sr.,6-5,310.0,"Nashville, Tenn. / Ensworth",,,
90,,67.0,Ryan Ives,DL,So.,6-4,250.0,"Sarasota, Fla. / Manatee",,,
91,,68.0,Tanner Mehrens,DL,Fr.,6-4,225.0,"San Clemente, Calif. / San Clemente",,,
92,,69.0,Justice Musser,OL,Fr.,6-5,245.0,"Bristol, Tenn. / Tennessee HS",,,
93,,70.0,Nick Basten,OL,Sr.,6-4,275.0,"Woodbury, Minn. / East Ridge",,,
94,,71.0,Jalen Travis,OL,Jr.,6-7,310.0,"Minneapolis, Minn. / DeLaSalle",,,
95,,72.0,Kurt Bernard,OL,Sr.,6-4,280.0,"Coral Springs, Fla. / North Broward Prep",,,
96,,73.0,Jonathan Boyd,OL,Sr.,6-6,285.0,"West Sacramento, Calif. / Capital Christian School",,,
97,,74.0,Mac Duda,OL,So.,6-5,290.0,"Jefferson Hills, Pa. / Thomas Jefferson",,,
98,,75.0,Jack DelGarbino,DL,Jr.,5-11,290.0,"Girard, Ohio / Girard",,,
99,,76.0,Tommy Matheson,OL,So.,6-3,295.0,"Gurnee, Ill. / Warren Township",,,
100,,77.0,Arman Young,OL,So.,6-3,260.0,"Wyckoff, N.J. / St. Joseph Regional",,,
101,,78.0,Jonathan Pittman,DL,So.,6-2,305.0,"Roswell, Ga. / Milton",,,
102,,79.0,Nicholas Hilliard,OL,Jr.,6-1,290.0,"Darrow, La. / Ascension Catholic",,,
