,Statistic,#,Full Name,Academic Year,Pos.,Hometown / High School,Ht.,Wt.,Current School Name,Custom Field 1,Custom Field 2,Custom Field 3,Image,Name,Title
102,,,Sheaquan Walters,Fr.,DB,"Nyack, N.Y. / Don Bosco",6-2,170.0,Maine,,,,,,
0,,,,,,,,,Maine,,,,,Jordan Stevens,Head Coach
1,,,,,,,,,Maine,,,,,Steve Cooper,Offensive Coordinator/QB
2,,,,,,,,,Maine,,,,,Jeff Comissiong,Defensive Coordinator / Linebackers
3,,,,,,,,,Maine,,,,,Jimmy Walsh,Special Teams Coordinator / Cornerbacks
4,,,,,,,,,Maine,,,,,Mikahael Waters,Wide Receivers / Co- Special Teams Coordinator / Pro Liaison
5,,,,,,,,,Maine,,,,,Patrick Kugler,Offensive Line
6,,,,,,,,,Maine,,,,,Pushaun Brown,Running Backs
7,,,,,,,,,Maine,,,,,Tom McEntire,Defensive Pass Game Coordinator - Defensive Backs
8,,,,,,,,,Maine,,,,,Spencer Carey,Outside Linebackers / Recruiting Coordinator
9,,,,,,,,,Maine,,,,,Umberto Di Meo,Defensive Line
10,,,,,,,,,Maine,,,,,Tom Hanscom,Director of Football Operations
11,,,,,,,,,Maine,,,,,Jon Lynch,Director of Sports Performance
12,,,,,,,,,Maine,,,,,Trey Hall,Head Football Sports Performance Coach
13,,,,,,,,,Maine,,,,,Kristin Gilmour,Athletic Academic Counselor
14,,,,,,,,,Maine,,,,,Julie Cheville,"Athletics Academic Counselor (FB, S&D)"
15,,,,,,,,,Maine,,,,,Muralee Das,Faculty Liaison
