,Statistic,#,Full Name,Class,Pos.,Ht.,Wt.,Hometown / High School,Current School Name,Image,Name,Title
2,,,,,,,,,Campbell,,Arturo Freeman,Co-Defensive Coordinator / Safeties
3,,,,,,,,,Campbell,,Patrick Miller,Co-Defensive Coordinator
4,,,,,,,,,Campbell,,Anthony Weeden,Offensive Coordinator / Wide Receivers
5,,,,,,,,,Campbell,,Damien Adams,GM / Transfer Personnel / Defensive Line
6,,,,,,,,,Campbell,,Famika Anae,Offensive Line
7,,,,,,,,,Campbell,,Dee Brown,Quarterbacks / Running Backs
8,,,,,,,,,Campbell,,Matt Chiappelli,Linebackers / Recruiting Coordinator
9,,,,,,,,,Campbell,,Jacob Cuddington,Tight Ends
10,,,,,,,,,Campbell,,Pierce Graham,Offensive Graduate Assistant
11,,,,,,,,,Campbell,,Austin Blake,Offensive Graduate Assistant
12,,,,,,,,,Campbell,,Josh Spicely,Defensive Quality Control
13,,,,,,,,,Campbell,,Josh Evans,Offensive Quality Control
0,,,,,,,,,Campbell,,Kady Knight,Director of Football Operations / Pro Liaison
1,,,,,,,,,Campbell,,Emma Sheppard,Assistant Director of Football Operations
2,,,,,,,,,Campbell,,Mark Spellman,"Director of Strength & Conditioning, Head Football Strength & Conditioning Coach"
3,,,,,,,,,Campbell,,Desmond Johnson,Assistant Director of Football Strength & Conditioning
4,,,,,,,,,Campbell,,Jackie Knight,"Director of Athletic Training (Football, Baseball)"
5,,,,,,,,,Campbell,,JP Roseman,"Assistant Athletic Trainer (Football, Women's Lacrosse)"
6,,,,,,,,,Campbell,,Tanner Bos,Graduate Assistant Athletic Trainer (Football)
7,,,,,,,,,Campbell,,Brooke Deeringer,"Graduate Assistant Athletic Trainer (Football, Cheerleading)"
8,,,,,,,,,Campbell,,Jeff Campbell,Head Equipment Manger
9,,,,,,,,,Campbell,,Brad Dennis,Director of Video Operations
10,,,,,,,,,Campbell,,Caleb Vick,Assistant Director of Video Operations
11,,,,,,,,,Campbell,,Ernest Toh,Social Media Coordinator
12,,,,,,,,,Campbell,,Hannah Carol,Social Media Coordinator
