,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Previous School,Image,Name,Title
37,,59.0,Jeremiah Richard,OL,6-2,213.0,R-Fr.,"Katy,TX /",Incarnate Word,,,,
38,,63.0,Stanley Mark,OL,6-3,283.0,Gr.,"Seguin, Texas / Steele HS",Incarnate Word,Blinn CC,,,
39,,70.0,Dayton Robinson,OL,6-4,320.0,R-So.,"Arlington, TX / Mansfield Timberview HS",Incarnate Word,,,,
40,,73.0,Caleb Flores,OL,6-4,279.0,Rf.,"Heath,TX /",Incarnate Word,,,,
41,,75.0,Michael Vargas,OL,6-4,309.0,R-Jr.,"Wichita Falls, Texas / Wichita Falls HS",Incarnate Word,,,,
42,,77.0,Jayden Borjas,OL,6-5,230.0,Gr.,"Edinburg, Texas / Robert Vela HS",Incarnate Word,,,,
43,,78.0,Austin DeArmond,OL,6-4,294.0,Rf.,"San Antonio, TX /",Incarnate Word,,,,
44,,81.0,Kailan Noseff,WR,6-3,198.0,Gr.,"Lubbock, Texas / Montery HS",Incarnate Word,West Texas A&M / Fullerton College,,,
45,,82.0,Dayton Toney,WR,6-1,188.0,R-So.,"San Antonio, TX /",Incarnate Word,Hawaii at Manoa,,,
46,,83.0,Jayden Jones,WR,6-2,188.0,R-Jr.,"Sachse, Texas / Rockwall-Heath HS",Incarnate Word,,,,
47,,84.0,Jalen Smothers,WR,5-10,189.0,R-Jr.,"San Antonio, Texas / Roosevelt HS",Incarnate Word,,,,
48,,88.0,Jackson Lowe,TE,6-5,237.0,R-Jr.,"Cartersville,GA /",Incarnate Word,,,,
49,,90.0,Sam Latham,DL,6-5,260.0,Gr.,"Austin, Texas / McNeil HS",Incarnate Word,,,,
50,,91.0,Lloyd Johnson,DL,6-2,279.0,Rf.,"Hollywood, FL /",Incarnate Word,,,,
51,,96.0,Josh Gonzalez,DL,6-3,307.0,R-So.,San Antonio / Stevens High School,Incarnate Word,,,,
52,,,Darren Brown,DT,6-1,323.0,Gr.,/ Judson HS,Incarnate Word,SMU,,,
53,,,Jalen Brown,QB,-,,So.,/,Incarnate Word,,,,
54,,,Marcus Brown,DE,6-5,245.0,Jr.,/ Lamar HS,Incarnate Word,Howard,,,
55,,,Joe Bryson,OL,6-6,300.0,Gr.,/ Rock Canyon HS,Incarnate Word,USC / Colorado Mesa,,,
56,,,Zach Calzada,QB,6-4,200.0,Gr.,/ Lanier HS,Incarnate Word,Texas A&M / Auburn,,,
57,,,Chase Carter,DE,6-4,255.0,Rf.,/ Minnehaha Academy,Incarnate Word,Michigan State,,,
58,,,Mason Chambers,S,5-10,210.0,Jr.,/ Clemens HS,Incarnate Word,Iowa State,,,
59,,,Ben D'Aquila,P/K,6-0,200.0,So.,/ Damien HS,Incarnate Word,Mt. San Antonio College,,,
60,,,Emmerick Dopona,LB,5-10,215.0,Rf.,/ Marcus HS,Incarnate Word,North Texas,,,
61,,,Branon Jackson,OL,6-3,295.0,Jr.,/ Brennan HS,Incarnate Word,Texas A&M - Kingsville,,,
62,,,Derrick Lewis,LB,6-1,210.0,R-So.,/ Clemens HS,Incarnate Word,Texas Tech,,,
63,,,Dalton Meyer,TE,6-2,250.0,Gr.,/ Alvin HS,Incarnate Word,Sam Houston State University,,,
64,,,Sam Obiang,DL,6-0,285.0,Gr.,/ Woodbridge Academy,Incarnate Word,Texas State / Northeastern Oklahoma A&M,,,
65,,,Chris Pierce,DB,6-0,170.0,So.,/ Red Oak HS,Incarnate Word,Eastern New Mexico,,,
66,,,Ryan Stubblefield,QB,5-10,205.0,R-So.,/ Foster HS,Incarnate Word,Eastern Carolina University,,,
67,,,Jaelon Travis,WR,6-0,200.0,R-So.,/ Mansfield HS,Incarnate Word,Butler Community College,,,
68,,,Ronald Wilson,DB,5-10,220.0,Jr.,/ North Crowley,Incarnate Word,University of New Mexico,,,
0,,,,,,,,,Incarnate Word,,,Clint Killough,Head Football Coach
1,,,,,,,,,Incarnate Word,,,Kenny Hill,Associate Head Coach / Running Backs
2,,,,,,,,,Incarnate Word,,,Conner McQueen,Offensive Coordinator / Quarterbacks
3,,,,,,,,,Incarnate Word,,,Jim Gush,Defensive Coordinator
4,,,,,,,,,Incarnate Word,,,Blair Cavanaugh,Special Teams Coordinator
5,,,,,,,,,Incarnate Word,,,Sam Bennett,Linebackers / Academic Coordinator
6,,,,,,,,,Incarnate Word,,,Ty Darlington,Tight Ends / Director of High School Relations
7,,,,,,,,,Incarnate Word,,,Ben Olson,Defensive Line / Defensive Run Game Coordinator
8,,,,,,,,,Incarnate Word,,,George Sanders,Defensive Backs / Defensive Pass Game Coordinator
9,,,,,,,,,Incarnate Word,,,Willis White,Wide Receivers / Pass Game Coordinator
10,,,,,,,,,Incarnate Word,,,Austin Woods,Offensive Line / Run Game Coordinator
11,,,,,,,,,Incarnate Word,,,Julian De La Hay,Special Teams Quality Control Coach
12,,,,,,,,,Incarnate Word,,,Tre Spragg,Defense Quality Control Coach
13,,,,,,,,,Incarnate Word,,,Richard Johnson,Defense Quality Control Coach
14,,,,,,,,,Incarnate Word,,,Nick Young,Recruiting Coordinator / Senior Analyst
15,,,,,,,,,Incarnate Word,,,Zack Lucas,Director of Football Operations / NFL Liason
16,,,,,,,,,Incarnate Word,,,Lauren Mancha,Director of Player Personnel / Director of Campus Relations / Assistant to the Head Coach
17,,,,,,,,,Incarnate Word,,,Aaron Bota,Football Creative Content Coordinator
18,,,,,,,,,Incarnate Word,,,Kyle Covington,Defensive Graduate Assistant
19,,,,,,,,,Incarnate Word,,,Cody Dunn,Football Recruiting Graduate Assistant
20,,,,,,,,,Incarnate Word,,,Cameron Venzant,Offense Graduate Assistant
21,,,,,,,,,Incarnate Word,,,Mauricio De La Garza,Offense Graduate Assistant
22,,,,,,,,,Incarnate Word,,,Doug Johnson,Equipment Graduate Assistant
23,,,,,,,,,Incarnate Word,,,Lamont Johnson,Offensive Graduate Assistant
0,,,,,,,,,Incarnate Word,,,"Augie Melendez, Jr.",Head Football Athletic Trainer
1,,,,,,,,,Incarnate Word,,,April Sustaita,Athletic Trainer (Football)
