,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Exp.,Current School Name,Hometown/Previous School,Image,Title
97,,98.0,Jacob Marroquin,K,5-10,165.0,Jr.,JC,Sacramento State,"Corona, Calif. / Riverside JC",,
98,,99.0,Leke Fashola,DL,6-4,258.0,Jr.,2V,Sacramento State,"Concord, Calif. / Clayton Valley Charter HS",,
0,,,Andy Thompson,,,,,,Sacramento State,,,Head Coach
1,,,Kris Richardson,,,,,,Sacramento State,,,Assoc. Head Coach/Offensive Line
2,,,Bobby Fresques,,,,,,Sacramento State,,,Assoc. Head Coach/Off. Coordinator/Quarterbacks
3,,,Jeremy LaPan,,,,,,Sacramento State,,,Special Teams Coordinator/Tight Ends
4,,,AJ Cooper,,,,,,Sacramento State,,,Linebackers
5,,,Kraig Paulson,,,,,,Sacramento State,,,Defensive Line
6,,,Allen Perryman,,,,,,Sacramento State,,,Safeties
7,,,Tyson Prince,,,,,,Sacramento State,,,Wide Receivers/Passing Game Coordinator
8,,,Donnel Pumphrey,,,,,,Sacramento State,,,Running Backs
9,,,Jason Slowey,,,,,,Sacramento State,,,Edge Rushers
10,,,Cherokee Valeria,,,,,,Sacramento State,,,Defensive Passing Game Coordinator/Cornerbacks/Pro Liaison
11,,,Chris Parry,,,,,,Sacramento State,,,Director of Recruiting & Player Personnel
12,,,Jeffrey Goldsmith,,,,,,Sacramento State,,,Director of Football Operations
13,,,Justin Lantz,,,,,,Sacramento State,,,Video Coordinator/Defensive Analyst
14,,,Eric Adams,,,,,,Sacramento State,,,Special Teams Assistant
15,,,Cody Oleski,,,,,,Sacramento State,,,Def. Graduate Assistant
16,,,Colton Behrendt,,,,,,Sacramento State,,,Student Manager - Defense
17,,,Jaden Diamond,,,,,,Sacramento State,,,Student Manager - Recruiting
18,,,Greg Fong,,,,,,Sacramento State,,,Student Manager - Recruiting/Offense
19,,,Wesley Williams,,,,,,Sacramento State,,,Offensive Intern
20,,,Kenny Macklin,,,,,,Sacramento State,,,Football Operations Assistant
21,,,Nathan Morris,,,,,,Sacramento State,,,Assistant A.D./Sports Performance
0,,,"Matt Davey, MS, ATC",,,,,,Sacramento State,,,Head Athletic Trainer
1,,,"Enrique Becerra, MA, ATC",,,,,,Sacramento State,,,Assistant Athletic Trainer
2,,,"Danielle Diaz, MS, ATC, CES",,,,,,Sacramento State,,,"Assistant Athletic Trainer - fb, sb"
3,,,Brian Berger,,,,,,Sacramento State,,,Associate A.D./Communications
4,,,Paul Edwards,,,,,,Sacramento State,,,Associate A.D./Student Success
5,,,Jenna Paulk,,,,,,Sacramento State,,,Academic Success Specialist
6,,,Lana Brown,,,,,,Sacramento State,,,Assistant Director of Strength Conditioning
7,,,Savino Moreno,,,,,,Sacramento State,,,Equipment Manager
