,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Year,Current School Name,Hometown,High School,Previous School,Image,Name,Title
72,,84.0,Cal Weidemann,WR,6-1,195.0,Jr.,4th,Southern Illinois,"Omaha, Neb.",Westside,Iowa Central Community College,,,
73,,85.0,Ryan LaHood,WR,6-1,184.0,R-Fr.,2nd,Southern Illinois,"East Peoria, Ill.",East Peoria Community,,,,
74,,88.0,Stephen Green,LB,6-2,214.0,R-Fr.,2nd,Southern Illinois,"Collinsville, Ill.",Collinsville,,,,
75,,88.0,Devin Walton,WR,5-11,182.0,R-Fr.,2nd,Southern Illinois,"Lafayette, LA",Lafayette Christian Academy,,,,
76,,89.0,JD Czech,TE/LS,6-1,243.0,Jr.,5th,Southern Illinois,"Chippewa Falls, Wis.",Chippewa Falls,St. Cloud St. / Ellsworth CC,,,
77,,89.0,Adam Hundemer,DL,6-2,235.0,Jr.,4th,Southern Illinois,"Liberty Township, Ohio",Lakota East,,,,
78,,90.0,Peyton Reeves,DT,6-2,299.0,So.,3rd,Southern Illinois,"Basehor, Kan.",St. Thomas Aquinas,,,,
79,,91.0,Jake Baumgarte,K,6-0,179.0,So.,4th,Southern Illinois,"Herrin, Ill.",Herrin,,,,
80,,92.0,RJ Orebo,DL,6-7,277.0,Jr.,5th,Southern Illinois,"Dayton, Texas",Dayton,Texas A&M,,,
81,,93.0,Dante Cleveland,DT,6-4,288.0,Sr.,6th,Southern Illinois,"Hoffman Estates, Ill.",Hoffman Estates,Central Missouri,,,
82,,96.0,Kam Bowdry,DT,6-2,296.0,Sr.,6th,Southern Illinois,"St. Louis, Mo.",University,UT Martin,,,
83,,97.0,Thomas Burks,K,6-1,188.0,Sr.,6th,Southern Illinois,"Murfreesboro, TN",Blackman,Middle Tennessee State,,,
84,,97.0,Tim Varga,DE,6-3,250.0,Sr.,5th,Southern Illinois,"Newton, N.C.",Elk Grove Village HS (IL),Eastern Illinois,,,
