,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown(Prev School),Current School Name,Image,Title
68,,84.0,Myles Morales,TE,6-4,235.0,So.,"New York, New York /",Delaware State,,
69,,85.0,Jerrish Halsey,WR,5-10,160.0,Sr.,"Rahway, N.J. / Wesley College",Delaware State,,
70,,86.0,Joseph Bongono,TE,6-6,235.0,Jr.,"Beltsville, Md. / San Antonio College",Delaware State,,
71,,87.0,Devin Curry,WR,6-2,210.0,Sr.,"Clinton, Md. / Wesley College",Delaware State,,
72,,89.0,Roman Davis,TE,6-3,195.0,R-So.,"Clinton, Md. /",Delaware State,,
73,,90.0,Isaiah Williams,DL,6-2,295.0,R-Sr.,/,Delaware State,,
74,,91.0,Omakus Langley II,DL,6-3,245.0,So.,"Greenville, N.C. /",Delaware State,,
75,,92.0,Marcus Winfield,DL,6-3,250.0,R-So.,"Cheltenham, Pa. /",Delaware State,,
76,,94.0,Darren Cook,DL,6-3,315.0,So.,"Washington, D.C. /",Delaware State,,
77,,95.0,Corey St. John,DL,6-2,275.0,Sr.,"Tampa, Fla. /",Delaware State,,
78,,96.0,Kevin Deshields,DL,6-3,300.0,Sr.,"Bridgeton, N.J. / Lackawanna CC",Delaware State,,
79,,97.0,Tyrone Cooper,DL,6-3,260.0,Fr.,"Chestertown, Md. /",Delaware State,,
80,,99.0,Eric Montes,DL,6-1,240.0,So.,"Berwick, Pa /",Delaware State,,
0,,,Lee Hull,,,,,,Delaware State,,Head Coach
1,,,Darrell Wilson,,,,,,Delaware State,,Assistant Head Coach/Defensive Coordinator/Safeties Coach
2,,,George Ricumstrict,,,,,,Delaware State,,Special Teams Coordinator
3,,,Ollie Taylor,,,,,,Delaware State,,Quarterbacks / Pass Game Coordinator
4,,,Brian White,,,,,,Delaware State,,Offensive Line Coach / Run Game Coordinator
5,,,Robb Johnson,,,,,,Delaware State,,Running Backs Coach / Recruiting Coordinator
6,,,Devin Redd,,,,,,Delaware State,,Receivers Coach
7,,,DJ White,,,,,,Delaware State,,Linebackers Coach
8,,,Devan Hill,,,,,,Delaware State,,Assistant Coach / Cornerbacks
0,,,Jane Hicks,,,,,,Delaware State,,Director of Football Operations
