,Statistic,#,Full Name,Pos.,Academic Year,Ht.,Wt.,Hometown / High School,Current School Name,Image,Name,Title
90,,,Levi Paxton,WR,Fr.,6-4,192.0,"Florence, Colo. / Florence",St. Thomas,,,
91,,,Pat Ricciardi,RB,Jr.,5-11,,"Huntley, Ill. / Huntley",St. Thomas,,,
92,,,Nic Seifert,RB,Jr.,6-1,200.0,"Glen Ellyn, Ill. / Glenbard West",St. Thomas,,,
0,,,,,,,,,St. Thomas,,Glenn Caruso,Head Coach
1,,,,,,,,,St. Thomas,,Wallie Kuchinski,Defensive Coordinator/Outside Linebackers
2,,,,,,,,,St. Thomas,,Jake Landry,Offensive Coordinator/Quarterbacks
3,,,,,,,,,St. Thomas,,Doug Lichtenberger,Special Teams Coordinator/Safeties
4,,,,,,,,,St. Thomas,,Jarod Dodson,Academic Coordinator/Wide Receivers
5,,,,,,,,,St. Thomas,,Jeff Duvendeck,Offensive Line/Career Development Coordinator
6,,,,,,,,,St. Thomas,,Mark Kubacki,Defensive Line/Summer Camp Coordinator
7,,,,,,,,,St. Thomas,,Brett Holinka,Cornerbacks
8,,,,,,,,,St. Thomas,,Brandon Labath,Tight Ends
9,,,,,,,,,St. Thomas,,Joe Ties,Inside Linebackers
10,,,,,,,,,St. Thomas,,Ben Hanson,Specialists
0,,,,,,,,,St. Thomas,,Michael Armstrong,Director of Football and Recruiting Operations
1,,,,,,,,,St. Thomas,,Noah Wing,Director of Video & On Campus Recruiting
2,,,,,,,,,St. Thomas,,Jon Haugen,Director of Strength and Conditioning
3,,,,,,,,,St. Thomas,,Del Ciucci,Assistant Director of Strength and Conditioning
4,,,,,,,,,St. Thomas,,Anna Caruso,In-Game Strategy & Data Research Student Assistant
5,,,,,,,,,St. Thomas,,Bella Ozuna,On-Campus Recruiting Student Assistant
6,,,,,,,,,St. Thomas,,Lauren Bjurman,On-Campus Recruiting Student Assistant
7,,,,,,,,,St. Thomas,,Elena Hughes,Administrative Student Assistant
8,,,,,,,,,St. Thomas,,Jim Rakow,Head Athletic Trainer (Football)
9,,,,,,,,,St. Thomas,,Kevin Zack,Equipment Management
10,,,,,,,,,St. Thomas,,Michelle Smith Ware,Director of Academic Support Services for Athletics (Football Academic Advisor)
