,Statistic,No.,Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Current School Name,Image,Title
98,,,Nehuel Garcia,QB,6-3,190.0,Fr.,"La Miranda, Calif. / La Miranda",Furman,,
99,,,Hayden Garner,OL,6-5,280.0,Fr.,"Roanoke Rapids, N.C. / Roanoke Rapids",Furman,,
100,,,Ja'Keith Hamilton,WR,6-3,190.0,Fr.,"Shelby, N.C. / Shelby",Furman,,
101,,,Raleigh Herbert,LB,6-2,215.0,Fr.,"Cumming, Ga. / West Forsyth",Furman,,
102,,,Marc Hernández,DT,6-4,310.0,Fr.,"Fort Worth, Texas / L.D. Bell / Army-West Point Prep School",Furman,,
103,,,Colton Hinton,WR,5-11,175.0,Fr.,"Ashburn, Va. / Stone Bridge",Furman,,
104,,,Brayden Holmes,DB,6-1,170.0,Fr.,"Alpharetta, Ga. / Milton",Furman,,
105,,,Chris Luna,OL,6-3,275.0,Fr.,"Wesley Chapel, Fla. / Tampa Catholic",Furman,,
106,,,Jaylen Moson,CB,5-11,160.0,Fr.,"Acworth, Ga. / Kennesaw Mountain",Furman,,
107,,,Joshua Stoneking,DE,6-3,245.0,Fr.,"Raleigh, N.C. / Cardinal Gibbons",Furman,,
108,,,Brennan Tormey,TE,6-7,221.0,Fr.,"Montgomery, Ala. / Pike Road",Furman,,
109,,,Marquis Vincent,NG,6-1,260.0,Fr.,"Richmond,, Va. / Varina",Furman,,
0,,,Clay Hendrix,,,,,,Furman,,Bobby Johnson Endowed Head Coach Of Football
1,,,André Bernardi,,,,,,Furman,,"Assistant Athletics Director/Strength Training & Conditioning, Associate Head Football Coach"
2,,,Chad Byers,,,,,,Furman,,Inside Linebackers / Co-Defensive Coordinator
3,,,Cory Colder,,,,,,Furman,,Running Backs
4,,,Drew Dudzik,,,,,,Furman,,Wide Receivers Coach
5,,,Kevin Lewis,,,,,,Furman,,Defensive Line
6,,,Tafon Mainsah,,,,,,Furman,,Cornerbacks
7,,,Matt McCutchan,,,,,,Furman,,Offensive Line
8,,,Justin Roper,,,,,,Furman,,Offensive Coordinator / Quarterbacks
9,,,Tommy Spangler,,,,,,Furman,,Special Teams Coordinator / Defensive Backs
10,,,Duane Vaughn,,,,,,Furman,,Defensive Coordinator
11,,,Nick Verna,,,,,,Furman,,Tight Ends / Recruiting Coordinator / NFL Liaison
12,,,Dae'one Wilkins,,,,,,Furman,,Defensive Assistant
13,,,Aaron Odom,,,,,,Furman,,Offense Quality Control
14,,,Philip Duke,,,,,,Furman,,Student Assistant
0,,,Clay Mazza,,,,,,Furman,,Chief of Staff / Director of Football Operations
1,,,Gannon Veh,,,,,,Furman,,Assistant Director of Football Operations / Director of Football Technology
2,,,Craig Clark,,,,,,Furman,,Associate Athletics Director/Sports Medicine & Performance
3,,,Mike Brown,,,,,,Furman,,Assistant Director of Sports Medicine
4,,,Samantha Darby,,,,,,Furman,,Staff Athletic Trainer
5,,,Joe Novotasky,,,,,,Furman,,Assistant Strength Training & Conditioning Coach
6,,,Stephen Antley,,,,,,Furman,,Strength Training & Conditioning Assisant
7,,,Tracey Hendricks,,,,,,Furman,,Administrative Assistant
8,,,Justin Brown,,,,,,Furman,,Football Team Chaplain
