,Statistic,Full Name,Hometown,High School,Pos.,Ht.,Wt.,Academic Year,Twitter,Instagram,#,Image,Name,Title
88,,Alonzo Morgan III,"Leawood, Kan.",Blue Valley North HS,Defensive Back,6-3,205.0,Fr.,@alonzomorgan0,alonzo.morgann,--,,,
89,,Andre Morris Jr.,"Tampa, Fla.",Jesuit HS,Defensive Line,6-4,285.0,Fr.,@AndreMorrisJr1,,--,,,
90,,Warren Peeples,"Stone Mountain, Ga.",South Gwinnett HS / Highlands CC / Memphis,Defensive Line,6-2,220.0,R-Jr.,@WarrenPeeplesjr,warrenpeeplesjr,--,,,
91,,Mason Pierre-Antione,"Frankfort, Ill.",Lincoln Way East HS / Northern Illinois,Wide Receiver,6-0,182.0,R-So.,@Parris_iii,,--,,,
92,,John Powers,"Bondurant, Iowa",Bondurant-Farrar HS,Linebacker,6-2,220.0,Fr.,@johnny_powers_,_johnny.powers_,--,,,
93,,Grant Reasner,"Cedar Rapids, Iowa",Xavier HS / Drake,Defensive Line,6-3,220.0,R-Fr.,@grantreasner,,--,,,
94,,Sam Reddinger,"Morris, Ill.",Morris HS,Linebacker,6-1,200.0,Fr.,@SReddinger3,samreddinger,--,,,
95,,Luke Reth,"Manchester, Iowa",West Delaware HS,Offensive Line,6-4,256.0,Fr.,https://twitter.com/RethLuke,https://www.instagram.com/luke21reth/,--,,,
96,,JC Roque,"Lithia, Fla.",Newsome HS,Running Back,5-9,170.0,Fr.,https://twitter.com/Jcroque12,https://www.instagram.com/theyknowjc/,--,,,
97,,Ethan Schoville,"Denver, Iowa",Denver HS,Defensive Back,6-1,190.0,Fr.,@ethan_schoville,eschoville,--,,,
98,,Malik Stewart,"El Dorado, Kan.",Lamar County HS / Butler Community College,Defensive Line,6-5,240.0,So.,@Malik_BE45,,--,,,
99,,Jackson Storts,"Hartford, Wisc.",Hartford Union HS,Defensive Line,6-4,245.0,Fr.,@JacksonStortz,jacksonstortz1,--,,,
100,,Rolliann Sturkey,"Oak Park, Ill.",Oak Park-River Forest HS / Central Michigan,Defensive Back,5-11,188.0,Gr.,@_SCAMLIKELY__,sturk_dajerk,--,,,
101,,Brady Vislisel,"Mount Vernon, Iowa",Mount Vernon HS,Defensive Line,6-3,230.0,Fr.,@BradleyVislisel,bradley_vislisel,--,,,
102,,Josh Volk,"Cedar Rapids, Iowa",Xavier HS / Iowa,Offensive Line,6-4,305.0,So.,https://twitter.com/josh__volk?lang=en,https://www.instagram.com/joshvolk__/,--,,,
103,,Magnus Wright,"Champlin, Minn.",Champlin Park HS,Defensive Line,6-3,290.0,Fr.,,,--,,,
0,,,,,,,,,,,,,Mark Farley,Head Coach
1,,,,,,,,,,,,,Bryce Paup,Assistant Head Coach | Defensive Line
2,,,,,,,,,,,,,Bodie Reeder,Offensive Coordinator | Quarterbacks
3,,,,,,,,,,,,,Jeremiah Johnson,Defensive Coordinator
4,,,,,,,,,,,,,Rick Nelson,Offensive Line
5,,,,,,,,,,,,,Joe Ganz,Wide Receivers
6,,,,,,,,,,,,,Atif Austin,Running Backs
7,,,,,,,,,,,,,Keelon Brookins,Defensive Backs
0,,,,,,,,,,,,,Andrew Rosemark,Director of Football Operations
1,,,,,,,,,,,,,Zach Smith,Equipment Manager
2,,,,,,,,,,,,,Jed Smith,Strength & Conditioning Coach
3,,,,,,,,,,,,,Brandon Ronan,Strength & Conditioning Coach
4,,,,,,,,,,,,,Meghan Peacock,Athletic Trainer - Football
5,,,,,,,,,,,,,Blaine Wessels,Assistant Football Athletic Trainer
6,,,,,,,,,,,,,Maddie Tobler,Assistant Football Athletic Trainer
