,Statistic,#,Name,Cl.,Pos.,Ht.,Wt.,Hometown / Last School,Current School Name,Transfer,Image,Title
26,,88.0,Quan Easterling,Gr.,TE,6-3,230.0,"Akron, Ohio / Archbishop Hoban",Duquesne,Wisconsin,,
27,,31.0,Antonio Epps,R-So.,DB,5-10,195.0,"Liberty Borough, Pa. / South Allegheny",Duquesne,,,
28,,78.0,Michael Fallah,Jr.,OL,6-4,295.0,"Ramsey, N.J. / Don Bosco Prep",Duquesne,,,
29,,10.0,Calvin Fowler,So.,DB,6-2,180.0,"Parkland, Fla. / Marjory Stoneman Douglas",Duquesne,,,
30,,45.0,Dom Fusca,So.,LB,5-10,210.0,"West Palm Beach, Fla. / Cardinal Newman",Duquesne,,,
31,,8.0,Ayden Garnes,R-So.,DB,6-0,170.0,"Philadelphia, Pa. / Monsignor Bonner",Duquesne,,,
32,,,Dayvia Gbor,Gr.,DB,5-8,175.0,"Minneapolis, Minn. / Brooklyn Center",Duquesne,Minnesota Duluth,,
33,,84.0,Alex Gochis,So.,WR,6-3,190.0,"Pittsburgh, Pa. / Pine-Richland",Duquesne,,,
34,,65.0,Pierce Greiner,So.,OL,6-5,310.0,"Crafton, Pa. / Carlynton",Duquesne,,,
35,,92.0,Nicolas Gutierrez,Jr.,K/P,6-2,260.0,"Mexico City, Mexico / Tec de Monterrey",Duquesne,,,
36,,33.0,Luke Harris,Jr.,LB,6-0,220.0,"Pittsburgh, Pa. / Central Catholic",Duquesne,,,
37,,12.0,Jordan Heisey,Jr.,QB,6-2,200.0,"Dillsburg, Pa. / Northern York",Duquesne,Lock Haven,,
38,,20.0,Ty Howard,So.,LB,6-0,195.0,"Cleveland, Ohio / Villa Angela-St. Joseph",Duquesne,,,
39,,5.0,Joey Isabella,Jr.,WR,5-9,185.0,"Mayfield, Ohio / Mayfield",Duquesne,,,
40,,53.0,Jayden Johnson,Gr.,LB,6-0,235.0,"Linden, N.J. / Mater Dei Prep",Duquesne,Marist,,
41,,46.0,Marshal Jones,Jr.,DB,5-8,170.0,"Burlington, N.J. / Burlington Township",Duquesne,,,
42,,66.0,Shawn Jones,Sr.,OL,6-2,280.0,"Dalton, Pa. / Lackawanna Trail",Duquesne,,,
43,,34.0,Jaden Keating,R-So.,DB,5-11,180.0,"Pittsburgh, Pa. / Upper St. Clair",Duquesne,WVU,,
44,,16.0,Rahmiere Knight,Gr.,WR,5-11,185.0,"Canonsburg, Pa. / Canon-McMillan",Duquesne,Youngstown State,,
45,,97.0,Kevin Kurzinger,Jr.,DL,6-2,255.0,"State College, Pa. / State College Area",Duquesne,,,
46,,28.0,Ben LaCarte,Jr.,DB,6-1,195.0,"Belle Vernon, Pa. / Greensburg Central Catholic",Duquesne,,,
47,,51.0,Aiden Lehner,So.,DL,6-2,240.0,"Franklin, Tenn. / Page",Duquesne,,,
48,,54.0,Connor Lenz,So.,DL,6-2,230.0,"Gibsonia, Pa. / Pine-Richland",Duquesne,,,
49,,18.0,Nick Leopold,Jr.,WR,5-9,170.0,"Murrysville, Pa. / Franklin Regional",Duquesne,,,
50,,86.0,Riley Lisgar,So.,WR,5-8,170.0,"Swedesboro, N.J. / St. Augustine Prep",Duquesne,,,
51,,5.0,Ryan Lopez,Sr.,DL,6-3,285.0,"Jamaica, N.Y. / Bayside",Duquesne,Stony Brook,,
52,,29.0,Malichi Lowery,Jr.,DB,5-10,165.0,"Lake Alfred, Fla. / Auburndale",Duquesne,,,
53,,2.0,Tim Lowery,Sr.,DB,6-0,175.0,"Winter Haven, Fla. / Winter Haven",Duquesne,,,
54,,38.0,Alex Ludwick,Jr.,WR,5-9,165.0,"Pittsburgh, Pa. / Shady Side Academy",Duquesne,,,
55,,77.0,Vincent Lumia,Sr.,OL,6-3,290.0,"Riviera Beach, Fla. / Suncoast",Duquesne,,,
56,,85.0,Logan Lutz,Jr.,TE,6-3,225.0,"Grove City, Pa. / Grove City",Duquesne,,,
57,,14.0,Rafael McCoy,R-So.,WR,5-11,175.0,"Wilkes-Barre, Pa. / Wilkes-Barre Area",Duquesne,Old Dominion,,
58,,57.0,Cameron McLaurin,Jr.,OL,6-2,275.0,"McKees Rocks, Pa. / Montour",Duquesne,,,
59,,52.0,Alijah Metz,Jr.,DL,6-3,210.0,"Cumberland, Md. / Fort Hill",Duquesne,Saint Francis U,,
60,,,Luke Miller,Fr.,LB,6-1,210.0,"Pittsburgh, Pa. / Pine-Richland",Duquesne,Kent State,,
61,,,Jalen Morrison,Fr.,QB,5-11,195.0,"Houston, Texas / Heights",Duquesne,"Suffield, Conn. Academy",,
62,,37.0,Sam Neill,Jr.,DB,6-0,180.0,"Pine Township, Pa. / Pine-Richland",Duquesne,,,
63,,23.0,Clemente Ojinnaka,Jr.,DL,6-3,260.0,"Hershey, Pa / Milton Hershey",Duquesne,,,
64,,58.0,Brian Olan,So.,DL,6-3,235.0,"Cranberry Township, Pa. / Seneca Valley",Duquesne,,,
65,,59.0,Chris Oliver,Jr.,OL,6-4,300.0,"Erie, Pa. / Cathedral Prep",Duquesne,Bowling Green,,
66,,63.0,Ethan O'Neil,Jr.,OL,6-1,275.0,"Pittsburgh, Pa. / Pine-Richland",Duquesne,,,
67,,12.0,Tyler Padezan,Jr.,WR,6-2,195.0,"East McKeesport, Pa / East Allegheny",Duquesne,,,
68,,6.0,Noah Palmer,Sr.,DL,6-4,240.0,"Jefferson Hills, Pa. / Thomas Jefferson",Duquesne,Pitt,,
69,,7.0,Darius Perrantes,Jr.,QB,6-0,220.0,"Los Angeles, Calif. / St. Francis",Duquesne,Rhode Island,,
70,,30.0,Antonio Pitts,So.,DB,5-10,165.0,"New Castle, Pa. / Pittsburgh Central Catholic",Duquesne,,,
71,,50.0,Greg Poland,R-So.,OL,6-8,285.0,"Buffalo, N.Y. / St. Joseph's Collegiate Institute",Duquesne,Susquehanna,,
72,,55.0,Alex Reese III,So.,DL,6-3,290.0,"Cleveland, Ohio / Euclid",Duquesne,,,
73,,47.0,Ty Regan,Jr.,DB,6-0,195.0,"Dillsburg, Pa. / Northern York",Duquesne,,,
74,,44.0,Gianni Rizzo,Jr.,LB,6-2,225.0,"North Huntingdon, Pa. / Norwin",Duquesne,Youngstown State,,
75,,54.0,Gary Satterwhite III,Jr.,OL,6-1,295.0,"Farrell, Pa. / Farrell",Duquesne,,,
76,,93.0,Colin Scharritter,So.,DL,6-1,250.0,"White Oak, Pa. / McKeesport",Duquesne,,,
77,,19.0,Matt Schmitt,So.,WR,6-1,175.0,"Pittsburgh, Pa. / Central Catholic",Duquesne,,,
78,,15.0,Max Sharp,Jr.,DB,5-11,180.0,"Pittsburgh, Pa. / North Hills",Duquesne,,,
79,,,Ian Sheehan,Jr.,WR,6-2,200.0,"Trevose, Pa. / Neshaminy",Duquesne,Shippensburg,,
80,,80.0,Andrew Smith,Jr.,K/P,6-6,225.0,"Mentor, Ohio / Mentor",Duquesne,,,
81,,24.0,Evan Smith,Jr.,LB,6-3,230.0,"Cranberry Township, Pa. / Seneca Valley",Duquesne,,,
82,,20.0,Donovan Stanley,Jr.,DB,6-0,170.0,"Euclid, Ohio / St. Edward",Duquesne,,,
83,,81.0,Aaron Stasko,So.,LS,6-3,200.0,"Murrysville, Pa. / Greensburg Central Catholic",Duquesne,,,
84,,4.0,Shane Stump,Jr.,LB,6-1,205.0,"Jefferson Hills, Pa. / Thomas Jefferson",Duquesne,,,
85,,35.0,Jason Sweeney,Jr.,DB,6-2,200.0,"Pittsburgh, Pa. / Upper St. Clair",Duquesne,,,
86,,76.0,John Swisher,So.,OL,6-2,280.0,"Gibsonia, Pa. / Pine-Richland",Duquesne,,,
87,,29.0,Malik Thomas,So.,RB,6-0,205.0,"Stroudsburg, Pa. / Bethlehem Catholic",Duquesne,,,
88,,72.0,Nolan Vigliotti,Jr.,LS,6-2,260.0,"Pittsburgh, Pa. / Central Catholic",Duquesne,,,
89,,17.0,Wayne Wade III,R-So.,DB,5-11,170.0,"McKeesport, Pa. / Clairton",Duquesne,,,
0,,,Jerry Schmitt,,,,,,Duquesne,,,Head Coach
1,,,Anthony Doria,,,,,,Duquesne,,,Offensive Coordinator/Quarterbacks
2,,,Mike Craig,,,,,,Duquesne,,,Defensive Coordinator
3,,,Scott Farison,,,,,,Duquesne,,,Co-Defensive Coordinator/Inside Linebackers
4,,,Kory Gribbin,,,,,,Duquesne,,,Special Teams Coordinator/Safeties/Recruiting Coordinator
5,,,Luke Smith,,,,,,Duquesne,,,Wide Receivers/Director of Operations
6,,,Mike Silianoff,,,,,,Duquesne,,,Assistant Head Coach/Offensive Line
7,,,Larry McCoy,,,,,,Duquesne,,,Running Backs
8,,,Hunter Geisel,,,,,,Duquesne,,,Tight Ends
9,,,Greg Perry,,,,,,Duquesne,,,Offensive Assistant
10,,,Darnel Richardson,,,,,,Duquesne,,,Cornerbacks
11,,,Reggie Wells Jr.,,,,,,Duquesne,,,Defensive Line
12,,,Mike Fuhrman,,,,,,Duquesne,,,Outside Linebackers
13,,,Brock Dieter,,,,,,Duquesne,,,Offensive Quality Control
14,,,Jacob Sakk,,,,,,Duquesne,,,Offensive Student Assistant
0,,,Anthony Longo,,,,,,Duquesne,,,Director of Sports Performance
1,,,Jake Sweitzer,,,,,,Duquesne,,,Head Equipment Manager
2,,,Kate Ashcraft,,,,,,Duquesne,,,Athletic Trainer
3,,,Steven Labate,,,,,,Duquesne,,,Athletic Trainer
