,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
16,,9.0,Cade Chambers,QB,6-4,215.0,R-Fr.,"Maryville, Tenn. / Maryville",Indiana State,,,,
17,,9.0,Jordan Jenkins,DB,6-0,200.0,So.,"Missouri City, Texas / Elkins",Indiana State,Blinn College/Air Force Academy Prep,,,
18,,10.0,Cornelius Doe,DB,5-11,180.0,Sr.,"Deerfield Beach, Fla. / Deerfield Beach",Indiana State,Florida Institute of Technology,,,
19,,10.0,Gavin Screws,QB,6-1,215.0,R-So.,"Jacksonville, Fla. / Baldwin",Indiana State,Butler CC/Troy University,,,
20,,11.0,Jarin Johnson,LB,6-3,225.0,So.,"Arlington, Texas / Bowie",Indiana State,,,,
21,,12.0,Payton Edwards,DB,6-0,185.0,Jr.,"Port St. Joe, Fla. / Amos P. Godby",Indiana State,Monroe College/Dodge City CC,,,
22,,12.0,Michael Vazquez,WR,6-0,200.0,R-Fr.,"Carol Stream, Ill. / Glenbard North",Indiana State,,,,
23,,13.0,Joseph Sopiarz,LS,5-11,175.0,Fr.,"Carol Stream, Ill. / Glenbard North",Indiana State,,,,
24,,13.0,Juju Williams,DL,6-3,255.0,R-So.,"Hemingway, S.C. / Hemingway",Indiana State,Middle Tennessee State University,,,
25,,14.0,Kaleal Davis,DB,6-1,200.0,So.,"Newport, Ky. / Newport",Indiana State,,,,
26,,15.0,Daijon Collins,WR,5-9,180.0,R-Jr.,"Indianapolis, Ind. / Cathedral",Indiana State,,,,
27,,15.0,John Prince,DL,6-3,240.0,Fr.,"Valhalla, N.Y. / Archbishop Stepinac",Indiana State,,,,
28,,16.0,Anthony Beacom,P,5-10,215.0,R-Fr.,"Roselle, Ill. / Lake Park",Indiana State,Northern Illinois University,,,
29,,17.0,Maddix Blackwell,DB,5-10,190.0,R-Fr.,"Bloomington, Ind. / Bloomington South",Indiana State,,,,
30,,17.0,Anthony Garzolini,QB,6-5,220.0,Fr.,"Terre Haute, Ind. / South Vermillion",Indiana State,,,,
31,,18.0,Ethan Cain,LB,6-0,220.0,R-Fr.,"Elkhart, Ind. / Concord",Indiana State,,,,
32,,18.0,Kai Rios,TE,6-6,250.0,Fr.,"Rock Island, Ill. / Rock Island",Indiana State,,,,
33,,19.0,Dane Andrews,QB,6-1,225.0,So.,"West Terre Haute, Ind. / West Vigo",Indiana State,Franklin College,,,
34,,19.0,Omar Jackson,DB,5-10,190.0,R-So.,"Fort Wayne, Ind. / South Side",Indiana State,,,,
35,,20.0,Malik Chatman,DB,6-2,180.0,R-Jr.,"Fort Lauderdale, FL / Jasper",Indiana State,Highland CC/University of Charleston,,,
36,,21.0,Evan Reff,DB,6-0,195.0,Fr.,"Newburgh, Ind. / Castle",Indiana State,,,,
37,,21.0,Matae Thomas,TE,6-5,240.0,R-Jr.,"Corona, Calif. / Norco",Indiana State,,,,
38,,22.0,Dawson Basinger,RB,5-10,195.0,R-So.,"Shelburn, Ind. / North Central",Indiana State,,,,
39,,22.0,Cam Thornton,DB,6-1,200.0,R-Fr.,"Schererville, Ind. / Andrean",Indiana State,,,,
40,,23.0,CJ Cooper,RB,6-0,195.0,Fr.,"Hammond, Ind. / Calumet New Tech",Indiana State,Quincy,,,
41,,23.0,Ray Vollmer,DB,6-2,195.0,R-Fr.,"Fort Wayne, Ind. / Carroll",Indiana State,,,,
42,,24.0,Bilhal Kone,DB,6-2,190.0,So.,"Apple Valley, Minn. / Apple Valley",Indiana State,Iowa Central Community College,,,
43,,25.0,Rocco Ciocca,TE,6-5,220.0,Fr.,"Fort Wayne, Ind. / Bishop Dwenger",Indiana State,,,,
44,,25.0,Teely Rhyne,DB,6-2,190.0,R-So.,"Gary, Ind. / Andrean HS / The Taft School",Indiana State,,,,
45,,26.0,Korbin Allen,RB,5-10,200.0,R-Fr.,"Brazil, Ind. / Northview",Indiana State,,,,
46,,27.0,Justin Dinka,RB,5-11,180.0,R-So.,"Flower Mound, Texas / Marcus",Indiana State,San Diego State University,,,
47,,27.0,Joey Shew,DL,6-2,235.0,R-Fr.,"Clinton, Ind. / South Vermillion",Indiana State,,,,
48,,28.0,Rylan Cole,DB,6-0,205.0,So.,"McCordsville, Ind. / Mt. Vernon",Indiana State,,,,
49,,29.0,John Moore,LB,6-1,230.0,R-Fr.,"Wheaton, Ill. / St. Francis",Indiana State,,,,
50,,29.0,Tony Roberts,DB,5-10,175.0,Fr.,"Elgin, Ill. / Batavia",Indiana State,,,,
51,,30.0,Leyton Czarnecki,P,6-0,190.0,R-Fr.,"Plymouth, Ind. / LaVille",Indiana State,,,,
52,,30.0,Kolten Gajewski,DL,6-5,220.0,Fr.,"Nashville, Ill. / Nashville",Indiana State,,,,
53,,31.0,Micah Hauser,DB,5-11,190.0,Fr.,"Westfield, Ind. / Westfield",Indiana State,,,,
54,,32.0,Ryan O'Grady,K,6-1,180.0,Fr.,"Lockport, Ill. / Providence Catholic",Indiana State,,,,
55,,32.0,JP Osafo,DB,6-0,200.0,Jr.,"Chesterton, Ind. / Chesterton",Indiana State,Franklin College,,,
56,,33.0,A'Mon Walker,DB,6-1,165.0,Fr.,"Chicago, Ill. / Bolingbrook",Indiana State,,,,
57,,34.0,Plez Lawrence,RB,5-9,175.0,Fr.,"Kokomo, Ind. / Kokomo",Indiana State,,,,
58,,35.0,Garret Ollendieck,LB,6-2,230.0,So.,"Cresco, Iowa / Crestwood",Indiana State,Iowa Central Community College,,,
59,,36.0,DJ Griffith,LB,5-11,220.0,Fr.,"Louisville, Ky. / DeSales",Indiana State,,,,
60,,37.0,Johnny May,LB,6-0,230.0,R-Jr.,"Fishers, Ind. / Hamilton Southeastern",Indiana State,,,,
61,,38.0,Seth Mills,DB,6-2,180.0,Fr.,"Corbin, Ky. / Corbin",Indiana State,,,,
62,,39.0,Mikah Phillips,DB,6-1,175.0,R-Fr.,"Fishers, Ind. / Hamilton Southeastern",Indiana State,,,,
63,,40.0,Dallas Westhoff,LB,6-1,225.0,Fr.,"Cedar Falls, Iowa / Columbus Catholic",Indiana State,,,,
64,,41.0,Blake Surface,LB,6-2,225.0,R-Fr.,"Middletown, Ind. / Shenandoah",Indiana State,,,,
65,,42.0,Braxton Sampson,LB,6-1,210.0,Fr.,"Brazil, Ind. / Northview",Indiana State,,,,
66,,44.0,Tyce Ferrell,TE,6-4,245.0,So.,"Avon, Ind. / Avon",Indiana State,,,,
67,,45.0,Trejuan Purty,DL,6-0,235.0,R-Sr.,"Maryville, Tenn. / Maryville",Indiana State,Valparaiso/East Tennessee State,,,
68,,46.0,Harry Traum,P,6-0,175.0,Fr.,"Melbourne, Australia / Haileybury School",Indiana State,,,,
69,,47.0,Ike Branson,DL,6-1,230.0,R-Jr.,"South Bend, Ind. / Riley",Indiana State,UTSA / Phoenix College,,,
70,,47.0,Sam Steinhofer,LB,6-2,205.0,Fr.,"Noblesville, Ind. / Noblesville",Indiana State,,,,
71,,49.0,Jayden Perry,LS,6-4,220.0,R-So.,"Savannah, Ga. / Islands",Indiana State,Coastal Carolina University,,,
72,,51.0,Aaron Thompson,DL,6-1,225.0,Fr.,"Merrillville, Ind. / Merrillville",Indiana State,,,,
73,,52.0,Miller Blackwell,DL,6-3,270.0,R-So.,"Merrillville, Ind. / Merrillville",Indiana State,,,,
74,,53.0,Adeeb Jaouni,OL,6-4,305.0,R-Sr.,"Chino Hills, Calif. / Desert Hills",Indiana State,Dixie State University,,,
75,,54.0,Shane O'Mara,OL,6-5,290.0,So.,"Glen Ellyn, Ill. / Benet Academy",Indiana State,Olivet Nazarene University,,,
76,,56.0,Kris Butler,DL,6-2,230.0,Fr.,"Newburgh, Ind. / Castle",Indiana State,,,,
77,,57.0,RJ Brooks,OL,6-1,320.0,Fr.,"Indianapolis, Ind. / Lawrence North",Indiana State,,,,
78,,58.0,Tyler Miller,DL,5-10,260.0,R-So.,"Indianapolis, Ind. / Brebeuf Jesuit Prep",Indiana State,,,,
79,,60.0,Alex Todt,OL,6-4,285.0,Fr.,"St. Louis, Mo. / Chaminade College Prep School",Indiana State,,,,
80,,61.0,Antonio Burse,DL,6-1,250.0,R-So.,"Indianapolis, Ind. / Lawrence Central",Indiana State,,,,
81,,63.0,Loic Amouzouvi,OL,6-4,290.0,R-Fr.,"Indianapolis, Ind. / Pike",Indiana State,,,,
82,,65.0,Griffin Comer,OL,6-2,305.0,R-Fr.,"Terre Haute, Ind. / Terre Haute South",Indiana State,,,,
83,,66.0,Michael Ross,OL,6-2,310.0,R-Jr.,"Lombard, Ill. / Montini Cathlolic",Indiana State,Western Illinois University,,,
84,,67.0,Jose Vazquez IV,OL,6-3,320.0,R-Jr.,"Carol Stream, Ill. / Glenbard North",Indiana State,,,,
85,,70.0,Logan Bartley,OL,6-4,300.0,Fr.,"Paris, Ill. / Paris",Indiana State,,,,
86,,72.0,Keagen Trost,OL,6-6,310.0,R-So.,"Kankakee, Ill. / Kankakee",Indiana State,Morgan State University,,,
87,,73.0,Carter Herrin,OL,6-7,300.0,R-Jr.,"Terre Haute, Ind. / Terre Haute South",Indiana State,,,,
88,,74.0,Josh Weichel,OL,6-6,295.0,R-Sr.,"Niles, Ill. / Niles West",Indiana State,College of DuPage,,,
89,,75.0,Jackson Byrne,OL,6-2,310.0,R-Sr.,"New Albany, Ind. / West Washington",Indiana State,,,,
90,,76.0,Spencer Schneider,OL,6-5,320.0,R-Fr.,"Noblesville, Ind. / Guerin Catholic",Indiana State,,,,
91,,77.0,Tate Parker,OL,6-5,290.0,R-Fr.,"Toledo, Ohio / Whitmer",Indiana State,,,,
92,,78.0,Joel Stevens,OL,6-8,300.0,R-So.,"Lee's Summit, Mo. / Lee's Summit North",Indiana State,,,,
93,,79.0,Richard Myers,OL,6-5,290.0,Fr.,"Newburgh, Ind. / Castle",Indiana State,,,,
94,,80.0,Henry Woodcock,TE,6-3,235.0,R-Jr.,"Avon, Ind. / Cardinal Ritter",Indiana State,,,,
95,,81.0,James Mallory,WR,6-1,185.0,R-Fr.,"Terre Haute, Ind. / Terre Haute South",Indiana State,,,,
96,,82.0,Jared Kistler,WR,6-3,220.0,R-Fr.,"Fort Wayne, Ind. / Homestead",Indiana State,,,,
97,,83.0,Zavion Taylor,WR,5-9,175.0,So.,"Justin, Texas / Northwest",Indiana State,Navarro College,,,
98,,84.0,Harrison Stomps,WR,6-4,215.0,Fr.,"Greenwood, Ind. / Center Grove",Indiana State,,,,
99,,85.0,Ethan Chambers,WR,6-1,210.0,R-Fr.,"Fort Wayne, Ind. / Homestead",Indiana State,,,,
100,,86.0,DeAndre Rhodes,WR,6-3,190.0,R-Fr.,"Fishers, Ind. / Hamilton Southeastern",Indiana State,,,,
101,,87.0,Lance Rees,TE,6-4,250.0,R-Fr.,"Marshall, Ill. / Marshall",Indiana State,,,,
102,,88.0,Malachi Qualls,WR,6-1,195.0,R-Fr.,"Fishers, Ind. / Anderson",Indiana State,,,,
103,,89.0,Kevin Barnett,WR,6-4,200.0,R-So.,"Hattiesburg, Miss. / Oak Grove",Indiana State,East Mississippi Community College,,,
104,,90.0,Shane Bennett,DL,6-4,245.0,Fr.,"Greenwood, Ind. / Center Grove",Indiana State,,,,
105,,91.0,Kenny Butler III,DL,6-2,285.0,R-Fr.,"Evansville, Ind. / Castle",Indiana State,,,,
106,,92.0,Matthew Brown,DL,6-4,250.0,Fr.,"New Palestine, Ind. / New Palestine",Indiana State,,,,
107,,93.0,Lucas Hunter,DL,6-2,290.0,Jr.,"Indianapolis, Ind. / Center Grove",Indiana State,,,,
108,,94.0,Bryan Henderson II,DL,6-1,260.0,Fr.,"West Chester, Ohio / Lakota West",Indiana State,,,,
109,,96.0,Andre Casas,K,5-10,170.0,So.,"Oswego, Ill. / Oswego East",Indiana State,Concordia University (Wis.),,,
110,,96.0,Jake Hoper,DL,6-4,285.0,R-Jr.,"South Beloit, Ill. / Hononegah",Indiana State,Drake University,,,
111,,98.0,Casey Miller,DL,6-3,260.0,R-So.,"Mason, Ohio / William Mason",Indiana State,,,,
112,,99.0,Jack Sherman,DL,6-0,295.0,R-So.,"Terre Haute, Ind. / Terre Haute North",Indiana State,,,,
0,,,,,,,,,Indiana State,,,Curt Mallory,Head Coach
1,,,,,,,,,Indiana State,,,Mark Smith,Assistant Head Coach/Defensive Line
2,,,,,,,,,Indiana State,,,Mike Bath,Offensive Coordinator / Quarterbacks
3,,,,,,,,,Indiana State,,,Brad Wilson,Defensive Coordinator
4,,,,,,,,,Indiana State,,,Patrick Shepard,Special Teams Coordinator / Tight Ends
5,,,,,,,,,Indiana State,,,Aaron Young,Recruiting Coordinator / Running Backs
6,,,,,,,,,Indiana State,,,Tyler Funk,Offensive Line
7,,,,,,,,,Indiana State,,,Collin Coffer,Wide Receivers
8,,,,,,,,,Indiana State,,,Wolfgang Shafer,Safeties
9,,,,,,,,,Indiana State,,,Gavin Dineen,Defensive Line
10,,,,,,,,,Indiana State,,,JJ Henderson,Cornerbacks
11,,,,,,,,,Indiana State,,,Adam Dennison,Director of Operations
12,,,,,,,,,Indiana State,,,Dillon Weithman,Video Coordinator
0,,,,,,,,,Indiana State,,,Kyle Neaveill,Graduate Assistant/Defense
1,,,,,,,,,Indiana State,,,Brandon Hinds,Graduate Assistant/Offense
2,,,,,,,,,Indiana State,,,Alex Mitchell,Graduate Assistant/Offense & Special Teams
3,,,,,,,,,Indiana State,,,Cole Trammell,Assistant Operations Director
4,,,,,,,,,Indiana State,,,Kayleigh Hite,Student Graphic Designer/Media Assistant
5,,,,,,,,,Indiana State,,,Andrew Bement,Recruiting Student Manager
