,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,Current School Name,Previous School,Image,Title
84,,91.0,Hayden Muirhead,TE,6-6,230.0,So.,"Sioux Falls, S.D.",South Dakota State,O'Gorman H.S.,,
85,,91.0,Jace Sifore,DT,6-4,265.0,R-Fr.,"Howard, S.D.",South Dakota State,Howard H.S.,,
86,,92.0,Brian Williams,DT,6-1,290.0,Sr.,"Chipley, Fla.",South Dakota State,Valdosta State,,
87,,93.0,Max Baloun,DT,6-6,245.0,Jr.,"Redfield, S.D.",South Dakota State,Redfield H.S.,,
88,,94.0,Cade Terveer,DE,6-3,250.0,Sr.,"Brandon, S.D.",South Dakota State,Brandon Valley H.S.,,
89,,95.0,Zac Wilson,DE,6-3,235.0,Sr.,"Chipley, Fla.",South Dakota State,Chipley H.S.,,
90,,97.0,Luke Fenton,K/P,6-0,185.0,R-Fr.,"Omaha, Neb.",South Dakota State,Creighton Prep,,
91,,98.0,Ryan Van Marel,DT,6-4,280.0,Sr.,"Sheldon, Iowa",South Dakota State,Sheldon H.S.,,
92,,99.0,Jack Green,K,6-3,195.0,So.,"Rapid City, S.D.",South Dakota State,St. Thomas More H.S.,,
0,,,Jimmy Rogers,,,,,,South Dakota State,,,Head Coach
1,,,Zach Lujan,,,,,,South Dakota State,,,Offensive Coordinator/Quarterbacks Coach
2,,,Jesse Bobbit,,,,,,South Dakota State,,,Defensive Coordinator/Linebackers Coach
3,,,Ryan Olson,,,,,,South Dakota State,,,Run Game Coordinator/Offensive Line Coach
4,,,Pat Cashmore,,,,,,South Dakota State,,,Special Teams Coordinator
5,,,Chris Meyers,,,,,,South Dakota State,,,Tight Ends Coach/Recruiting Coordinator
6,,,Mike Banks,,,,,,South Dakota State,,,Cornerbacks Coach
7,,,Jalon Bibbs,,,,,,South Dakota State,,,Defensive Line Coach
8,,,Jake Menage,,,,,,South Dakota State,,,Wide Receivers Coach
9,,,Pete Menage,,,,,,South Dakota State,,,Safeties Coach
10,,,Robbie Rouse,,,,,,South Dakota State,,,Running Backs Coach
11,,,Matt Jacobs,,,,,,South Dakota State,,,Director of Strength & Conditioning for Football
12,,,Kyle Saddler,,,,,,South Dakota State,,,Offensive Quality Control
13,,,Kellen Soulek,,,,,,South Dakota State,,,Defensive Quality Control
14,,,Chuck Case,,,,,,South Dakota State,,,Graduate Assistant – Offense
15,,,Evan Traxler,,,,,,South Dakota State,,,Graduate Assistant – Defense
16,,,Sean Hupke,,,,,,South Dakota State,,,Video Coordinator
0,,,Jonathan Shaeffer,,,,,,South Dakota State,,,Director of Football Operations/Director of On-Campus Recruiting
1,,,Ethan Beisner,,,,,,South Dakota State,,,Assistant Director of Football Operations
2,,,Aaron Crowell,,,,,,South Dakota State,,,Head Equipment Manager
3,,,Charlie Miller,,,,,,South Dakota State,,,Associate Athletic Trainer (FB)
4,,,Hallie Hawe,,,,,,South Dakota State,,,Assistant Athletic Trainer (FB)
5,,,Michael Houseman,,,,,,South Dakota State,,,Creative Content Specialist
