,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Class,Current School Name,Hometown,High School,Name,Title
70,,,73.0,Jhy Orgeron,OL,6-4,285.0,Jr.,Southeastern Louisiana,"Galliano, La.",South Lafourche HS,,
71,,,74.0,Jalen Bell,OL,6-5,300.0,Sr.,Southeastern Louisiana,"Amory, Miss.",Amory HS,,
72,,,75.0,Blakeley Miller,OL,6-5,300.0,R-So.,Southeastern Louisiana,"Paducah, Ky.",McCracken County HS,,
73,,,77.0,Brandon Spincer Jr.,OL,6-2,275.0,Fr.,Southeastern Louisiana,"New Orleans, La.",Edna Karr HS,,
74,,,78.0,Logan Potter,OL,6-5,330.0,Rf.,Southeastern Louisiana,"Covington, La.",Covington HS,,
75,,,80.0,Da'shun Hugley,WR,6-1,175.0,R-So.,Southeastern Louisiana,"Baton Rouge, La.",Mentorship Academy,,
76,,,81.0,Marcellus Johnson,WR,6-3,215.0,R-Jr.,Southeastern Louisiana,"Killeen, Texas",Killeen HS,,
77,,,82.0,Corey Lorio,WR,5-10,160.0,R-So.,Southeastern Louisiana,"Hahnville, La.",Hahnville HS,,
78,,,84.0,Jett Booker,WR,5-9,180.0,R-So.,Southeastern Louisiana,"Cypress, Texas",Bridgeland HS,,
79,,,85.0,Tanner Olsen,TE,6-4,240.0,R-Sr.,Southeastern Louisiana,"Belle Chasse, La.",Brother Martin HS,,
80,,,86.0,Darius Lewis,WR,5-8,150.0,R-Jr.,Southeastern Louisiana,"New Orleans, La.",Del Valle HS,,
81,,,87.0,Demarea Johnson-Cooper,WR,6-0,175.0,Jr.,Southeastern Louisiana,"Reno, Nev.",Reed HS,,
82,,,88.0,Bauer Sharp,TE,6-5,230.0,R-So.,Southeastern Louisiana,"Dothan, Ala.",Dothan HS,,
83,,,89.0,Cade Collier,TE,6-6,245.0,R-Jr.,Southeastern Louisiana,"Mobile, Ala.",Baker HS,,
84,,,93.0,Rowan Briggs,DL,6-3,245.0,So.,Southeastern Louisiana,"Denton, Texas",Guyer HS,,
85,,,94.0,Javen Sanchez,DL,6-1,280.0,Jr.,Southeastern Louisiana,"Houston, Texas",Dobie HS,,
86,,,96.0,Dalton Allen,DL,6-4,260.0,R-Fr.,Southeastern Louisiana,"Oak Grove, La.",Oak Grove HS,,
87,,,97.0,Tyrik Mitchell,DL,5-11,290.0,R-Jr.,Southeastern Louisiana,"Hammond, La.",Hammond HS,,
88,,,99.0,Charles Hill,DL,6-4,245.0,R-Jr.,Southeastern Louisiana,"Houston, Texas",Klein Oak HS,,
0,,,,,,,,,Southeastern Louisiana,,,Frank Scelfo,Head Football Coach
1,,,,,,,,,Southeastern Louisiana,,,Greg Stevens,Offensive Coordinator/Quarterbacks
2,,,,,,,,,Southeastern Louisiana,,,A.J. Hopp,Offensive Line/Run Game Coordinator
