,Statistic,No.,Name,Pos.,Yr.,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Title
21,,13.0,Jared Moorer,CB,R-Fr.,5-9,172.0,"Deerfield Beach, Fla. / Deerfield Beach HS",Charleston Southern,,,
22,,14.0,Cooper Dawson,DL,R-So.,6-5,248.0,"Hanahan, S.C. / Hanahan HS",Charleston Southern,Syracuse,,
23,,14.0,Dee Oscar,RB,R-Jr.,5-11,180.0,"Sebastian River, Fla. / Sebastian River HS",Charleston Southern,NE Oklahoma A&M/McNeese State,,
24,,15.0,Ja'mareese Ray,WR,Fr.,5-11,170.0,"Hope Mills, N.C. / South View HS",Charleston Southern,,,
25,,16.0,Ja'Rell Smith,WR,R-So.,5-11,180.0,"Pine Mountain, Ga. / Harris County HS",Charleston Southern,,,
26,,17.0,Davin Driskell,TE,Fr.,6-6,215.0,"Evans, Ga. / Greenbrier HS",Charleston Southern,,,
27,,17.0,Elijah Harper,DL,R-So.,6-3,236.0,"Anderson, S.C. / Westside HS",Charleston Southern,,,
28,,19.0,David Gelb,P,Gr.,6-0,180.0,"Manalapan, N.J. / Manalapan HS",Charleston Southern,Maine,,
29,,20.0,Roderick Hawkins,RB,R-So.,5-8,214.0,"Tyler, Texas / Tyler HS",Charleston Southern,Tyler JC (Texas)/Hutchinson CC (Kan.),,
30,,20.0,Jeremy Martin,K/P,Gr.,5-11,195.0,"Charlton, Mass. / Shepherd Hill HS",Charleston Southern,UMass/Plymouth State,,
31,,22.0,Dylan Jones,S,R-Fr.,5-10,180.0,"Lake Mary, Fla. / Lake Mary HS",Charleston Southern,,,
32,,22.0,RJ Wells,WR,Fr.,5-11,170.0,"Nassau, Bahamas / IMG Academy (Fla.)",Charleston Southern,,,
33,,24.0,Jaron Richardson,CB,R-Jr.,5-10,172.0,"Sumter, S.C. / Lakewood HS",Charleston Southern,St. Andrews,,
34,,24.0,TJ Ruff,RB,R-Fr.,5-10,183.0,"Shelby, N.C. / Crest HS",Charleston Southern,,,
35,,25.0,Lawson Cook,S,Gr.,6-0,186.0,"Dacula, Ga. / Dacula HS",Charleston Southern,Ellsworth CC (Iowa),,
36,,26.0,Nivon Holland,WR,R-So.,5-10,168.0,"Orlando, Fla. / Dr. Phillips HS",Charleston Southern,,,
37,,26.0,Bryson Jones,S,R-Jr.,6-0,189.0,"West Columbia, S.C. / White Knoll HS",Charleston Southern,Hutchinson CC (Kan.),,
38,,27.0,Jaiden Miller,CB,R-Fr.,5-10,182.0,"Brunswick, Ga. / Glynn Academy HS",Charleston Southern,,,
39,,28.0,Tylan Hollis,LB,R-Fr.,5-11,199.0,"Manchester, Ga. / Manchester HS",Charleston Southern,,,
40,,29.0,Sam Babbush,K/P,R-So.,5-11,175.0,"Beachwood, Ohio / Beachwood HS",Charleston Southern,Kentucky,,
41,,30.0,Shary Jefferson,LB,R-So.,5-11,202.0,"Orlando, Fla. / Edgewater HS",Charleston Southern,,,
42,,30.0,Gabe Ortiz,RB,R-Fr.,5-6,170.0,"Concord, N.C. / Cannon School",Charleston Southern,,,
43,,31.0,Avery Snipes,DE,So.,6-3,226.0,"North Charleston, S.C. / Fort Dorchester HS",Charleston Southern,South Carolina State,,
44,,32.0,Darrius Bell,DE,R-So.,6-2,245.0,"Leesville, S.C. / Gilbert HS",Charleston Southern,Western Carolina,,
45,,33.0,Till Garvin,TE,R-So.,6-0,213.0,"Tyrone, Ga. / Sandy Creek HS",Charleston Southern,UAB,,
46,,34.0,Chad Ishmal,CB,So.,6-1,185.0,"Columbia, S.C. / Blythewood HS",Charleston Southern,Limestone,,
47,,35.0,Mac Johnson,DL,R-Fr.,6-2,214.0,"Chapin, S.C. / Ben Lippen HS",Charleston Southern,The Citadel,,
48,,36.0,Trayson Fowler,S,R-So.,6-2,215.0,"Spartanburg, S.C. / Boiling Springs HS",Charleston Southern,,,
49,,37.0,Jamel Johnson,CB,Fr.,5-11,187.0,"Covington, Ga. / Alcovy HS",Charleston Southern,,,
50,,38.0,Bryson Oliver,LB,R-Fr.,6-2,221.0,"Daleville, Va. / Lord Botetourt HS",Charleston Southern,,,
51,,39.0,Kaylon Walters,S,Fr.,5-11,170.0,"Kissimmee, Fla. / Osceola HS",Charleston Southern,,,
52,,40.0,Garrett Sayegh,LB,Gr.,5-9,210.0,"Simpsonville, S.C. / Hillcrest HS",Charleston Southern,,,
53,,41.0,Brandon Howard,LB,Fr.,5-11,219.0,"Ridgeland, S.C. / Thomas Heyward Academy",Charleston Southern,,,
54,,43.0,Bryce Llewellyn,S,Fr.,6-0,206.0,"McCordsville, Ind. / Cathedral HS",Charleston Southern,,,
55,,44.0,Edward Owusu,DL,R-Fr.,6-0,235.0,"Irmo, S.C. / Dutch Fork HS",Charleston Southern,,,
56,,45.0,Ja'Courtney Snipes,DL,R-So.,6-3,315.0,"Lithonia, Ga. / Lithonia HS",Charleston Southern,,,
57,,47.0,Noah Summers,LS,Fr.,6-0,205.0,"Rock Hill, S.C. / Rock Hill HS",Charleston Southern,,,
58,,48.0,Will McCarty,LB,R-Fr.,6-1,223.0,"Acworth, Ga. / Harrison HS",Charleston Southern,Georgia Southern,,
59,,49.0,Davion Williams,S,Fr.,6-1,180.0,"Frostproof, Fla. / Frostproof HS",Charleston Southern,,,
60,,50.0,Ben Moxley,OL,R-So.,6-1,282.0,"Lake Mary, Fla. / Lake Mary HS",Charleston Southern,,,
61,,51.0,Jomel Robinson,LB,R-Fr.,6-1,222.0,"Lithonia, Ga. / Martin Luther King Jr. HS",Charleston Southern,,,
62,,52.0,Josias Addison,DL,R-Fr.,6-1,283.0,"Blythewood, S.C. / Blythewood HS",Charleston Southern,,,
63,,53.0,Deondre Kennedy,DE,Fr.,6-3,225.0,"Kathleen, Ga. / Veterans HS",Charleston Southern,,,
64,,54.0,Will McCune,P/K,Fr.,6-1,205.0,"Summerville, S.C. / Ashley Ridge HS",Charleston Southern,,,
65,,55.0,Nick Perry,LB,R-Fr.,6-2,212.0,"Buford, Ga. / Buford HS",Charleston Southern,,,
66,,56.0,Jake Johnson,OL,R-Fr.,6-5,286.0,"Mooresville, N.C. / Lake Norman HS",Charleston Southern,,,
67,,56.0,DaQuan Robinson,DL,R-So.,6-0,225.0,"North Charleston, S.C. / Fort Dorchester HS",Charleston Southern,,,
68,,59.0,Justin Holsclaw,LB,R-Fr.,6-0,212.0,"Kannapolis, N.C. / A.L. Brown HS",Charleston Southern,,,
69,,61.0,Davis Sutherland,OL,R-Fr.,6-2,290.0,"Abbeville, S.C. / Abbeville HS",Charleston Southern,,,
70,,62.0,Ethan Hunt,OL,Fr.,6-3,270.0,"Lamar, S.C. / Lamar HS",Charleston Southern,,,
71,,63.0,Ryan Wright,OL,Fr.,6-4,295.0,"Sevierville, Tenn. / Northview Academy",Charleston Southern,,,
72,,65.0,Jack Rowland,OL,R-Fr.,6-3,277.0,"Kathleen, Ga. / Veterans HS",Charleston Southern,,,
73,,66.0,Bailey Ottaway,OL,R-Jr.,6-5,291.0,"Flowery Branch, Ga. / Flowery Branch HS",Charleston Southern,,,
74,,67.0,James Daniels,DL,R-Jr.,6-0,298.0,"Walterboro, S.C. / Colleton County HS",Charleston Southern,Erskine,,
75,,68.0,Caleb Eichelberger,OL,R-Fr.,6-8,300.0,"Aiken, S.C. / South Aiken HS",Charleston Southern,,,
76,,70.0,Harvey King,OL,Gr.,6-4,275.0,"Hilton Head Island, S.C. / Hilton Head HS",Charleston Southern,Savannah State,,
77,,71.0,Josiah Lancaster,OL,Fr.,6-6,330.0,"Plant City, Fla. / Plant City HS",Charleston Southern,,,
78,,72.0,Shane Strand,OL,Gr.,6-5,297.0,"Fredericksburg, Va. / Colonial Forge HS",Charleston Southern,VMI,,
79,,74.0,Darius Meeks,OL,R-Fr.,6-3,323.0,"Atlanta, Ga. / Westlake HS",Charleston Southern,,,
80,,75.0,Lee Mathews,OL,R-So.,6-4,308.0,"Palmetto, Fla. / Palmetto HS",Charleston Southern,,,
81,,78.0,King Walker,DL,Fr.,6-3,230.0,"Atlanta, Ga. / Booker T. Washington HS",Charleston Southern,,,
82,,79.0,Jacob Tylski,OL,R-So.,6-4,275.0,"Jacksonville, Fla. / Episcopal School",Charleston Southern,,,
83,,80.0,Fred Highsmith,WR,Fr.,6-1,170.0,"Eunice, La. / Trinity Christian Academy (Fla.)",Charleston Southern,,,
84,,81.0,Jaden Scott,WR,Fr.,6-1,192.0,"Charleston, S.C. / Palmetto Prep Academy",Charleston Southern,,,
85,,82.0,Buchi Nwaubi,WR,R-So.,6-3,203.0,"Marietta, Ga. / Lassiter HS",Charleston Southern,,,
86,,83.0,Seth Anderson,WR,R-Fr.,6-0,178.0,"Suwanee, Ga. / North Gwinnett HS",Charleston Southern,,,
87,,85.0,Ja'Won Grey,WR,Fr.,6-1,175.0,"Jacksonville, Fla. / University Christian School",Charleston Southern,,,
88,,86.0,Tanner Bentley,WR,R-Fr.,6-2,185.0,"Dallas, Ga. / North Paulding HS",Charleston Southern,,,
89,,87.0,Noah Allred,TE,R-Fr.,6-6,230.0,"Greensboro, N.C. / Bishop McGuinness HS",Charleston Southern,,,
90,,88.0,Kale Anderson,WR,R-So.,5-10,172.0,"Comer, Ga. / Athens Academy",Charleston Southern,,,
91,,89.0,Chylon Thomas,WR,Sr.,5-7,171.0,"Elgin, S.C. / Gray Collegiate Academy",Charleston Southern,Charlotte,,
92,,91.0,Tylon Chambers,DL,R-So.,6-1,312.0,"Gordon, Ga. / Veterans HS",Charleston Southern,,,
93,,92.0,Laron Davis,DL,R-Fr.,6-3,287.0,"Daytona Beach, Fla. / Mainland HS",Charleston Southern,,,
94,,93.0,Matt Suriano,DL,R-So.,6-3,270.0,"Medford, N.J. / Shawnee HS",Charleston Southern,,,
95,,94.0,Mikah Riley,DL,R-Fr.,6-2,271.0,"Apopka, Fla. / Apopka HS",Charleston Southern,,,
96,,95.0,Garret Cates,LS,R-Fr.,6-2,220.0,"Lutz, Fla. / Steinbrenner HS",Charleston Southern,,,
97,,96.0,Chavon Fields,DT,Gr.,6-1,250.0,"Richmond, Va. / Huguenot HS",Charleston Southern,UVa.-Wise,,
98,,98.0,Will Laing,P/K,Fr.,6-0,185.0,"Harrisburg, N.C. / Hickory Ridge HS",Charleston Southern,,,
99,,99.0,Devonte Turner,DL,R-So.,6-2,256.0,"Windsor, Ontario / Clearwater Academy International HS (Fla.)",Charleston Southern,Coffeyville CC (Kan.),,
100,,,Khalique Holland,CB,Fr.,5-10,195.0,"Greenville, S.C. / Greenville HS",Charleston Southern,,,
101,,,Terance Mathis Jr.,WR,R-Fr.,5-8,172.0,"Suwanee, Ga. / Lambert HS",Charleston Southern,Tyler JC (Texas),,
0,,,Gabe Giardina,,,,,,Charleston Southern,,,Head Coach
1,,,Nick Reveiz,,,,,,Charleston Southern,,,Defensive Coordinator
2,,,Adam Hollifield,,,,,,Charleston Southern,,,Offensive Coordinator/Offensive Line
3,,,Shuler Bentley,,,,,,Charleston Southern,,,Quarterbacks
4,,,Tyler Bell,,,,,,Charleston Southern,,,Running Backs
5,,,Zack Johnson,,,,,,Charleston Southern,,,Linebackers/Recruiting Coordinator
6,,,Vince Giardina,,,,,,Charleston Southern,,,Wide Receivers
7,,,Jalen Bush,,,,,,Charleston Southern,,,Corners
8,,,Mike Welch,,,,,,Charleston Southern,,,Defensive Line
9,,,Maurice Duncan,,,,,,Charleston Southern,,,Secondary
10,,,Caleb Muxlow,,,,,,Charleston Southern,,,Graduate Assistant/Tight Ends
11,,,Dillon Sharp,,,,,,Charleston Southern,,,Graduate Assistant/Quarterbacks
12,,,Main Phone Line,,,,,,Charleston Southern,,,
0,,,David Padilla,,,,,,Charleston Southern,,,Assistant A.D. for Football Operations
1,,,Brandon Gilbert,,,,,,Charleston Southern,,,Director of Strength & Conditioning
2,,,Gary Monteer,,,,,,Charleston Southern,,,Director of Equipment Operations
3,,,Curtis Stacey,,,,,,Charleston Southern,,,Student Manager
