,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown/Previous School,Image,Name,Title
0,,0.0,Floyd Chalk IV,RB,5-9,185.0,Fr.,"Mission Hills, Calif. / Bishop Alemany HS",,,
1,,0.0,Trent Henry,DB,5-11,195.0,Fr.,"Miami, Fla. / Miami Central HS",,,
2,,1.0,Myron Stewart,DB,6-1,195.0,Sr.,"Port Gibson, Miss. / Mississippi Gulf Coast CC",,,
3,,1.0,JR Waters,WR,6-3,180.0,So.,"Oxnard, Calif. / Oregon/Southern Utah",,,
4,,2.0,Xavier Lodge,DB,5-11,205.0,Jr.,"Baton Rouge, La. / Louisiana Tech",,,
5,,2.0,Chance Williams,RB,5-10,170.0,Fr.,"Baton Rouge, La. / Scotlandville HS",,,
6,,3.0,Marquis Britten,DB,5-11,185.0,Jr.,"Baton Rouge, La. / Incarnate Word",,,
7,,3.0,Amani Gilmore,QB,6-2,220.0,R-Fr.,"Amite, La. / North Texas",,,
8,,4.0,Julian Calvez,QB,6-3,190.0,Fr.,"Orlando, Fla. / Jones HS",,,
9,,4.0,Joshua Reed,LB,6-0,225.0,Sr.,"Houston, Texas / Blinn CC",,,
10,,5.0,Kajiya Hollawayne,WR,6-4,210.0,R-Fr.,"Hemet, Calif. / UCLA",,,
11,,5.0,Quincy Mitchell,DB,6-1,190.0,Sr.,"Baton Rouge, La. / Southern Lab HS",,,
12,,6.0,Rey Estes,DB,6-0,180.0,Sr.,"East Saint Louis, Ill. / Riverside CC",,,
13,,6.0,CJ Russell,RB,6-0,200.0,R-So.,"Arcadia, La. / Arcadia HS",,,
14,,7.0,Luca Duarte,K,5-10,155.0,Fr.,"Fayetteville, N.C. / Jack Britt HS",,,
15,,7.0,Phaizon Wilson,WR,6-4,207.0,Fr.,"Lancaster, Texas / Lancaster HS",,,
16,,8.0,Lawrence Asiedu,DB,6-0,195.0,Sr.,"Austin, Texas / Fort Scott CC",,,
17,,8.0,Quaterius Hawkins,QB,6-0,180.0,Jr.,"Bastrop, La. / Jones College",,,
18,,9.0,Sundiata Anderson,DL,6-5,240.0,Jr.,"College Park, Ga. / North Clayton HS",,,
19,,9.0,Greg White,WR,6-3,205.0,Sr.,"Atlanta, Ga. / Riverdale HS",,,
20,,10.0,Lyndon Rash,WR,6-0,220.0,Sr.,"Baton Rouge, La. / Madison Prep HS",,,
21,,11.0,Ryan Peppins,WR,5-8,168.0,Fr.,"Alabaster, Ala. / Utah",,,
22,,13.0,Chance Amie,QB,6-3,191.0,Jr.,"Flint, Texas / Syracuse",,,
23,,14.0,Norey Johnson,DB,6-3,185.0,Fr.,"Cincinnati, Ohio / Deer Park HS",,,
24,,15.0,Noah Bean,TE,6-2,235.0,Gr.,"Simi Valley, Calif. / UNLV",,,
25,,16.0,Donald Johnson III,WR,5-9,180.0,Jr.,"Ruston, La. / Ruston HS",,,
26,,17.0,Tyson Bordeaux,WR,6-5,180.0,Fr.,"Long Beach, Calif. / Long Beach Poly",,,
27,,19.0,Antonio Jones,WR,5-9,175.0,Fr.,"Atlanta, Ga. / Lovejoy HS",,,
28,,20.0,Chris Daigre,DB,5-11,180.0,So.,"Baton Rouge, La. / Alcorn State",,,
29,,21.0,Ryan Fields,DB,6-2,190.0,Sr.,"Cypress, Texas / Cypress Ranch HS",,,
30,,23.0,Keilon Elder,RB,5-10,200.0,Jr.,"Dallas, Texas / Duncanville HS",,,
