,Statistic,No.,Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Previous School,Major,Image,Title
74,,88.0,Trey West,WR,6-0,197.0,R-Jr.,"Ft. Lauderdale, Fla. / St. Thomas Aquinas",Elon,,Finance & Marketing,,
75,,91.0,Donovan Everette,OLB,6-2,266.0,R-So.,"Norfolk, Va. / Norview",Elon,,Undeclared,,
76,,92.0,Parris Lowery,DL,6-1,292.0,R-So.,"Lynchburg, S.C. / Crestwood",Elon,,Undeclared,,
77,,93.0,Will McCoy,LS,6-2,212.0,R-So.,"Charlotte, N.C. / Providence",Elon,,Communications,,
78,,94.0,Cazeem Moore,DL,6-3,232.0,So.,"Vanceboro, N.C. / West Craven",Elon,,,,
79,,95.0,Chuck Nnaeto,DL,6-2,285.0,So.,"Morristown, N.J. / Delbarton School",Elon,,,,
80,,99.0,Josh Johnson,DL,6-3,270.0,Jr.,"Salem, N.J. / Salem",Elon,,Environmental Studies,,
0,,,Tony Trisciani,,,,,,Elon,,,,Head Football Coach
1,,,Drew Folmar,,,,,,Elon,,,,Associate Head Football Coach (Offensive Coordinator/Quarterbacks)
2,,,Dovonte Edwards,,,,,,Elon,,,,Assistant Football Coach (Defensive Coordinator/Defensive Backs)
3,,,Seth Payne,,,,,,Elon,,,,Assistant Football Coach (Defensive Run Game Coordinator/Defensive Line/Recruiting Coordinator)
4,,,Milo Austin,,,,,,Elon,,,,Assistant Football Coach (Special Teams Coordinator/Outside Linebackers)
5,,,Casey Vance,,,,,,Elon,,,,Assistant Football Coach (Inside Linebackers)
6,,,Nate Harris,,,,,,Elon,,,,Assistant Football Coach (Running Backs)
7,,,Ty Greenwood,,,,,,Elon,,,,Assistant Football Coach (Defensive Pass Game Coordinator/Cornerbacks)
8,,,Alex Stadler,,,,,,Elon,,,,Assistant Football Coach (Offensive Line)
9,,,Kyle Perkins,,,,,,Elon,,,,Assistant Football Coach (Wide Receivers)
10,,,Matt Ford,,,,,,Elon,,,,Assistant Football Coach (Tight Ends)
11,,,Dominique Battle,,,,,,Elon,,,,Assistant Football Coach (Cornerbacks)
12,,,Mike Nall,,,,,,Elon,,,,Assistant Football Coach (Special Teams Assistant)
13,,,Joe Perri,,,,,,Elon,,,,Assistant Football Coach (Defensive Line Assistant)
0,,,Dan Baranik,,,,,,Elon,,,,Director of Player Personnel and Football Operations
1,,,Nick DiMarco,,,,,,Elon,,,,Director of Sports Performance
2,,,Hal Capps,,,,,,Elon,,,,Director of High School Relations
3,,,Jim Cross,,,,,,Elon,,,,Head Athletics Equipment Manager
4,,,Dr. Lee Diehl,,,,,,Elon,,,,Head Team Physician/Orthopedic Surgeon
5,,,Bob Disher,,,,,,Elon,,,,Life Coach
