,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown,Current School Name,High School,Image,Name,Title
51,,52.0,Jack Barnes,DL,6-2,220.0,So.,"Fayetteville, N.C.",Bucknell,Blair Academy (N.J.),,,
52,,53.0,Cooper Kim,LB,6-1,230.0,Sr.,"Moorestown, N.J.",Bucknell,St. Joseph's Prep (Pa.),,,
53,,54.0,Harrison Shepherd,OL,6-5,280.0,Jr.,"Wyoming, Ohio",Bucknell,Wyoming,,,
54,,55.0,Mark Dunckle,DL,5-9,220.0,Jr.,"Factoryville, Pa.",Bucknell,Lackawanna Trail,,,
55,,56.0,Benji Smith,OL,6-3,270.0,Fr.,"Sudbury, Mass.",Bucknell,Lincoln-Sudbury Regional,,,
56,,57.0,Kenneth Scott,OL,6-1,290.0,Fr.,"Washington, D.C.",Bucknell,Bell,,,
57,,58.0,Aidan Catania,LB,5-11,200.0,So.,"West Chester, Pa.",Bucknell,Malvern Prep,,,
58,,59.0,Sean Quarterman,OL,6-3,260.0,Jr.,"Chicago, Ill.",Bucknell,Marist H.S.,,,
59,,60.0,Kieran Coscia,OL,6-3,260.0,Fr.,"Pittsfield, Mass.",Bucknell,Pittsfield,,,
60,,61.0,Ryan Jedlicka,LS,5-10,180.0,Fr.,"Greenwich, Conn.",Bucknell,Greenwich,,,
61,,62.0,Matt Schearer,P/K,5-11,170.0,Fr.,"Canonsburg, Pa.",Bucknell,Central Catholic,,,
62,,65.0,Zack Tarburton,OL,6-3,275.0,Jr.,"Perkasie, Pa.",Bucknell,Pennridge,,,
63,,67.0,Nathan Natoli,OL,6-6,260.0,Fr.,"Olney, Md.",Bucknell,Sherwood,,,
64,,68.0,D.K. Kim,OL,6-5,290.0,Fr.,"Gimpo, South Korea",Bucknell,Allentown Central Catholic (Pa.),,,
65,,69.0,James Poulos,OL,6-2,280.0,Fr.,"Fort Lauderdale, Fla.",Bucknell,Calvary Christian Academy,,,
66,,70.0,R.J. Mehan,OL,6-4,305.0,Sr.,"Worthington, Ohio",Bucknell,Worthington Kilbourne,,,
67,,71.0,Fredrick Sturgis,OL,6-4,285.0,So.,"Cincinnati, Ohio",Bucknell,Archbishop Moeller,,,
68,,72.0,Gavin Kennedy,OL,6-5,295.0,Fr.,"Turnersville, N.J.",Bucknell,St. Augustine Prep,,,
69,,73.0,Mason Jones,OL,6-6,295.0,So.,"Franklin, Tenn.",Bucknell,Franklin,,,
70,,74.0,Casey Stephenson,OL,6-2,290.0,Jr.,"Philadelphia, Pa.",Bucknell,St. Joseph's Prep,,,
71,,75.0,Jake Guy,OL,6-2,285.0,So.,"Philadelphia, Pa.",Bucknell,Don Bosco Prep (N.J.),,,
72,,76.0,Ashton Sempervive,DL,6-2,260.0,Fr.,"New Egypt, N.J.",Bucknell,New Egypt,,,
73,,77.0,Ethan Pitzel,OL,6-4,275.0,Jr.,"Solon, Ohio",Bucknell,Solon,,,
74,,78.0,John Ohnegian,OL,6-2,285.0,Fr.,"Ramsey, N.J.",Bucknell,Saint Joseph Regional,,,
75,,79.0,Rowan McGwin,OL,6-6,274.0,Fr.,"Rochester, N.Y.",Bucknell,Irondequoit,,,
76,,81.0,Christian Spugnardi,TE,6-6,215.0,So.,"Bethlehem, Pa.",Bucknell,Allentown Central Catholic,,,
77,,82.0,Charlie Kreinbucher,TE,6-5,230.0,Fr.,"Butler, Pa.",Bucknell,Butler Area,,,
78,,83.0,Mason Muir,WR,6-5,195.0,So.,"Greenwich, Conn.",Bucknell,Greenwich,,,
79,,85.0,Adam Barakat,WR,6-3,220.0,Jr.,"Los Angeles, Calif.",Bucknell,St. Francis,,,
