,Statistic,No.,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
3,,,,,,,,,Kennesaw State,,,Ossie Buchannon,Wide Receivers Coach/Special Teams Coordinator
4,,,,,,,,,Kennesaw State,,,Stewart Cook,Tight Ends and Tackles Coach
5,,,,,,,,,Kennesaw State,,,Liam Klein,Recruiting Coordinator/Defensive Line Coach
6,,,,,,,,,Kennesaw State,,,Darius Safford,Defensive Backs Coach
7,,,,,,,,,Kennesaw State,,,Tim Glanton,Running Backs Coach
8,,,,,,,,,Kennesaw State,,,Chandler Burks,Quarterbacks/B-backs Coach
9,,,,,,,,,Kennesaw State,,,Greg Harris,Linebackers Coach
10,,,,,,,,,Kennesaw State,,,Kynjee Cotton,Defensive Ends Coach
11,,,,,,,,,Kennesaw State,,,Jake Lassiter,Offensive Graduate Assistant
12,,,,,,,,,Kennesaw State,,,Hampton Hamner,Defensive Graduate Assistant
0,,,,,,,,,Kennesaw State,,,Matt Griffin,Chief of Staff
1,,,,,,,,,Kennesaw State,,,Alex Derenthal,Director of Football Sports Performance
2,,,,,,,,,Kennesaw State,,,Dakota Rushing,Assistant Sports Performance Coach (Football)
3,,,,,,,,,Kennesaw State,,,Johnny Rupp,Graduate Sports Performance Coach
4,,,,,,,,,Kennesaw State,,,Keith Mize,Head Football Athletic Trainer
5,,,,,,,,,Kennesaw State,,,Courtney Wisler,"Assistant Athletic Trainer, Football"
6,,,,,,,,,Kennesaw State,,,Lydia West,Director of Football Operations
7,,,,,,,,,Kennesaw State,,,Trudy Cobb,"Coordinator, Football Administration"
8,,,,,,,,,Kennesaw State,,,Reese Mathewson,Video Coordinator
9,,,,,,,,,Kennesaw State,,,Kaleb Fedelem,Football Equipment Manager
10,,,,,,,,,Kennesaw State,,,Nolan Alexander,"""Voice of the Owls"" / Assistant Athletics Director of Communications & Broadcasting"
11,,,,,,,,,Kennesaw State,,,Michael Goss,Associate Director of Athletics Communications
12,,,,,,,,,Kennesaw State,,,Michael Pitts,Athletics Communications Assistant
