,Statistic,No.,Name,Pos.,Year,Ht.,Wt.,Hometown / High School,Major,Opendorse
29,,18.0,Andres Lehrmann,DE,Sr.,6-2,238.0,"Doral, Fla. / Doral Academy",General Business,andres-lehrmann
30,,19.0,Chase Glover-Rodgers,WR,So.,6-3,196.0,"Detroit, Mich. / West Bloomfield",General Studies,jonathan-glover-rodgers
31,,20.0,Willie Edmunds,TB,So.,5-10,196.0,"Danville, Va. / George Washington",Sociology,willie-edmunds
32,,21.0,Jaylen Castleberry,DB,So.,5-11,185.0,"Lakewood, Ohio / St. Edward’s",General Studies,
33,,21.0,Cephus Harris III,TB,R-Fr.,5-9,203.0,"Clinton Township, Mich. / Chippewa Valley",Undecided,cephus-harris-iii
34,,22.0,Adrian Compton,WR,Jr.,6-2,196.0,"Ellenwood, Ga. / South Gwinnett",General Studies,adrian-compton
35,,22.0,Jordan Rudolph,DB,R-Fr.,5-11,158.0,"Lewis Center, Ohio / Oletangy Orange",Business Administration,jordan-rudolph
36,,23.0,Marcus Hooker,DB,Sr.,5-11,195.0,"New Castle, Pa. / New Castle",Sociology,marcus-hooker
37,,24.0,Alijah Curtis,DB,Jr.,5-10,192.0,"Canton, Ohio / McKinley",Business Administration,dadisi-curtis-profile
38,,24.0,Andrew Lastovka,PK,R-Fr.,5-8,160.0,"Sagamore Hills, Ohio / Nordonia",STEM First Year Engineering,andrew-lastovka
39,,27.0,Rayshawn Manning Jr.,WR,R-Fr.,6-0,172.0,"Shaker Heights, Ohio / St. Edward’s",Undecided,rayshawn-manning
40,,28.0,Sir Jerome Treadwell,DE,So.,6-2,227.0,"Washington, D.C. / Archbishop Carroll",Business Administration,jerome-treadwell
41,,29.0,Jarin Davis,DB,So.,6-0,161.0,"Fort Lauderdale, Fla. / St. Thomas Aquinas",Exercise Science,jarin-davis
42,,29.0,Blaize Exline,WR,R-Fr.,5-11,175.0,"Salem, Ohio / Salem",Information Technology,
43,,30.0,Jaylon Baylor,WR,Jr.,5-10,146.0,"Pickerington, Ohio / Pickerington North",General Studies,jaylon-baylor
44,,30.0,Jonathan Schmidt,PK,So.,5-7,165.0,"Canfield, Ohio / Canfield",Biology Pre Medical,jonathan-schmidt-obBv2X7Q
45,,31.0,Clay Medvec,PK,So.,6-1,199.0,"New Middletown, Ohio / Springfield",Business Administration,clayton-medvec
46,,32.0,Dylan Dominguez,DB,R-Fr.,5-11,180.0,"North Lima, Ohio / South Range",Exercise Science,dylan-dominiguez
47,,33.0,George Linberger,TB,R-Fr.,5-10,221.0,"Akron, Ohio / SVSM",Chemistry/Pre-Med,george-linberger
48,,33.0,Preston Zandier,LB,So.,6-2,217.0,"Pittsburgh, Pa. / Thomas Jefferson",Industrial Engineering,preston-zandier
49,,34.0,Logan Pasco,LB,Jr.,6-0,216.0,"Davison, Mich. / Davison",Marketing Management,logan-pasco
50,,35.0,Andrew Centofanti,DB,So.,6-2,208.0,"Poland, Ohio / Poland",Accounting,andrew-centofanti
51,,35.0,Da’Shaun Whatley,TB,R-Fr.,5-9,177.0,"Cleveland, Ohio / Glenville",Business Economics,dashaun-whatley
