,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Major,Image,Title
100,,91.0,Phil Tita,K,6-2,180.0,So.,"Fernandina Beach, Fla. / Fernandina Beach",Drake,Accounting,,
101,,92.0,Collin Schremp,DL,6-4,205.0,Fr.,"Middleton, Wis. / Middleton",Drake,,,
102,,93.0,Jacob Auen,DL,6-5,230.0,Fr.,"West Des Moines, Iowa / Valley",Drake,,,
103,,94.0,Stenton Quaye,DL,6-2,220.0,So.,"Boynton Beach, Fla. / Kings Academy",Drake,Open Enrolled,,
104,,95.0,Cooper Cerese,DL,6-1,245.0,Fr.,"Roselle, Ill. / Lake Park",Drake,,,
105,,96.0,Nolan Engmann,DL,6-3,270.0,Sr.,"Huntley, Ill. / Huntley",Drake,Kinesiology,,
106,,97.0,Jason Christenson,DL,6-1,258.0,Jr.,"Cypress, Texas / Cypress Woods",Drake,Business Studies,,
107,,98.0,Connor Groff,DL,6-3,225.0,So.,"Evanston, Ill. / Evanston Township",Drake,Business Studies & Kinesiology,,
108,,99.0,Ryan Schroeder,K/P,6-2,190.0,Fr.,"Cedarburg, Wis. / Cedarburg",Drake,,,
0,,,Todd Stepsis,,,,,,Drake,,,Head Coach
1,,,Al Smith,,,,,,Drake,,,Defensive Coordinator/Linebackers
2,,,Willie Cashmore,,,,,,Drake,,,Special Teams Coordinator/Defensive Line
3,,,John Bloss,,,,,,Drake,,,Defensive Assistant/Secondary/Recruiting Coordinator
4,,,Adam Gajo,,,,,,Drake,,,Offensive Assistant/Wide Receivers/Pass Game Coordinator
5,,,Jerome Grey,,,,,,Drake,,,Offensive Assistant/Running Backs/Player Personnel
6,,,Nate Thompson,,,,,,Drake,,,Offensive Assistant/Offensive Line/Run Game Coordinator
7,,,Jackson Ostroski,,,,,,Drake,,,Offensive Assistant/Tight Ends & Assistant Offensive Line
8,,,Christian Nussbaum,,,,,,Drake,,,Defensive Assistant/Defensive Line
9,,,CJ Butt,,,,,,Drake,,,Defensive Assistant/Defensive Backs
10,,,PJ Hedrington,,,,,,Drake,,,Defensive Analyst
11,,,Barney Munro,,,,,,Drake,,,Special Teams Assistant
12,,,Dave Applegate,,,,,,Drake,,,Minister of Culture
13,,,Carson Culp,,,,,,Drake,,,Multimedia/Creative Producer
14,,,Max Slinden,,,,,,Drake,,,Student Manager
15,,,Maya Wennekamp,,,,,,Drake,,,Student Manager
16,,,Alex Baker,,,,,,Drake,,,Student Manager
