,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Previous School,Image,Name,Title
38,,40.0,Haydn Stay,TE,6-4,245.0,R-Fr.,"Princeton, Minn. / Princeton",,,,
39,,42.0,Kason Kelley,LB,6-2,235.0,Jr.,"Omaha, Neb. / Millard North",,,,
40,,43.0,Jaden Norby,TE,6-3,245.0,Jr.,"Ashby, Minn. / West Central Area-Ashby",,,,
41,,44.0,Mason South,TE,6-2,235.0,R-Fr.,"Maple Grove, Minn. / Maple Grove",,,,
42,,45.0,Hayden Stec,LB,6-1,220.0,R-Fr.,"Elkhorn, Neb. / Elkhorn",,,,
43,,46.0,Ted Mullin,LB,6-1,220.0,Gr.,"Littleton, Colo. / Columbine",,,,
44,,47.0,Bartholomew Ogbu,DL,6-3,250.0,Gr.,"Bismarck, N.D. /",North Dakota State,,,
45,,48.0,Jack Baretz,LB,6-3,230.0,R-Fr.,"Franklin, Wis. / Franklin",,,,
46,,49.0,Ben McNaboe,DL,6-3,245.0,Sr.,"Rogers, Minn. / Rogers",Minnesota,,,
47,,51.0,Caleb Olson,DL,6-2,280.0,R-Fr.,"Fort Ransom, N.D. / Lisbon",,,,
48,,52.0,Logan Doell,LB,6-3,220.0,R-Fr.,"Luxemburg, Wis. / Luxemburg-Casco",,,,
49,,53.0,C.J. Elrichs,K/P,6-2,190.0,R-Fr.,"Olathe, Kan. / Olathe Northwest",,,,
50,,54.0,Jaden Feterl,LB,6-3,230.0,So.,"Sioux Falls, S.D. / Washington",,,,
51,,55.0,Lucas Schweigert,DL,6-0,275.0,R-Fr.,"Bismarck, N.D. / Century",,,,
52,,57.0,Casey Schultz,DL,6-4,245.0,So.,"Caledonia, Minn. / Caledonia",,,,
53,,59.0,Wyatt Pedigo,LB,6-0,230.0,Jr.,"Hoisington, Kan. / Hoisington",,,,
54,,60.0,Jagger Ferden,OL,6-4,285.0,Jr.,"Union, Ill. / Marengo",,,,
55,,61.0,Danny Carroll,OL,6-1,280.0,So.,"Overland Park, Kan. / St. Thomas Aquinas",,,,
56,,63.0,Josh Yon,LB,6-1,225.0,R-Fr.,"Thompson, N.D. / Thompson",,,,
57,,64.0,Dolapo Egunjobi,OL,6-5,305.0,Jr.,"Winnipeg, Manitoba /",Manitoba,,,
58,,67.0,Liam Becher,OL,6-6,315.0,R-Fr.,"Iowa City, Iowa / West",,,,
59,,68.0,Brayden Bryant,OL,6-2,305.0,Jr.,"Ardmore, Okla. / Ardmore",Butler CC,,,
60,,69.0,Cade Borud,OL,6-2,320.0,R-Fr.,"Pleasant Hill, Iowa / Southeast Polk",,,,
61,,71.0,Seth Anderson,OL,6-4,305.0,Jr.,"Moorhead, Minn. / Moorhead",North Dakota State,,,
62,,72.0,Colin Lavell,OL,6-4,300.0,Sr.,"Parker, Colo. / Legend",,,,
63,,73.0,Jack Kuntz,OL,6-4,310.0,Jr.,"Devils Lake, N.D. / Devils Lake",,,,
64,,74.0,Donny Ventrelli,OL,6-4,300.0,5th,"St. Paul, Minn. / Como Park",,,,
65,,75.0,Sam Hagen,OL,6-6,315.0,So.,"Fordville, N.D. / Park River Area-Fordville Lankin",,,,
66,,76.0,Gus German,OL,6-7,330.0,Jr.,"West Lafayette, Ind. /",Purdue,,,
67,,77.0,Easton Kilty,OL,6-5,305.0,Jr.,"Stratford, Wis. / Stratford",,,,
68,,79.0,Peyton Lotysz,OL,6-3,290.0,Jr.,"Grand Forks, N.D. / Red River",,,,
69,,80.0,Nick Kupfer,WR,6-3,200.0,So.,"Bismarck, N.D. / Legacy",,,,
70,,81.0,Sam Strandell,WR,6-2,200.0,R-Fr.,"Grand Forks, N.D. / Central",,,,
71,,82.0,Trace Thaden,TE,6-7,250.0,R-Fr.,"Omaha, Neb. / Millard West",,,,
72,,84.0,Nate DeMontagnac,WR,6-2,190.0,So.,"Mississauga, Ontario / Clarkson Football North",,,,
73,,85.0,Luke Silvernale,P/K,6-0,185.0,R-Fr.,"Grand Rapids, Mich. / Forest Hills Northern",,,,
74,,86.0,Max Gunderson,TE,6-5,255.0,Jr.,"Detroit Lakes, Minn. / Detroit Lakes",,,,
75,,87.0,Trasen Pollman,WR,6-1,190.0,R-Fr.,"Bottineau, N.D. / Bottineau",,,,
76,,90.0,Craig Orlando,DL,6-3,290.0,Jr.,"Verndale, Minn. / Verndale",,,,
77,,91.0,Jack Teiken,DL,6-4,245.0,R-Fr.,"Moorhead, Minn. / Moorhead",,,,
78,,92.0,Brady Stevens,K,6-1,170.0,Gr.,"Highlands Ranch, Colo. / Colorado",,,,
79,,93.0,Elijah Beach,DL,6-3,290.0,Sr.,"Streamwood, Ill. / Streamwood",,,,
80,,95.0,Jake Saltonstall,DL,6-4,265.0,Sr.,"Morgan Hill, Calif. /",New Mexico,,,
81,,96.0,David Neuberger,LS,6-0,200.0,So.,"Davenport, Iowa / Assumption",,,,
82,,99.0,Jaelen Johnson,DL,6-2,255.0,5th,"Greendale, Wis. / Greendale",,,,
0,,,,,,,,,,,Bubba Schweigert,Head Coach
1,,,,,,,,,,,Danny Freund,Assistant Coach/Offensive Coord/QBs
2,,,,,,,,,,,Joel Schwenzfeier,Assistant Coach/Defensive Coord./Safeties
3,,,,,,,,,,,Shawn Kostich,Assistant Coach/Special Teams Coord./TEs/FBs
4,,,,,,,,,,,Austin Flyger,Assistant Coach/Defensive Line
5,,,,,,,,,,,Sam King,Assistant Coach/Wide Receivers
6,,,,,,,,,,,Joe Pawlak,Assistant Coach/Offensive Line
7,,,,,,,,,,,Travis Stepps,Assistant Coach/Defensive Backs
8,,,,,,,,,,,Carl Reinholz,Defensive Assistant/Video Coord./ILBs/Camps
9,,,,,,,,,,,Nate Baukol,Director of Strength and Conditioning
10,,,,,,,,,,,Travis Kahlbaugh,Director of Football Operations
11,,,,,,,,,,,Joe Caulfield,Director of Player Personnel & Football Office Operations
0,,,,,,,,,,,Joe Seymour,"Graduate Assistant, Special Teams/Offense"
1,,,,,,,,,,,Ethan Postler,Student Video (Quarterbacks)
2,,,,,,,,,,,Kaden Cantone,Student Intern (Defense/Defensive Line)
3,,,,,,,,,,,David Kaplan,Intern (Defense/Defensive Backs)
4,,,,,,,,,,,Riccardo Facchini,Intern (Offense/Offensive Line)
