,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown (Prev School),Image,Title
47,,59.0,Korion Sharpe,OL,6-4,315.0,Jr.,"Charlotte, N.C. / Rocky River",,
48,,60.0,Lawrence Lagrone,OL,6-2,345.0,R-Sr.,"Douglasville, Ga. / Douglas",,
49,,61.0,Jared Crawl-Bey,OL,6-6,250.0,So.,"Charlotte, N.C. / Mallard Creek",,
50,,66.0,Darren Jackson,OL,6-3,305.0,R-So.,"Fairburn, Ga. / Our Lady of Mercy HS",,
51,,67.0,Calvin Cunningham,OL,6-2,300.0,R-So.,"Arlington, Va. / Bishop O'Connell",,
52,,68.0,Cesar Minarro,OL,6-4,300.0,R-Jr.,"Charlotte, N.C. / Sun Valley",,
53,,70.0,Jonathan Cannon Jr.,OL,6-5,285.0,R-So.,"Charlotte, N.C. / Vance",,
54,,71.0,Tairiq Stewart,OL,6-6,300.0,Gr.,"Cleveland, Ohio / Warrensville (West Virginia)",,
55,,72.0,Tim Williams,OL,6-4,315.0,R-Sr.,"Laurinburg, N.C. / Scotland County",,
56,,74.0,Uriah Greene,OL,6-4,285.0,R-So.,"Charlotte, N.C. / Mallard Creek (University of South Florida",,
57,,76.0,Antonio Carter,OL,6-2,300.0,R-So.,"Orangeburg, SC / Orangeburg-Wilkinson",,
58,,77.0,Jason Ivey,OL,6-5,285.0,R-Jr.,"Charlotte, N.C. / South Mecklenburg",,
59,,78.0,Matthew Cairns,OL,6-5,300.0,R-So.,"Cary, N.C. / Cary",,
60,,80.0,Kendrick Leslie Jr.,WR,6-2,160.0,R-So.,"Lawndale, N.C. / Burns",,
61,,81.0,Christian MacDonald,WR,6-3,195.0,So.,"Charlotte, N.C. / Phillip O. Berry Academy of Technology",,
62,,82.0,Anthony Rucker,TE,6-3,211.0,So.,"Orlando, Fla. / Jones",,
63,,83.0,Nicholas Dobson,TE,6-3,245.0,Jr.,"Teachey, N.C. / Wallace-Rose Hill",,
64,,84.0,Laquan Veney,WR,5-11,175.0,So.,"Richmond, Va. / Highland Springs",,
65,,85.0,Sterling Berkhalter,WR,6-4,185.0,Jr.,"Cincinnati, Ohio / Princeton",,
66,,88.0,Ger-Cari Caldwell,WR,6-4,195.0,R-So.,"Rock Hill, S.C. / Northwestern (University of South Carolina)",,
67,,89.0,Deamondre Goodwin,TE,6-3,235.0,R-Sr.,"Hopkins, S.C. / Lower Richland",,
68,,91.0,Janorris Robertson,DE,6-4,240.0,R-Jr.,"Jacksonville, Fla. / Raines",,
69,,92.0,Jelani King-Leverett,DE,6-4,225.0,So.,"Grand Rapids, Mich. / East Grand Rapids",,
70,,93.0,Jhyheem Pittman,DL,6-3,295.0,So.,"Greensboro, N.C. / Dudley",,
71,,96.0,Christopher Abraham,DL,6-1,255.0,So.,"Concord, N.C. / Cox Mill",,
72,,98.0,Javon Armstrong-Grady,DE,6-2,235.0,R-So.,"New Bern, N.C. / Pamlico County",,
73,,,Chase Adams,DL,6-1,280.0,So.,"Winston-Salem, N.C. / Walkertown",,
74,,,Austin Alexander,DL,6-1,240.0,So.,"Waxhaw, N.C. / Charlotte Catholic",,
75,,,Derrick Brinton II,WR,6-0,165.0,So.,"Harrisburg, N.C. / Hickory Ridge",,
76,,,Corey Crawford Jr.,WR,6-1,190.0,R-So.,"Pleasantville, N.J. / Pleasantville",,
77,,,Evan Ford,DB,5-10,175.0,So.,"Houston, Texas / Strake Jesuit College Preparatory",,
78,,,Joshua George,TE,6-4,215.0,R-So.,"Hope Mills, N.C. / South View",,
79,,,Dylantae James,WR,5-10,170.0,So.,"Burlington, N.C. / Cummings",,
80,,,Elijah Kennedy,WR,5-11,180.0,So.,"High Point, N.C. / High Point Central",,
81,,,Steven Roland-Washington,FB,6-0,225.0,So.,"York, Pa. / William Penn",,
82,,,Dorien Stewart,RB,5-8,175.0,So.,"Raleigh, N.C. / Middle Creek",,
83,,,Jay Underwood,FB,5-10,240.0,So.,"Summerfield , N.C. / Northern Guilford",,
0,,,Vincent Brown,,,,,,,Head Coach
1,,,Ron Mattes,,,,,,,Offensive Line
2,,,Nate Poole,,,,,,,Wide Receivers
0,,,DeShaun Massey,,,,,,,Video Coordinator
1,,,Jay Respass,,,,,,,Director of Football Operations
