,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,High School,Previous School,Image,Title
101,,87.0,Noah Gindorff,TE,6-6,268.0,Sr.,"Crosby, Minn.",Crosby-Ironton HS,,,
102,,88.0,Carson Williams,TE,6-4,240.0,RFr.,"Marshalltown, Iowa",Marshalltown HS,Buffalo,,
103,,89.0,Finn Diggins,TE,6-4,247.0,RFr.,"Perham, Minn.",Perham HS,,,
104,,90.0,Tony Pierce,DE,6-1,242.0,Sr.,"Lake Alfred, Fla.",Auburndale HS,,,
105,,91.0,Will Mostaert,DT,6-2,260.0,Jr.,"Lakeville, Minn.",Lakeville North HS,,,
106,,92.0,Kelton McCaslin,DE,6-5,222.0,Fr.,"St. Charles, Ill.",St. Charles East HS,,,
107,,93.0,Toby Anene,DE,6-3,250.0,Fr.,"Cottage Grove, Minn.",East Ridge HS,,,
108,,94.0,Logan Larson,DT,6-3,262.0,Fr.,"Woodbury, Minn.",East Ridge HS,,,
109,,95.0,Dylan Hendricks,DE,6-3,243.0,Jr.,"Pulaski, Wis.",Pulaski HS,,,
110,,96.0,Reed Ryan,DE,6-3,241.0,Jr.,"Waunakee, Wis.",Waunakee HS,,,
111,,97.0,Gannon Williams,DE,6-3,231.0,Fr.,"Marshalltown, Iowa",Marshalltown HS,,,
112,,98.0,Josh Magin,DT,6-5,261.0,Fr.,"Shakopee, Minn.",Shakopee HS,,,
113,,99.0,Spencer Waege,DE,6-5,282.0,Sr.,"South Shore, S.D.",Watertown HS,,,
0,,,Matt Entz,,,,,,,,,Head Coach
1,,,Randy Hedberg,,,,,,,,,Associate Head Coach/Passing Game Coordinator/QBs
2,,,Tyler Roehl,,,,,,,,,Offensive Coordinator/Tight Ends and Fullbacks
3,,,David Braun,,,,,,,,,Defensive Coordinator
4,,,Kody Morgan,,,,,,,,,Special Teams Coordinator/Safeties
5,,,Joe Beschorner,,,,,,,,,Running Backs Coach
6,,,Nick Goeser,,,,,,,,,Defensive Line Coach
7,,,Dan Larson,,,,,,,,,Offensive Line Coach
8,,,Grant Olson,,,,,,,,,Linebackers Coach
9,,,Noah Pauley,,,,,,,,,Wide Receivers Coach
10,,,Lewis Walker,,,,,,,,,Cornerbacks Coach
11,,,Seth Hestness,,,,,,,,,Offensive Quality Control
12,,,Mike Peters,,,,,,,,,Offensive Analyst
13,,,Brett Watson,,,,,,,,,Defensive Quality Control
0,,,Football Recruiting,,,,,,,,,
1,,,Ean Deno,,,,,,,,,Director of Football Recruiting & Player Personnel
2,,,Zach Peters,,,,,,,,,Football Recruiting and Operations Assistant
3,,,Jamison Brown,,,,,,,,,Football Recruiting and Operations Intern
4,,,Sokiri Malula,,,,,,,,,Director of Football Video Operations
5,,,Nathan Bjoralt,,,,,,,,,Director of Football Operations and Equipment
6,,,Nick Brendemuhl,,,,,,,,,Equipment Graduate Assistant
7,,,Jim Kramer,,,,,,,,,Assistant Athletic Director for Athletic Performance - Football
8,,,Matt Bauman,,,,,,,,,Assistant Strength and Conditioning Coach
9,,,Eric Ihde,,,,,,,,,Strength and Conditioning Graduate Assistant
10,,,Nick DeLuca,,,,,,,,,Strength and Conditioning Intern
11,,,Mason Ankenbauer,,,,,,,,,Assistant Athletic Trainer
12,,,Deegan Gearding,,,,,,,,,Athletic Training Graduate Assistant
13,,,Margie Trickle,,,,,,,,,Administrative Assistant
14,,,Fr. James Meyer,,,,,,,,,Team Chaplain
15,,,Jeff Curtis,,,,,,,,,Team Chaplain
