,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Image,Name,Title
88,,88.0,Zach Banks,TE,6-3,245.0,Sr.,"Westminster, Mass. / Salisbury School",,,
89,,89.0,Cam Peach,WR,6-0,187.0,So.,"South Hamilton, Mass. / Hamilton Wenham / Bridgton Academy",,,
90,,90.0,Will Coty,LB,6-0,222.0,R-Fr.,"Hyannis, Mass. / St. John Paul II",,,
91,,91.0,Cameron Garner-Young,DT,6-2,260.0,Fr.,"Laurel, Md. / St. Vincent Pallotti High School",,,
92,,92.0,Neil Politano,DT,6-3,300.0,So.,"Jacksonville, Fla. / Bishop Kenny",,,
93,,93.0,Tim Bonagura,DT,6-1,275.0,R-Fr.,"Fremont, N.H. / St. Thomas Aquinas",,,
94,,94.0,Dylan Ruiz,DE,6-1,248.0,So.,"Kissimmee, Fla. / Osceola",,,
95,,95.0,Pierce DeVaughn,DL,6-4,269.0,Gr.,"Plano, Texas / Prestonwood Christian / UConn",,,
96,,96.0,T.J. Farrell,DE,6-5,241.0,Fr.,"Walpole, Mass. / Walpole High School",,,
97,,97.0,Zach Garron,DE,6-3,221.0,R-Fr.,"Bedford, N.H. / Bedford / Bridgton Academy",,,
98,,98.0,Nathan Kapongo,DL,6-4,275.0,So.,"Westbrook, Maine / Portland",,,
99,,99.0,Luke Teskey V,DE,6-3,233.0,Fr.,"New Westminster, B.C. / Mater Dei Catholic High School",,,
0,,,,,,,,,,Rick Santos,Head Coach
1,,,,,,,,,,Garrett Gillick,Associate Head Coach / Defensive Coordinator
2,,,,,,,,,,Brian Scott,Offensive Coordinator / OL
3,,,,,,,,,,Ed Borden,"Assistant Coach, TE / Recruiting Coordinator"
4,,,,,,,,,,Drew Belcher,"Assistant Coach, QB"
5,,,,,,,,,,Garrett McLaughlin,"Assistant Coach, DE / Special Teams Coordinator"
6,,,,,,,,,,Casey DeAndrade,"Assistant Coach, DB / Defensive Pass Game Coordinator"
7,,,,,,,,,,Stephen Barnette,"Assistant Coach, WR"
8,,,,,,,,,,Tommy Herion,"Assistant Coach, RB"
9,,,,,,,,,,Jesse Goldberger,Director of Operations
10,,,,,,,,,,Justin McMullen,Director of Player Personnel / Video Coordinator
0,,,,,,,,,,Paul Chapman,Director of Strength & Conditioning
1,,,,,,,,,,Jon Dana,Director of Sports Medicine
2,,,,,,,,,,Cindy Michaud,Assistant Athletic Trainer
3,,,,,,,,,,Maddie Damm,"Assistant Athletic Director, Academic Support, Football"
4,,,,,,,,,,Cameron Reinbold,Student Manager
5,,,,,,,,,,Ryan Astrologo,Student Manager
