,Statistic,#,Name,Pos.,Yr.,Ht.,Wt.,Hometown,High School,Major,Image,Title
73,,94.0,Marcus Simmons Jr.,DL,So.,6-1,250.0,"Germantown, Md.",St. John's College,,,
74,,96.0,Jack Hagy,DL,Jr.,6-4,240.0,"Wimberley, Texas",St. Michael's Catholic Acad.,Pre-Business,,
75,,98.0,Chris Dixon,DL,R-Fr.,6-2,315.0,"Toronto, Ontario",St. Thomas More HS (CT),,,
76,,,Cannon Blauser,LB,Jr.,6-1,235.0,"Hilliard, Ohio",Hilliard Bradley HS,,,
77,,,Todd Drummond,QB,Fr.,6-5,200.0,"Pawhuska, Okla.",Pawhuska HS,,,
78,,,Okey Egbuziem,DL,Jr.,6-1,320.0,"Clovis, Calif.",Buchanan HS,,,
79,,,Andre Jacobs,WR,Fr.,6-0,185.0,"Baltimore, Md.",St. Frances Academy HS,,,
80,,,Keyondray Jones,RB,Fr.,5-7,165.0,"Orlando, Fla.",Ocoee HS,,,
81,,,Tristan Michaud,WR,So.,6-6,210.0,"Quebec City, Quebec",Clarkson North HS,,,
82,,,Mosai Newsom,DL,Jr.,6-5,295.0,"Waverly, Iowa",Waverly-Shell Rock HS,,,
0,,,Bob Nielson,,,,,,,,,Head Coach
1,,,Travis Johansen,,,,,,,,,Associate HC/Defensive Coord.
2,,,Josh Davis,,,,,,,,,Offensive Coordinator
3,,,Dante Warren,,,,,,,,,Running Backs
4,,,Miles Taylor,,,,,,,,,Def. Pass Game Coord./DBs
5,,,Elijah Hodge,,,,,,,,,Inside Linebackers
6,,,Adam Cox,,,,,,,,,Outside LBs
7,,,Jeff Nady,,,,,,,,,Offensive Line
8,,,Craig Bagnell,,,,,,,,,Wide Receivers
9,,,Hayden Meister,,,,,,,,,Director of Operations
10,,,Josh Rosenthal,,,,,,,,,Director of Player Personnel/NFL Liaison
11,,,Clete McLeod,,,,,,,,,Head Strength and Conditioning Coach
