,Statistic,No.,Name,Pos.,Yr.,Ht.,Wt.,Hometown / High School,Previous School,Image,Title
50,,48.0,Jeremiah Jackson,LB,So.,5-9,185.0,"Indianapolis, Ind. / Brebeuf Jesuit Prep",,,
51,,49.0,Collin Bell,DL,R-Fr.,5-11,260.0,"St. Louis, Mo. / Christian Brothers",,,
52,,50.0,Jack Mitchell,OL,R-Fr.,6-2,270.0,"St. Louis, Mo. / Ladue Horton Watkins",,,
53,,51.0,Jason Hicks,LS,So.,6-3,275.0,"Buffalo Grove, Ill. / Adlai E. Stevenson",,,
54,,52.0,Charlie Bless,LB,R-Jr.,6-1,225.0,"Bloomington, Ind. / Bloomington North",,,
55,,53.0,Otto Weight,OL,R-So.,6-4,285.0,"Medina, Ohio / Medina",,,
56,,54.0,Austin Korba,DL,R-Jr.,6-0,270.0,"Arlington Heights, Ill. / John Hersey",,,
57,,55.0,George Dristiliaris,DL,R-So.,6-3,245.0,"Lowell, Mass. / Lowell",Valparaiso,,
58,,58.0,Jack Burch,DL,R-So.,6-3,230.0,"Louisville, Ky. / Saint Xavier",,,
59,,59.0,Shane Siffrard,DL,R-Fr.,6-1,240.0,"Franklin, Tenn. / Franklin",,,
60,,62.0,Owen Keane,OL,R-Jr.,6-3,285.0,"Cleveland, Ohio / Saint Ignatius",,,
61,,63.0,Watson Allan,OL,R-Fr.,6-1,298.0,"Lake Forest, Ill. / Lake Forest",,,
62,,64.0,Nick Grace,OL,R-So.,6-5,270.0,"Naperville, Ill. / Naperville North",Cincinnati,,
63,,66.0,Fabian Gonzalez,OL,R-So.,6-3,285.0,"Oak Park, Ill. / Oak Park River Forest",,,
64,,70.0,Kirk Doskocil,OL,R-Fr.,6-3,293.0,"Brecksville, Ohio / Brecksville Broadview Heights",,,
65,,72.0,Jackson Davis,OL,R-Jr.,6-3,275.0,"Columbus, Ind. / Columbus North",,,
66,,73.0,Bryan Bystol,OL,R-Sr.,6-2,280.0,"Libertyville, Ill. / Libertyville",,,
67,,74.0,Luke Kessinger,OL,Gr.,6-5,290.0,"Boca Raton, Fla. / Pine Crest",,,
68,,75.0,Adam Dolan,OL,R-So.,6-8,300.0,"Clarkston, Mich. / Orchard Lake St. Mary's",,,
69,,79.0,Jack Turner,OL,R-Jr.,6-3,302.0,"Crystal Lake, Ill. / Crystal Lake South",,,
70,,80.0,Owen Butler,TE,R-Fr.,6-3,210.0,"Chesterfield, Mo. / Lafayette",,,
71,,81.0,Ethan Malafa,TE,R-Fr.,6-6,230.0,"Cincinnati, Ohio / Mariemont",,,
72,,82.0,Cameron Heald,TE,R-So.,6-1,215.0,"Lakewood Ranch, Fla. / Cardinal Mooney",,,
73,,83.0,Colin Kelly,WR,R-Jr.,5-10,190.0,"Dearborn, Mich. / Divine Child",,,
74,,84.0,Nate Walker,WR,Sr.,6-0,175.0,"Glen Allen, Va. / J.R. Tucker",,,
75,,86.0,Maddox Altamirano,WR,R-Fr.,5-11,170.0,"Clinton Township, Mich. / Chippewa Valley",,,
76,,87.0,Jacob Cain,DL,R-Jr.,6-1,225.0,"Lafayette, Ind. / William Henry Harrison",,,
77,,89.0,TJ Winston,TE,R-So.,6-4,220.0,"Maumee, Ohio / Anthony Wayne",,,
78,,90.0,Dawson Hubbard,DL,R-Fr.,5-11,260.0,"Chandler, Ariz. / Hamilton",,,
79,,92.0,Carson Gulgin,DL,R-Sr.,6-2,275.0,"Perrysburg, Ohio / Perrysburg",,,
80,,93.0,Matthew Oudeman,DL,R-Fr.,5-11,260.0,"Euclid, Ohio / Saint Edward",,,
81,,94.0,Sam Urbanski,DL,R-Jr.,6-3,270.0,"Chardon, Ohio / Notre Dame Cathedral",,,
82,,95.0,Trevor Ings,DL,R-Fr.,6-0,285.0,"Milford, Ohio / Milford",,,
83,,96.0,Frenchi Mack II,DL,R-Fr.,6-2,245.0,"Bowie, Md. / IMG Academy",,,
84,,98.0,Ryan Short,K,R-Fr.,6-0,155.0,"Hinsdale, Ill. / Nazareth Academy",,,
85,,99.0,Jake LaBarre,DL,R-So.,6-2,255.0,"Birmingham, Mich. / Seaholm",,,
0,,,Mike Uremovich,,,,,,,,Head Coach
1,,,Jeff Knowles,,,,,,,,Defensive Coordinator / Linebackers
2,,,Alex Barr,,,,,,,,Run Game Coordinator / Offensive Line
3,,,Joe Cheshire,,,,,,,,Special Teams Coordinator / Safeties
4,,,Sean Chase,,,,,,,,Running Backs / Tight Ends Coach
5,,,Adam Siwicki,,,,,,,,Defensive Line
6,,,Ray Holmes,,,,,,,,Wide Receivers
7,,,Jalen Moss,,,,,,,,Cornerbacks
8,,,Clint Hostler,,,,,,,,Offensive Analyst
9,,,Kiera Miller,,,,,,,,Director of Football Initiatives
0,,,T.J. Greenstone,,,,,,,,Strength and Conditioning Coach
1,,,"Chris Tinkey, ATC",,,,,,,,Athletic Trainer
2,,,"Alex Brun, ATC",,,,,,,,Athletic Trainer
