,Unnamed: 0,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Current School Name,Hometown,High School,Previous School,Title,Yr.,Hgt.,Wgt.,#,Full Name,Hometown/Previous School,Hometown (Prev School),Year,Pos,Academic Year,Hometown / High School,C,Hometown/High School,Unnamed: 7,Exp.,College,Class,Major,School,Hometown(Prev School),Hometown / Last School,Transfer,Player,CL.,NAME,POS,HT,WT,Name.1,Prev School,Yr.-Exp.,Custom Field 1,Custom Field 2,Custom Field 3,Hometown / High School / Prep (Previous College),Twitter,Instagram,FULL NAME,POS.,HT.,WT.,HOMETOWN,HIGH SCHOOL,PREVIOUS SCHOOL,MAJOR,High School / Prev. School,Letters,Photo,HIgh School,Hometown / High School (Last School),Previous College,Facebook,Previous University,High School (Prev. School),2022-23 Football Coaches,2022-23 Football Coaches.1,Eligibility,Position,Height,Weight,Number,Opendorse
31,31,,32.0,,Xavier Wishert,RB,6-1,200.0,Rf.,Abilene Christian,"Tuscola, Texas",Jim Ned HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,,33.0,,Kelekolio Linton,DB,5-10,190.0,So.,Abilene Christian,"Pearland, Texas",Pearland HS,Tyler Junior College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,,35.0,,Ethan Taite,LB,6-3,220.0,Jr.,Abilene Christian,"Frisco, Texas",Independence HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,,36.0,,Rece Stafford,TE,6-0,235.0,Sr.,Abilene Christian,"Frisco, Texas",Frisco Wakeland HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,,37.0,,Casen Olson,S,6-1,190.0,So.,Abilene Christian,"Waynoka, Okla.",Waynoka HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,,41.0,,T.J. Marshall,S,6-1,190.0,So.,Abilene Christian,"Pearland, Texas",Shadow Creek HS,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,,42.0,,Reese Young,LB,6-1,220.0,So.,Abilene Christian,"Stephenville, Texas",Stephenville HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,,43.0,,Easton Myrick,TE,5-11,195.0,So.,Abilene Christian,"San Antonio, Texas",Geneva School of Boerne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,,46.0,,Cirby Coheley,LB,6-4,220.0,Jr.,Abilene Christian,"Iowa Park, Texas",Iowa Park HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,,47.0,,Derrick Parker,LB,6-1,220.0,So.,Abilene Christian,"Mansfield, Texas",Lake Ridge HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
