,Statistic,No.,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Image,Name,Title
87,,99.0,Charles Remy,LB,6-1,215.0,So.,"Kennesaw, Ga. / Harrison HS",,,,
88,,,Hunter Bean,DL,6-1,280.0,So.,"Duluth, Ga. / Duluth HS",,,,
89,,,Naziq Dahniya,RB,5-11,225.0,Fr.,"McDonough, Ga. / Ola HS",,,,
90,,,Onajite Dievbiere,DL,6-7,270.0,So.,"Suwanee, Ga. / Lambert HS",Maryville College,,,
91,,,Tyler Dugger,WR,5-11,195.0,Jr.,"Augusta, Ga. / Cross Creek HS",Webber International University,,,
92,,,Tyriek Johnson,DB,5-8,175.0,So.,"Hoschton, Ga. / Mill Creek HS",Presbyterian,,,
93,,,Connor O'Neill,DL,6-0,240.0,Fr.,"McDonough, Ga. / Ola HS",,,,
94,,,Havik Pettigrew,OL,6-0,250.0,Fr.,"Acworth, Ga. / Allatoona HS",,,,
95,,,Brayson Seaborne,RB,5-7,170.0,So.,"Chamblee, Ga. / Chamblee Charter HS",,,,
96,,,Jackson Waits,OL,6-1,275.0,Fr.,"Kennesaw, Ga. / Kennesaw Mountain HS",,,,
0,,,,,,,,,,,Brian Bohannon,Head Coach
1,,,,,,,,,,,Chris Klenakis,Offensive Coordinator/Offensive Line Coach
2,,,,,,,,,,,Nathan Burton,Defensive Coordinator
3,,,,,,,,,,,Ossie Buchannon,Wide Receivers Coach/Special Teams Coordinator
4,,,,,,,,,,,Stewart Cook,Tight Ends and Tackles Coach
5,,,,,,,,,,,Liam Klein,Recruiting Coordinator/Defensive Line Coach
6,,,,,,,,,,,Darius Safford,Defensive Backs Coach
7,,,,,,,,,,,Tim Glanton,Running Backs Coach
8,,,,,,,,,,,Chandler Burks,Quarterbacks/B-backs Coach
9,,,,,,,,,,,Greg Harris,Linebackers Coach
10,,,,,,,,,,,Kynjee Cotton,Defensive Ends Coach
11,,,,,,,,,,,Jake Lassiter,Offensive Graduate Assistant
12,,,,,,,,,,,Hampton Hamner,Defensive Graduate Assistant
0,,,,,,,,,,,Matt Griffin,Chief of Staff
1,,,,,,,,,,,Alex Derenthal,Director of Football Sports Performance
2,,,,,,,,,,,Dakota Rushing,Assistant Sports Performance Coach (Football)
3,,,,,,,,,,,Johnny Rupp,Graduate Sports Performance Coach
4,,,,,,,,,,,Keith Mize,Head Football Athletic Trainer
5,,,,,,,,,,,Courtney Wisler,"Assistant Athletic Trainer, Football"
6,,,,,,,,,,,Lydia West,Director of Football Operations
7,,,,,,,,,,,Trudy Cobb,"Coordinator, Football Administration"
8,,,,,,,,,,,Reese Mathewson,Video Coordinator
9,,,,,,,,,,,Kaleb Fedelem,Football Equipment Manager
10,,,,,,,,,,,Nolan Alexander,"""Voice of the Owls"" / Assistant Athletics Director of Communications & Broadcasting"
11,,,,,,,,,,,Michael Goss,Associate Director of Athletics Communications
12,,,,,,,,,,,Michael Pitts,Athletics Communications Assistant
