,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Exp.,Hometown,High School,College,Image,Name,Title
90,,,Tristan Lewis,OL,6-5,275.0,Fr.,HS,"Eatonville, WA",Eatonville,,,,
91,,,Kamren Marsh,DL,6-3,250.0,Fr.,HS,"Corona, CA",Santiago,,,,
92,,,Michael Montgomery,LB,6-3,230.0,Fr.,HS,"Seattle, WA",Garfield,,,,
93,,,Alex Navarro-Silva,DL,6-5,290.0,Jr.,JC,"Chino, CA",Don Antonio Lugo,Riverside CC,,,
94,,,Isaac Perez,OL,6-3,305.0,Fr.,HS,"Corona, CA",Centennial,,,,
95,,,Kimani Quade,WR,5-10,185.0,So.,RS,"Eugene, OR",Churchill,Riverside CC,,,
96,,,Nate Richter,ATH,6-3,220.0,Fr.,HS,"Henderson, NV",Green Valley,,,,
97,,,Jazel Riley,QB,6-1,205.0,Fr.,HS,"Lakewood, CO",Golden,,,,
98,,,Pryce Roberts,OL,6-5,290.0,Fr.,HS,"Woodinville, WA",Woodinville,,,,
99,,,Delon Thompson,RB,5-9,200.0,Fr.,HS,"Newbury Park, CA",St. Bonaventure,,,,
100,,,Zach Wusstig,DB,6-1,185.0,Fr.,HS,"Jefferson, OR",South Salem,,,,
0,,,,,,,,,,,,,Bruce Barnum,Head Coach
1,,,,,,,,,,,,,Matt Leunen,Offensive Line
2,,,,,,,,,,,,,John Ely,Linebackers
3,,,,,,,,,,,,,Mark Rhea,Defensive Line
4,,,,,,,,,,,,,Colin Fry,Defensive Backs
5,,,,,,,,,,,,,AC Patterson,Running Backs/Recruiting Coordinator
6,,,,,,,,,,,,,Kieran McDonagh,Quarterbacks
7,,,,,,,,,,,,,Darnell Adams,Wide Receivers
8,,,,,,,,,,,,,Marcus Gray,Graduate Student/Offensive Assistant
0,,,,,,,,,,,,,Terry Davis,Director of Player Personnel/Recruiting Specialist
1,,,,,,,,,,,,,Sydnee Hay,Football Operations/Executive Assistant
