,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Previous School,Image,Name,Title
77,,70.0,Evan Roberts,OL,6-2,285.0,Fr.,"North East, Md. / Myrtle Beach Collegiate",,,,
78,,72.0,Sahil Bhullar,OL,6-6,285.0,So.,"Thornhill, Ontario /",University of Waterloo,,,
79,,73.0,Alex Desire,OL,6-4,310.0,R-Sr.,"Burlington, N.J. / Burlington Township H.S.",,,,
80,,75.0,Julian Singh,OL,6-3,300.0,Gr.,"Mount Laurel, N.J. / Lenape H.S.",LIU,,,
81,,76.0,LaVel Scipio Jr.,OL,6-3,310.0,Fr.,"Laurel, Md. / St. Vincent Pallotti",,,,
82,,77.0,Josh Roberts,OL,6-7,325.0,Gr.,"Virginia Beach, Va. / Tallwood H.S.",Lafayette College,,,
83,,78.0,Roman Wahrheit,OL,6-6,335.0,Sr.,"Rhauderfehn, Germany / Gymnasium Rhauderfehn",Oldenburg Knights,,,
84,,79.0,Florian Staehler,OL,6-8,280.0,R-So.,"Köln, Germany / American International Academy (R.I.)",,,,
85,,80.0,Robert Schwob,TE,6-7,240.0,Gr.,"Annapolis, Md. / Broadneck H.S.",University of Maryland,,,
86,,81.0,Malik Jackson,TE,6-3,230.0,R-So.,"Laurel, Md. / Meade H.S.",University of Maryland,,,
87,,82.0,Brady McElhaney,WR,6-0,170.0,R-So.,"Gambrills, Md. / Avalon H.S.",,,,
88,,83.0,Jonathan Badu,WR,5-8,170.0,Jr.,"Fort Meade, Md. / Meade H.S.",,,,
89,,84.0,Muhammad Abbasi,WR,6-3,185.0,So.,"Rockville, Md. / Montgomery H.S.",,,,
90,,85.0,Dakota Jordan,WR,6-4,220.0,So.,"Brookeville, Md. / Sherwood H.S.",,,,
91,,86.0,Devin Gill,TE,6-4,240.0,R-So.,"Annandale, Va. / Annandale H.S.",Ventura College,,,
92,,87.0,Griffin Patterson,TE,6-5,230.0,R-Fr.,"Broadlands, Va. / Independence H.S.",,,,
93,,89.0,Ke'Mari Taylor,WR,5-11,180.0,Fr.,"Annapolis, Md. / Annapolis H.S.",,,,
94,,90.0,Ernie Smith,DL,6-2,265.0,R-Jr.,"Columbia, Md. / Oakland Mills H.S.",,,,
95,,91.0,Clayton Harris,K/P,6-0,170.0,R-Sr.,"Havre de Grace, Md. / Havre de Grace H.S.",University of Connecticut,,,
96,,92.0,Elijah Tarlton,DL,6-3,230.0,Fr.,"Chantilly, Va. / Westfield H.S.",,,,
97,,93.0,Jordan Sampson,DL,6-4,230.0,Fr.,"Severn, Md. / St. Vincent Pallotti H.S.",,,,
98,,94.0,Janaz Jordan,DL,6-4,325.0,Gr.,"Hampton, Va. / Bethel H.S.",University of Colorado,,,
99,,95.0,Jake Baker,DL,6-1,220.0,So.,"Thurmont, Md. / Catoctin H.S.",Clarion University,,,
100,,96.0,Anthony Delle Donne,TE,6-1,285.0,R-So.,"Baltimore, Md. / Calvert Hall H.S.",,,,
101,,97.0,Riley Williams,P,6-3,210.0,So.,"Victoria, Australia / Australian Catholic University",,,,
102,,98.0,Patrick Coyle,LS,5-11,200.0,R-Fr.,"Richland, N.J. / St. Augustine Prep",,,,
103,,99.0,Shaheem Haltiwanger,DL,6-3,270.0,Gr.,"Lexington, S.C. / White Knoll H.S.",South Carolina State University,,,
0,,,,,,,,,,,Rob Ambrose,Head Coach
1,,,,,,,,,,,Lyndon Johnson,Special Teams Coordinator/Safeties
2,,,,,,,,,,,Eric Daniels,Defensive Coordinator/Linebackers
3,,,,,,,,,,,Tyree Foreman,Pass Game Coordinator/Running Backs
4,,,,,,,,,,,Alex Stadler,Run Game Coordinator/Offensive Line
5,,,,,,,,,,,Collin Bauer,Recruiting Coordinator/Defensive Line
6,,,,,,,,,,,William Lang,Tight Ends/Fullbacks
7,,,,,,,,,,,Drew Rodriguez,Quarterbacks
8,,,,,,,,,,,Christian Runza,Linebackers
9,,,,,,,,,,,Almondo Curry,Cornerbacks
10,,,,,,,,,,,Derek Kief,Wide Receivers
11,,,,,,,,,,,Lance Yaniger,Director of Football Operations
12,,,,,,,,,,,"Justin Lima, PhD",Director of Football Performance
13,,,,,,,,,,,Demarcus Gilmore,Quality Control Coach - Offense
14,,,,,,,,,,,Jordan Mynatt,Quality Control Coach - Defense
15,,,,,,,,,,,Will Koustmer,Quality Control Coach - Defense
16,,,,,,,,,,,Joe Puleio,Quality Control Coach - Offense
17,,,,,,,,,,,Vincent Crisafi,Quality Control Coach - Offense
18,,,,,,,,,,,Shane Simpson,Quality Control Coach - Offense
19,,,,,,,,,,,Marcus Hicks,Video Coordinator
0,,,,,,,,,,,Nathan Wilder,"Senior Associate Athletic Director, Sports Medicine and Performance"
1,,,,,,,,,,,Kyle Cherry,Head Athletic Trainer
2,,,,,,,,,,,Tyler Turner,Athletic Trainer
3,,,,,,,,,,,Dave Vatz,Director of Athletic Media Relations
4,,,,,,,,,,,Mike Pivec,Head Equipment Manager
