,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown,High School,Image,Name,Title
21,,20.0,Travell Cook,S,6-0,185.0,R-Sr.,"Miami, Fla.",Carol City,,,
22,,22.0,Zachary Bair,RB,5-10,205.0,Gr.,"Rumson, N.J.",Red Bank Catholic,,,
23,,23.0,Nate Garnett,WR,5-9,170.0,So.,"Auburndale, Fla.",Auburndale,,,
24,,24.0,Robert Dickerson,WR,6-0,195.0,So.,"Pittsburgh, Pa.",North Hills,,,
25,,25.0,De'Mere White,RB,5-7,175.0,Jr.,"Bloomfield, N.J.",DePaul Catholic,,,
26,,26.0,Shakespeare Louis,DB,6-1,205.0,Jr.,"Ottawa, Ontario",Clearwater Academy (Fla.),,,
27,,27.0,Parker Fetterman,WR,5-8,160.0,Sr.,"Findlay, Ohio",Findlay,,,
28,,28.0,Tony Brown,LB,6-3,200.0,R-Sr.,"Sicklerville, N.J.",Timber Creek,,,
29,,29.0,Jermarian Jackson,CB,6-2,175.0,So.,"Plant City, Fla.",Plant City,,,
30,,30.0,Seth Verilus,LB,6-1,210.0,Gr.,"Riviera Beach, Fla.",Dwyer,,,
31,,31.0,Jonjon Delgado,DB,5-10,170.0,Fr.,"Miami, Fla.",True North Classical Academy,,,
32,,32.0,Jeremiah Jackson,DB,5-11,180.0,So.,"Mayfield Heights, Ohio",Mayfield Heights,,,
33,,33.0,"Gregory Davis, Jr.",DB,5-10,175.0,Fr.,"Pembroke Pines, Fla.",IMG Academy (Fla.),,,
34,,34.0,Kyle Jenkins,TE,6-0,230.0,Sr.,"Ashburn, Va.",Tuscarora,,,
35,,35.0,SherRon Davis,WR,5-10,160.0,R-Jr.,"Rochester, N.Y.",Eastridge,,,
36,,36.0,Griffin LaRue,DB,6-3,190.0,So.,"Johnstown, Pa.",Richland,,,
37,,37.0,Joe Malchesky,S,6-1,195.0,R-So.,"Mentor, Ohio",Lake Catholic,,,
38,,38.0,Quamir Jenkins,RB,5-10,185.0,Sr.,"Syracuse, N.Y.",CNS,,,
39,,39.0,Tahseen Howard,DB,5-11,170.0,So.,"Baltimore, Md.",Milford Mill Academy,,,
40,,40.0,Garret Fairman,DE,6-2,230.0,5th,"Pleasant Hills, Pa.",Thomas Jefferson,,,
41,,41.0,Devon Green,RB,5-6,170.0,Fr.,"Claymont, Del.",IMG Academy (Fla.),,,
42,,42.0,Tayshaun Mayfield,TE,6-2,230.0,So.,"Hilliard, Ohio",Hilliard Bradley,,,
43,,43.0,Mitchell Robinson Jr.,LB,6-0,210.0,So.,"Hilliard, Ohio",Hilliard Bradley,,,
44,,44.0,Donavan Wilson,LB,6-1,190.0,So.,"St. Augustine, Fla.",Nease,,,
45,,46.0,Zach Weber,LS,5-11,215.0,So.,"McKeesport, Pa.",Serra Catholic,,,
46,,47.0,Mack Flynn,P,5-10,160.0,So.,"Euclid, Ohio",Villa Angela St. Joseph,,,
47,,49.0,Jayson Jenkins,K,5-11,180.0,Jr.,"Monroeville, Pa.",Gateway,,,
48,,50.0,Colyn Webster,LB,6-2,190.0,Jr.,"Leonardtown, Md.",St. Mary's Ryken,,,
49,,51.0,Bradley Magee,LB,6-3,210.0,5th,"Manassas, Va.",Bishop O'Connell,,,
50,,52.0,Daunte Boudy,DL,6-3,275.0,5th,"Vail, Ariz.",Cienega,,,
51,,53.0,Nasir Shabazz,DL,6-1,250.0,So.,"Irvington, N.J.",Irvington,,,
52,,54.0,Kenny Grobolsek,LB,5-11,205.0,So.,"Sheffield, Ohio",Brookside,,,
53,,55.0,Michelangelo Loretto,DE,6-1,255.0,Jr.,"Pasadena, Calif.",Arcadia,,,
54,,56.0,Justin Velez,LB,6-0,212.0,Fr.,"Damascus, Md.",Damascus,,,
55,,57.0,Trey Woods,LB,6-0,220.0,So.,"Milledgeville, Ga.",Georgia Military High School,,,
56,,58.0,Donovan Parham,LB,6-2,220.0,Jr.,"Lakeland, Fla.",George Jenkins,,,
57,,59.0,Patrick McDonnell,LB,6-2,230.0,So.,"North Royalton, Ohio",North Royalton,,,
58,,61.0,Jake Bobbin,OL,6-2,280.0,So.,"Schuylkill Haven, Pa.",Blue Mountain,,,
59,,63.0,Yann Lekomo,OL,6-4,290.0,So.,"Germantown, Md.",Northwest,,,
60,,64.0,Diego Turcios,OL,6-4,300.0,Sr.,"Germantown, Md.",Quince Orchard,,,
61,,65.0,Riley Kemper,OL,6-5,290.0,Sr.,"Burgettstown, Pa.",Burgettstown Area,,,
62,,66.0,Aidan Stair,OL,6-0,295.0,So.,"Hyattsville, Md.",DeMatha Catholic,,,
63,,67.0,Luke Beltavski,OL,6-2,290.0,So.,"Cleveland, Ohio",Benedictine,,,
64,,68.0,Ryan O'Hair,OL,6-8,305.0,R-So.,"Bridgeville, Pa.",South Fayette,,,
65,,69.0,Hayden Baron,OL,6-3,280.0,Jr.,"Perryopolis, Pa.",Belle Vernon,,,
66,,70.0,Dante Thompson,OL,6-1,280.0,Jr.,"Germantown, Md.",Quince Orchard,,,
67,,71.0,Malcolm Bennett,OL,6-4,300.0,So.,"Lakeland, Fla.",Lakeland Christian,,,
68,,72.0,Joshua Brooks,OL,6-2,315.0,Fr.,"Loganville, Ga.",Central Gwinett,,,
69,,74.0,Ross Bobbin,OL,6-2,280.0,So.,"Schuylkill Haven, Pa.",Blue Mountain,,,
70,,76.0,Mofe Adewole,DL,6-4,240.0,So.,"Ellicott City, Md.",Centennial,,,
71,,77.0,Jared Spalti,OL,6-1,300.0,Jr.,"Bernville, Pa.",Marian Catholic,,,
72,,79.0,Chris Williams,DL,6-4,255.0,R-So.,"Union, N.J.",Union,,,
73,,80.0,Jackson Stefanelli,WR,5-8,175.0,Sr.,"Rockville, Md.",Our Lady of Good Counsel,,,
74,,81.0,Anthony McCarley,WR,5-9,170.0,Jr.,"East Amherst, N.Y.",Amherst,,,
75,,82.0,Garrison Curry,WR,6-4,195.0,So.,"Brooklandville, Md.",St. Paul's,,,
76,,83.0,Jackson Mayer,TE,6-3,215.0,Sr.,"Saint John's, Fla.",Bartram Trail,,,
77,,84.0,Victor Pena,WR,5-10,170.0,Jr.,"York, Pa.",York County Tech,,,
78,,85.0,Landen Lucas,TE,6-3,230.0,Jr.,"Modesto, Calif.",Beyer,,,
79,,86.0,Chaese Jackson,TE,6-2,230.0,Gr.,"Detroit, Mich.",Cass Technical,,,
80,,87.0,Trevor Wilson,TE,6-4,235.0,So.,"Park Hills, Ky.",Covington Catholic,,,
81,,88.0,Mason Miller,TE,6-2,250.0,Sr.,"Tamaqua, Pa.",Marian Catholic,,,
82,,89.0,Ryan Moore,TE,6-2,220.0,Sr.,"McMurray, Pa.",Peters Township,,,
83,,90.0,Joshua Sweat,DL,6-2,260.0,Sr.,"Accokeek, Md.",Oxon Hill,,,
84,,91.0,Bernadin Fleurima Jr.,DL,6-0,275.0,R-Jr.,"Valley Stream, N.Y.",Valley Stream North,,,
85,,92.0,Marqwan Fluitt,DE,6-1,225.0,Jr.,"Buffalo, N.Y.",South Park,,,
86,,93.0,George Souders III,P,6-5,210.0,Gr.,"Waynesboro, Pa.",Waynesboro,,,
87,,94.0,Parker Jacobs,DL,6-4,250.0,Jr.,"Chandler, Ariz.",Basha,,,
88,,95.0,Josh Kauvesi,DL,6-2,330.0,Jr.,"Santa Rosa, Calif.",Maria Carrillo,,,
89,,96.0,Nathan Carabatsakis,DE,6-4,230.0,Jr.,"Winnipeg, Manitoba",Clearwater Academy (Fla.),,,
90,,97.0,Noah Steverson,DL,6-3,275.0,Sr.,"Rohnhert Park, Calif.",Cardinal Newman,,,
91,,98.0,Lucas Lambert,DL,6-3,260.0,Fr.,"Cranberry Township, Pa.",Seneca Valley,,,
92,,99.0,Mason Reese,DL,6-2,330.0,Jr.,"Walnut Creek, Calif.",Las Lomas,,,
0,,,,,,,,,,,"Bernard Clark, Jr.",Head Coach
1,,,,,,,,,,,Rod Holder,Associate Head Coach / OL
2,,,,,,,,,,,Dave Plungas,Assistant Head Coach / DC / LB
3,,,,,,,,,,,Josh Firm,Assistant Coach (Offensive Coordinator / Running Backs)
4,,,,,,,,,,,Bart Tanski,Assistant Coach (Safeties / Recruiting Coordinator)
5,,,,,,,,,,,Glenn Davis,Assistant Coach (CB / Defensive Pass Game Coordinator)
6,,,,,,,,,,,Delbert Tyler,Assistant Coach (Tight Ends)
7,,,,,,,,,,,Darius Davis,Assistant Coach (Defensive Line)
8,,,,,,,,,,,Natalie Chifulini,Football Data Analyst
0,,,,,,,,,,,Rob Day,Strength & Conditioning
