,Statistic,No.,Photo,Name,Yr.,Pos.,Ht.,Wt.,Hometown / High School,Previous School,Image,Title
33,,30b,,Cameron Williams,Jr.,LB,6-2,215.0,"Tucson, Ariz. / Sahuaro HS",Bakersfield College,,
34,,31,,Arthur Rodgers,R-Fr.,RB,5-10,210.0,"Snellville, Ga. / Shiloh HS",Marshall University,,
35,,32,,Jessie Malit,R-Sr.,DL,6-3,250.0,"Concord, N.C. / Cox Mill HS",NC State Univ.,,
36,,33,,Christopher Rollinson,R-Fr.,DB,5-11,170.0,"Aldie, Va. / Champe HS",,,
37,,33b,,Tre Turner,R-Sr.,DL,6-5,250.0,"Huntersville, N.C. / North Mecklenburg HS",Eastern Kentucky Univ.,,
38,,34,,Cameron Saunders,R-So.,WR,5-11,170.0,"Fort Mill, S.C. / Fort Mill HS",,,
39,,35,,Chris Mosley,R-So.,RB,5-11,180.0,"Fort Worth, Texas / Centennial HS",Cisco College,,
40,,36,,J'Mari Taylor,So.,RB,6-0,200.0,"Charlotte, N.C. / West Mecklenburg HS",,,
41,,37,,Nasheed Peoples,R-Sr.,DB,5-11,170.0,"Lexington, N.C. / Lexington HS",NC Wesleyan,,
42,,38,,Jelani Vassell,So.,DB,5-11,185.0,"Tampa, Fla. / Wesley Chapel HS",Jireh Prep (NC),,
43,,39,,Kaleb Washington,Fr.,WR,6-1,195.0,"Charlotte, N.C. / Mallard Creek HS",,,
44,,40,,Matthew Brown,R-Jr.,TE,6-2,235.0,"Guyton, Ga. / South Effingham HS",University of Georgia,,
45,,40b,,Owen Finley,Fr.,LB,6-1,200.0,"High Point, N.C. / Ledford Sr. HS",,,
46,,41,,Isaiah Lawson,So.,DB,6-1,200.0,"Queens, N.Y. / Butler HS",,,
47,,42,,Jayden Flaker,Fr.,LB,6-4,215.0,"Scarborough, Maine / Scarborough HS",,,
48,,42b,,Xavier Puller,Fr.,WR,6-3,,"Temple Hills, Md. / TC Williams HS",,,
49,,43,,Cameron Brewington,R-Sr.,TE,6-4,255.0,"Charlotte, N.C. / South Mecklenburg HS",,,
50,,43b,,Josh Harris,So.,LB,6-2,190.0,"Cary, N.C. / Cary HS",,,
51,,44,,Albert Redd,Fr.,LB,6-2,230.0,"Kernersville, N.C. / Glenn HS",,,
52,,45,,Jaki Brevard,So.,LB,6-0,210.0,"Durham, N.C. / Southern HS",,,
53,,46,,Malcolm Reed,Fr.,DB,6-2,180.0,"Raleigh, N.C. / Cardinal Gibbons HS",,,
54,,47,,Mykah Stone,Jr.,LS,6-0,210.0,"Charlotte, N.C. / Hickory HS",UNC-Pembroke,,
55,,49,,Corey Peterson,So.,LB,6-1,215.0,"Wake Forest, N.C. / Heritage HS",,,
56,,50,,Thomas Johnson,Fr.,DL,6-3,235.0,"Lawndale, Calif. / Lawndale HS",,,
57,,51,,Corey Bullock,Jr.,OL,6-4,315.0,"Accokeek, Md. / Gwynn Park HS",,,
58,,52,,Xi Simpson,R-Sr.,OL,6-2,290.0,"Chester, S.C. / Chester HS",Wingate University,,
59,,53,,Deontrae Brown,Jr.,DL,6-6,210.0,"Durham, N.C. / Hillside HS",,,
60,,54,,Max U'Ren,R-Fr.,LB,6-2,225.0,"Winston-Salem, N.C. / Mount Tabor HS",,,
61,,55,,Robert Mitchell,R-Sr.,OL,6-3,305.0,"Millsboro, Del. / Cape Henlopen HS",Lackawanna College,,
62,,56,,Darrin Johnson,R-Fr.,DL,6-0,285.0,"Lithonia, Ga. / Tucker HS",,,
63,,57,,Carlos Beltran-Rodriguez,Jr.,PK,5-9,175.0,"Burlington, N.C. / Hugh M. Cummings HS",,,
64,,58,,Marshall Jean,Fr.,LS,5-9,215.0,"Garner, N.C. / Garner HS",,,
65,,59,,Juan Velarde,So.,P,5-10,190.0,"Anderson, S.C. / T.L. Hanna HS",,,
66,,61,,Torrie Ferguson,Fr.,OL,6-1,265.0,/,,,
67,,62,,Noah McKinney,Fr.,OL,6-4,295.0,"Duncan, S.C. / Byrnes HS",,,
68,,65,,Trevon Humphrey,Fr.,OL,6-4,250.0,"Greensboro, N.C. / Dudley HS",,,
69,,66,,Kideam Diouf,R-Sr.,OL,6-5,295.0,"Elkton, Md. / Eastern Christian Academy",Arkansas State Univ.,,
70,,67,,Brian Hardy,Fr.,OL,6-2,285.0,"Greenville, N.C. / South Central HS",,,
71,,68,,Sirr Green,So.,OL,6-3,285.0,Virgin Islands / Camden Military Academy,,,
72,,69,,Jordan McGill,R-Fr.,OL,6-4,285.0,"Green Cove Springs, Fla. / Clay HS",,,
73,,70,,Chris Escalera,Jr.,OL,6-2,305.0,"Lexington, N.C. / North Davidson HS",,,
74,,71,,Da'Quan Thomas,R-So.,OL,6-2,275.0,"West Palm Beach, Fla. / Dwyer HS",University of Florida,,
75,,73,,Farrell Opoku,Fr.,OL,6-2,340.0,/,,,
76,,74,,Taleem Thompson,Fr.,OL,6-5,290.0,/,,,
77,,75,,Taron Williams,Fr.,OL,6-8,330.0,"Charlotte, N.C. / South Mecklenburg HS",,,
78,,76,,Torricelli Simpkins III,So.,OL,6-5,310.0,"Charlotte, N.C. / Olympic HS",,,
79,,77,,Seven Warren,Fr.,OL,6-3,320.0,"Newport News, Va. / Warwick HS",,,
80,,78,,Jaden McGee,Jr.,OL,6-4,295.0,"Keller, Texas / Fossil Ridge HS",Navarro College,,
81,,79,,Brendin Benoit,Fr.,DL,6-0,240.0,"Playa del Rey, Calif. / Corona HS",,,
82,,80,,Marseille Miller,So.,WR,6-1,170.0,"Jacksonville, N.C. / Northside HS",,,
83,,81,,Tyler Barnes,Sr.,TE,6-4,235.0,"Charlotte, N.C. / West Mecklenburg HS",,,
84,,83,,Luke Bracey,Fr.,TE,6-6,255.0,"Rock Hill, S.C. / Rock Hill HS",,,
85,,83b,,Barry Campbell,R-Sr.,WR,6-3,180.0,"Laurinburg, N.C. / Scotland HS",,,
86,,84,,Kyle Morgan,So.,TE,6-2,230.0,"Holly Springs, N.C. / Holly Springs HS",,,
87,,85,,Chauncey Spikes,Fr.,WR,6-2,200.0,"Burtonsville, Md. / Rock Creek Christian Academy",,,
88,,86,,Tynez Warner,Sr.,WR,5-8,160.0,"Ridgely, Md. / North Caroline HS",,,
89,,87,,Aaron Gilbert,R-Sr.,TE,6-4,270.0,"Upper Marlboro, Md. / St. Vincent Pallotti HS",,,
90,,88,,Joaquin Davis,So.,WR,6-4,190.0,"Durham, N.C. / Charles E. Jordan HS",,,
91,,89,,Adrian Olivo,Jr.,PK,5-10,185.0,"Plant City, Fla. / Armwood HS",,,
92,,90,,Dalvin Hall,So.,DL,6-2,345.0,"Jacksonville, N.C. / Wallace-Rose Hill HS",,,
93,,91,,Christian Smith,So.,DL,6-2,275.0,"Jacksonville, N.C. / Northside HS",,,
94,,92,,Reggie Jarrett,Fr.,DL,6-2,215.0,"Raleigh, N.C. / Broughton HS",,,
95,,93,,Kenneth Royster,So.,DL,6-4,280.0,"Charlotte, N.C. / Rocky River HS",,,
96,,94,,Dajour Dixon,Jr.,DL,6-2,255.0,"Lancaster, Calif. / Antelope Valley HS",College of the Canyons,,
97,,95,,Khalil McLean,Fr.,DL,6-3,255.0,"Angier, N.C. / Harnett Central HS",,,
98,,96,,Kendrick DuJour,Fr.,DL,6-5,230.0,"Jonesboro, Ga. / Mundy's Mill HS",,,
99,,97,,Jaden Taylor,R-So.,DL,6-1,280.0,"Durham, N.C. / Northern Durham HS",Mercer Univ.,,
100,,98,,Jaden Mack,Fr.,DL,6-2,235.0,"Pearland, Texas / Willowridge HS",,,
0,,,,Trei Oliver,,,,,,,,"Head Coach, Football"
1,,,,Matt Leone,,,,,,,,"Assistant Coach, Football (Offensive Coordinator/Quarterbacks)"
2,,,,Courtney Coard,,,,,,,,"Assistant Coach, Football (Defensive Coordinator/Defensive Line)"
3,,,,Cedric Williams,,,,,,,,"Assistant Coach, Football (Run Game Coordinator/Offensive Line)"
4,,,,Pete Bennett,,,,,,,,"Assistant Coach, Football (Special Teams Coordinator/Wide Receivers)"
5,,,,Kevin Maurice,,,,,,,,"Assistant Coach, Football (Recruiting Coordinator/Running Backs)"
6,,,,Claude Clayborne,,,,,,,,"Assistant Coach, Football (Linebackers)"
7,,,,Tony Spencer,,,,,,,,"Assistant Coach, Football (Tight Ends)"
8,,,,Mike Sewell,,,,,,,,"Assistant Coach, Football (Safeties)"
9,,,,Tony McRae,,,,,,,,"Assistant Coach, Football (Cornerbacks)"
10,,,,Dalton Gifford,,,,,,,,"Offensive Assistant, Football"
11,,,,Jamari Tansmore,,,,,,,,"Defensive Assistant, Football"
0,,,,Andrea Perry,,,,,,,,"Director of Operations, Football"
1,,,,Sydney Jordan,,,,,,,,"Operations Assistant, Football"
2,,,,Billy Ruffin,,,,,,,,"Equipment Manager, Football"
3,,,,Christopher Gloetzel,,,,,,,,"Video Coordinator, Football"
