,Statistic,#,Name,C,Cl.,Pos.,Ht.,Wt.,Hometown / High School / Prep (Previous College),Major,Image,Title
31,,25.0,Nate Palanica Jr.,,Jr.,DB,5-11,175.0,"Northampton, Pa. / Bethlehem Catholic",,,
32,,26.0,Nate Casimir,,So.,DB,5-10,180.0,"Ottawa, CA / Clearwater Academy",,,
33,,27.0,Wes Matthews,,Jr.,DB,6-0,190.0,"Upper Marlboro, Md. / DeMatha High School",,,
34,,28.0,Danny Simms,,R-Fr.,S,6-2,205.0,"Bridgeport, Conn. / Saint Thomas More",,,
35,,29.0,Christian Abraham,,So.,DB,5-11,200.0,"Montvale, NJ / St. Joseph Regional",,,
36,,30.0,Mike Brown,,R-Fr.,RB,5-10,210.0,/,,,
37,,31.0,Rajahn Cooper,,R-Fr.,LB,6-0,220.0,"Asbury Park, NJ / Red Bank Catholic",,,
38,,32.0,Ethan Royer,,Jr.,LB,6-1,230.0,"Bowie, Md. / Bullis High School",,,
39,,33.0,Malek Sabri,,Jr.,DL,6-1,250.0,"Damascus, Md. / Damascus High School",,,
40,,35.0,Kevin Hennessey,,Jr.,K,5-9,170.0,"Chelmsford, Mass. / Chelmsford / Bridgton Academy",Business,,
41,,36.0,Cantave Crawford,,Fr.,RB,6-0,190.0,/ King Philip Regional,,,
42,,37.0,Jake Fitzgerald,,R-Fr.,LB,6-0,215.0,"La Cañada, Calif. / Cathedral high school (Los Angeles)",,,
43,,38.0,Shayne Butler,,Sr.,DB,6-0,185.0,"Teaneck, N.J. / Bergen Catholic High School",Finance,,
44,,40.0,Ty Yocum,,So.,H-Back,6-0,240.0,"Reading, PA / Exeter Township",,,
45,,41.0,Ra Baraquat,,So.,LB,6-1,205.0,"Baltimore, Md. / Calvert Hall",,,
46,,42.0,Jared Dunn,,Jr.,H-Back,6-3,230.0,"Sandy Hook, Conn. / Newtown",Data Analytics,,
47,,43.0,ler Neshamah Quarles,,Sr.,H-Back,6-2,225.0,/,,,
48,,44.0,Darell Dorrah,,Jr.,DL,6-2,250.0,"East Orange, N.J. / Bishop George Ahr",Business,,
49,,45.0,Chiebuka Aduaka,,Jr.,DL,6-2,245.0,"Edgewood, Md. / Concordia",Exercise Science,,
50,,46.0,Luke Kelleher,,Jr.,H-Back,6-2,250.0,"Wethersfield, Conn. / Wethersfield / Loomis Chaffee",Exercise Science,,
