,Statistic,#,Name,Pos.,HT.,WT.,Year,Hometown/Previous School,Image,Title
71,,,Josh Austin,DB,6-1,190.0,R-Fr.,"Pinson, Ala. / Alabama",,
72,,,Taron Biles-Walker,WR,5-7,145.0,Fr.,"Columbus, Ohio / Muskingum",,
73,,,Darren Castor,DB,6-0,170.0,R-Fr.,"Brockton, Mass. / Brockton HS",,
74,,,Taevion Clarke,DL,6-4,227.0,R-So.,"Baltimore, Md. / Old Dominion",,
75,,,X'Zavion Evans,RB,5-10,190.0,So.,"Chesapeake, Va. / Lackawanna College",,
76,,,Jordan Griffin,TE,6-7,237.0,R-So.,"Hyattsville, Md. / Bowie State",,
77,,,Tiwian Johnson,OL,6-3,315.0,R-Jr.,"Foley, Ala. / Butler CC",,
78,,,Ruben Lee II,QB,6-1,200.0,R-Fr.,"Moss Point, Miss. / Hinds CC",,
79,,,Keshawn Lynch,DL,6-3,245.0,R-So.,"Newport News, Va. / Old Dominion",,
80,,,Terron Mallory,DB,5-11,188.0,R-Jr.,"New Haven, Conn. / Sacred Heart",,
81,,,Elyjah Mitchell,WR,6-2,185.0,Fr.,"Capital Heights, Md. / Fort Union Military Academy",,
82,,,Aaron Moore,WR,6-0,185.0,Gr.,"Dumfries, Va. / Old Dominion",,
83,,,Erik Queen Jr.,DB,6-0,180.0,R-Fr.,"Baltimore, Md. / Emory & Henry",,
84,,,Kamari Reynolds,LB,6-1,235.0,R-So.,"Virginia Beach, Va. / Wagner",,
85,,,Robert Rhem III,NI,5-10,185.0,Gr.,"Ocala, Fla. / Southern",,
86,,,Oladapo Salimonu,DB,5-10,180.0,R-So.,"Norcross, Ga. / Fort Union Military Academy",,
87,,,Cameron Sapp,QB,6-2,215.0,R-Jr.,"Jacksonville, Fla. / Florida A&M",,
88,,,Brent Stratton,RB,5-10,170.0,R-So.,"Chesapeake, Va. / Nansemond River HS",,
89,,,Mark Wagner II,QB,6-1,180.0,R-Fr.,"Phoebus, Va. / Virginia",,
90,,,Ja'Montae Wallace,WR,6-1,180.0,Fr.,"Chester, Va. / Life Christian Academy",,
91,,,Deonte' Walters,DB,6-0,185.0,R-So.,"Durham, N.C. / Hillside HS",,
92,,,Kamaree Wells,DB,6-2,195.0,Fr.,"Richmond, Va. / Fork Union Military Academy",,
93,,--,De'Shawn Fauntleroy,RB,5-6,190.0,R-Fr.,"Newport News, Va. / Warwick HS",,
94,,--,Kailib Felder,DB,5-9,175.0,R-So.,"Reisterstown, Md. / Franklin HS",,
95,,--,Terique Miles,LB,6-3,237.0,R-So.,"Norfolk, Va. / Palmetto Prep",,
96,,--,Jashaun Morrison,DB,6-0,155.0,R-Fr.,"Manassas, Va. / Unity Reed HS",,
0,,,Dawson Odums,,,,,,,Head Football Coach
1,,,Steve Adams,,,,,,,Assistant Head Coach/Defensive Coordinator/LB Coach
2,,,Ray Pickering,,,,,,,Offensive Coordinator / Quarterbacks Coach
3,,,Vincent Marshall,,,,,,,Wide Receivers Coach/Special Teams Coordinator
4,,,Donovan Tate,,,,,,,Running Backs Coach
5,,,LaQuaid Manago,,,,,,,Tight Ends Coach
6,,,Trumaine Watson,,,,,,,Offensive Line Coach
7,,,Lamont Butler,,,,,,,Defensive Line Coach
8,,,Dwayne Taylor,,,,,,,Cornerbacks Coach
9,,,Jamal Williams,,,,,,,Defensive Assistant
10,,,Hudson Alexander,,,,,,,Offensive Assistant
11,,,Shawn Thomas,,,,,,,Special Teams Assistant
