,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,High School / Prev. School,Image,Title
26,,33,Noah Skobis,DB,5-9,175.0,Sr.,"Downey, Calif.",Orange Coast (Calif.) / Downey HS,,
27,,35,Sox Lee,K,5-9,190.0,Jr.,"Sacramento, Calif.",Sacramento City (Calif.) / Grant Union HS,,
28,,35,Connor Smith,LB,6-1,225.0,Jr.,"Lexington, Ky.",Dunbar HS,,
29,,37,Nathan Hazlett,K,6-2,220.0,R-Jr.,"Danville, Ky.",Danville HS,,
30,,38,Kenneth Shaffner,LB,6-0,223.0,Jr.,"Louisville, Ky.",St. Xavier HS,,
31,,39,Dylan Cook,DB,6-2,205.0,Jr.,"Tucson, Ariz.",Ironwood Ridge HS,,
32,,41,Will Walters,DB,6-2,190.0,So.,"Louisville, Ky.",St. Xavier HS,,
33,,42,Keenan Wolf,LB,6-3,225.0,R-Jr.,"Frresno, Ca.",Fresno City College (Calif.) / Buchanan HS,,
34,,43,Isaac Armstrong,LB,6-2,249.0,Gr.,"Lexington, Ky.",Dunbar HS,,
35,,44,Chaz Geraghty,TE,6-3,220.0,Jr.,"Louisville, Ky.",Holy Cross HS,,
36,,44,Jahleel Holmes,LB,6-2,240.0,Sr.,"Moreno Valley, Calif.",Asuza Pacific / Moreno Valley HS,,
37,,47,Kip Warren,K,6-1,185.0,R-So.,"Mooresville, Nc.",Louisiana Monroe / Lake Norman HS,,
38,,49,Ashton Adams,K/P,5-10,188.0,So.,"Maysville, Ky.",Mason County HS,,
39,,51,Coby Nile,DL,6-2,295.0,Jr.,"Temecula, Calif.",Morgan State / Linfield Christian HS,,
40,,53,Jaxsen Spears,OL,6-2,286.0,Jr.,"Plainfield, Ind.",Plainfield HS,,
41,,54,James Wayne,OL,6-3,273.0,Jr.,"Port Saint Lucie, Fla.",Treasure Coast HS,,
42,,56,Nick Aguilera,DL,6-3,250.0,Sr.,"Hilmar, Calif.",Merced (Calif.) / Hilmar HS,,
43,,58,Noah Benza,DL,6-4,245.0,Jr.,"Hebron, Ky.",Connor HS,,
44,,59,Tyler Rice,DL,6-3,230.0,R-So.,"Brooksville, Ky.",Bracken County HS,,
45,,65,Alan Brown,OL,6-1,288.0,R-So.,"Mobile, Al.",Harding (Ark.) / Mobile Christian HS,,
46,,69,Colton Carmichael,OL/LS,6-2,270.0,So.,"Richfield, Ohio",Revere HS,,
47,,70,Andrew Belford,OL,6-3,300.0,So.,"Chesapeake, Va.",Atlantic Shores Christian HS,,
48,,71,JT Self,OL,6-3,270.0,So.,"Crestwood, Ky.",South Oldham HS,,
49,,73,Corey Shaffer,OL,6-5,335.0,Jr.,"Harpers Ferry, W.Va.",Jefferson HS,,
50,,74,Joe Cannedy,OL,6-7,270.0,So.,"Zionsville, Ind.",Zionsville HS,,
51,,76,Zach Tong,OL,6-6,315.0,So.,"Middlesboro, Ky.",Middlesboro HS,,
52,,78,Tommy Wright,OL,6-2,270.0,Jr.,"Winchester, Ky.",George Rogers Clark HS,,
53,,80,Nicholas Dottore,TE,6-1,220.0,Jr.,"Chagrin Falls, Ohio",Akron / St. Edward HS,,
54,,81,Caleb Tillman,WR,6-3,,So.,"Birmingham, Al.",Butler CC (Kan.) / Huffman HS,,
55,,82,Harrison Cohen,TE,6-0,215.0,R-Jr.,"Fort Mill, S.C.",Jacksonville / Nation Ford HS,,
56,,83,Isaiah Davis,WR,5-10,175.0,R-Jr.,"Ft. Worth, Texas",Abilene Christian / Chisolm Trail HS,,
57,,84,Naythan Mulugeta,WR,6-2,185.0,Sr.,"Los Angeles, Calif.",East Los Angeles (Calif.) / Venice HS,,
58,,87,Trevon Kleint,WR,6-0,185.0,Jr.,"Broken Arrow, Okla.",Northeastern Oklahoma A&M / Broken Arrow HS,,
59,,88,Shyhiem Drew,WR,6-4,215.0,So.,"Lexington, Ky.",Dunbar HS,,
60,,94,Jake Lambden,DL,6-2,240.0,Jr.,"Kapaa, Hawaii",Santa Barbara College (Calif.) / Kapaa HS,,
61,,99,Wilson McCraw,DL,6-5,285.0,R-Jr.,"Homewood, Ala.",Homewood HS,,
62,,--,VJ Anthony,TE,6-2,230.0,Jr.,"Louisville, Ky.",Hanover (Ind.) / Male HS,,
63,,--,Nate Boehm,WR,6-0,190.0,R-So.,"Warner Robins, Ga.",Mercer / Veterans HS,,
64,,--,Nick Chrest,DB,5-10,180.0,R-So.,"Cypress, Texas",Sam Houston / Cy-Fair HS,,
65,,--,Britt Eakins,RB,6-0,195.0,Fr.,"New Oxford, Pa.",New Oxford HS,,
66,,--,Torbyn Eakins,OL,6-5,245.0,Jr.,"New Oxford, Pa.",Seton Hill (Pa.) / New Oxford HS,,
67,,--,Benjamin Haywood III,DB,6-2,190.0,Jr.,"Ft. Myers, Fla.",College of the Sequoias (Calif.) / Cape Coral HS,,
68,,--,Paul O'Brien,DL,6-3,305.0,Jr.,"Yuba City, Calif.",Yuba City CC (Calif.) / Sutter Union HS,,
69,,--,Will Paar,TE,6-4,215.0,R-So.,"Louisville, Ky.",Louisville / Christian Academy,,
70,,--,Hayden Peterson,DB,6-0,190.0,Jr.,"Clovis, Calif.",Fresno City College (Calif.) / Buchanan HS,,
71,,--,Zane Porter,DB,6-3,200.0,R-So.,"Ceredo, W.Va.",Marshall / Spring Valley HS,,
72,,--,Caleb Ramseur,RB,5-11,195.0,Jr.,"Elk Grove, Calif.",Butte College (Calif.) / Monterey Trail HS,,
73,,--,Thomas Schwartz,K,6-1,175.0,R-Fr.,"Treynor, Iowa",Iowa Western / Treynor HS,,
74,,--,Bradley West,WR,5-9,170.0,R-So.,"Louisville, Ky.",Louisville / Trinity HS,,
75,,--,Logan Wong,OL,6-5,300.0,Jr.,"Modesto, Calif.",Modesto College (Calif.) / Thomas Downey HS,,
0,,,Rob Tenyer,,,,,,,,Head Coach/Offensive Coordinator
1,,,Andrew Strobel,,,,,,,,Defensive Coordinator/Linebackers
2,,,DJ White,,,,,,,,Safeties
3,,,Andrew Soucy,,,,,,,,Defensive Line
4,,,Tom Ross,,,,,,,,Quarterbacks/Director of Video
5,,,Valin Kattoula,,,,,,,,Tight Ends
6,,,David Brubaker,,,,,,,,Director of Football Administration/Asst. Offensive Line
