,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown,Previous School,Name,Title
24,,,24.0,Chris Hunter,LB,6-1,230.0,R-Jr.,"Knoxville, Tenn.",Army Prep,,
25,,,25.0,Isaiah Abdullah,LB,6-3,220.0,R-Jr.,"Los Angeles, Calif.",Wyoming,,
26,,,26.0,Tyler Pugh,S,5-10,170.0,R-So.,"Loganville, Ga.",Grayson HS,,
27,,,27.0,Terayon Sweet,RB,5-11,200.0,R-So.,"San Bernardino, Calif.",Winner Circle Athletics Prep,,
28,,,28.0,Vincent Guy,CB,6-0,180.0,R-Jr.,"Memphis, Tenn.",Whitehaven HS,,
29,,,29.0,Kaleb Almo,CB,6-0,190.0,So.,"Memphis, Tenn.",PURE Youth Athletics Alliance,,
30,,,30.0,Orlandis Williamson,CB,5-10,170.0,R-So.,"Milan, Tenn.",Milan HS,,
31,,,31.0,De'Andre Kelly,RB,6-0,200.0,R-Fr.,"South Pittsburg, Tenn.",South Pittsburg HS,,
32,,,31.0,LaMarion Pierce,CB,6-0,175.0,R-Fr.,"Lewisburg, Tenn.",Marshall County HS,,
33,,,32.0,Bryce Dailey,JACK,6-4,245.0,R-Fr.,"Memphis, Tenn.",Christian Brothers HS,,
34,,,34.0,Jadien Deaton,RB,6-0,200.0,R-Jr.,"New Albany, Miss.",Northeast Mississippi CC,,
35,,,36.0,Shamari Weir,LB,6-0,220.0,R-So.,"Fort Lauderdale, Fla.",Coconut Creek HS,,
36,,,38.0,Wyatt Gilbert,S,5-11,180.0,R-So.,"Fairfield, Ill.",Fairfield HS,,
37,,,38.0,Ed Osley,RB,6-0,200.0,R-Fr.,"Birmingham, Ala.",Clay-Chalkville HS,,
38,,,38.0,Cam Robertson,S,6-1,190.0,R-Fr.,"Memphis, Tenn.",Whitehaven HS,,
39,,,39.0,Khalik Ganaway,RB,5-8,175.0,R-Fr.,"Trenton, Tenn.",Peabody HS,,
40,,,41.0,AJ Robinson Jr.,S,5-10,180.0,R-Fr.,"Memphis, Tenn.",Whitehaven HS,,
41,,,42.0,Austin Bray,TE,6-6,230.0,So.,"Venice, Fla.",Venice HS,,
