,Statistic,Image,#,Full Name,C,Pos.,Ht.,Wt.,Year,Hometown,High School,Previous School,Major,Facebook,Instagram,Twitter,Name,Title
69,,,57.0,Christian Jolley,,LB,6-3,211.0,R-Jr.,"Spring Hill, TN",Summit,,Marketing,christian.jolley.50,cjolleyy,cjolleyy,,
70,,,59.0,Brysson Stouffer,,DE,6-1,210.0,Fr.,"Miami, FL",Columbus,,,,,,,
71,,,60.0,Kyle Lofye,,OL,6-4,323.0,Fr.,"Frisco, TX",Lone Star,,,,,,,
72,,,61.0,Chad Staley,,OL,6-2,250.0,Fr.,"Tampa, FL",Berkeley Prep,,,,,,,
73,,,62.0,James Rhodes,,OL,6-1,292.0,R-So.,"Orange Park, FL",Orange Park,,Business Systems Analytics,,rhoscholar,JamesRh10031249,,
74,,,63.0,Rowan Collins,,OL,6-1,290.0,Fr.,"Jacksonville, FL",Christ's Church Academy,,Business and Family Enterprise,,Rowanc_53,Rowancollins10,,
75,,,64.0,Zachary Thomas,,OL,6-3,312.0,So.,"Grand Ridge, FL",Sneads,,Business Administration,,_zaaccchhhh__,Zach_thomas55,,
76,,,65.0,Steven Godwin,,OL,6-1,276.0,R-Jr.,"Neptune Beach, FL",Providence School,,Health Science,,godwinsteven22,godwinsteven22,,
77,,,66.0,Dawson Harrington,,OL,6-7,294.0,So.,"Olathe, KS",Olathe South,,Computer Science,,dawson.harrington,d_harrington73,,
78,,,68.0,Connor Lenczden,,OL,6-7,300.0,R-So.,"Wesley Chapel, FL",Wiregrass Ranch,,Discovery,connor.lenczden,itismeconnor,connor_lenczden,,
79,,,70.0,Avery Samuels,,OL,6-3,322.0,R-Jr.,"Mt. Airy, PA",Germantown Academy,,Psychology,avery.samuels.9066,_averysamuels_,AverySamuels79,,
80,,,71.0,Kyle Gilliland,,OL,6-7,297.0,R-So.,"Cooper City, FL",St. Thomas Aquinas,,Management,,,Gilliland_71,,
81,,,73.0,Steven Mauro,,OL,6-3,283.0,Fr.,"Stormville, NY",John Jay,Bridgton Academy,,,,,,
82,,,74.0,Eric Brust,,OL,6-3,312.0,Fr.,"Palmetto, FL",Palmetto,,,,,,,
83,,,76.0,Michael Terry,,OL,6-3,276.0,Fr.,"Frisco, TX",Lone Star,,,,,,,
84,,,77.0,Andrew Nadolski,,OL,6-4,294.0,Gr.,"Scottsdale, AZ",Notre Dame Prep,,MBA,andrew.n212121,andrewnadolski,nadolski_andrew,,
85,,,79.0,Logan Wylie,,OL,6-1,294.0,Fr.,"St. Johns, FL",Bartram Trail,,,,,,,
86,,,80.0,Jalen Evans,,WR,5-10,186.0,So.,"Jacksonville, FL",First Coast,,Health Sciences,jalen.evans.3192,,jalenevans2x,,
87,,,81.0,Michael Carley,,WR,6-4,207.0,R-So.,"Melbourne, FL",Melbourne Central Catholic,,Health Sciences,,mikecarley11,MichaelCarley13,,
88,,,82.0,Andrew Tabor,,WR,5-9,188.0,Fr.,"Jacksonville, FL",Bisjop Kenny,,,,andrewtabor,andrewtabor22,,
89,,,83.0,Aanjay Feliciano,,WR,6-2,193.0,Fr.,"Robesonia, PA",Conrad Weiser,,,,,,,
90,,,84.0,Charlie King,,WR,6-2,191.0,So.,"Wheaton, IL","Warrenville, South",DuPage,,,charlieking.11,charlieking1211,,
91,,,85.0,Argjent Ismaili,,WR,6-1,199.0,So.,"Kenosha, WI",Indian Trail Academy,,,,argjent.ismaili,RjIsmaili,,
92,,,87.0,Javaris Young,,WR,6-3,203.0,So.,"Fort Walton Beach, FL",Choctawhatchee,,Cyber Security,,javarisyk,JavarisYoung2,,
93,,,88.0,Gabe Atkin,,WR,6-1,195.0,Jr.,"Fulshear, TX",Tompkins,Houston Baptist/Texas State,,,gabeatkin,gabeatkinn,,
94,,,89.0,Blakely Tyer,,WR,6-3,190.0,Fr.,"Pace, FL",Pace,,,,,,,
95,,,90.0,Tyler Lewis,,DT,6-1,290.0,R-So.,"Palm Springs, FL",Suncoast Community,,Business Administration,,_tyler.d1,@tylewis910,,
96,,,90.0,Matthew Richardson,,TE,6-3,217.0,So.,"Winter Garden, FL",Windermere,,Business Administration,,matty.12way,Matthew_RichJ,,
97,,,94.0,Ezekiel Romero,,NT,6-2,249.0,Fr.,"Jacksonville, FL",Bartram Trail,,,,,,,
98,,,95.0,Rohan Goulbourne,,NT,6-1,264.0,Fr.,"Tallahassee, FL",Linicoln,,,,,,,
99,,,96.0,Daniel Marsh,,DE,6-5,190.0,Fr.,"Miami, FL",Northwestern,,,,_marsh13,danielm55996464,,
100,,,97.0,Chase Washington,,NT,6-1,265.0,Fr.,"Alpharetta, GA",Chattahoochee,,,,,,,
101,,,98.0,Josh Hughes,,DT,6-1,230.0,R-So.,"Keystone Heights, FL",Keystone Heights,,Computer Science,joshhughesjr,joshhughesjr,joshhughesjr,,
102,,,99.0,Mac Neviaser,,DL,6-4,330.0,R-So.,"Essex, CT",Valley Regional,Avon Old Farms,Mathematics,,MacNeviaser,MacNeviaser,,
103,,,,Moise Satine,,RB,5-9,165.0,R-Sr.,"Avon Park, FL",Avon Park,Samford,MBA,,Moesatine_90,MoeSatine2,,
0,,,,,,,,,,,,,,,,,Brian Young,Head Coach
