,Statistic,#,Full Name,Pos.,Eligibility,Ht.,Wt.,Hometown / High School,Previous School,Image,Name,Title
78,,75.0,Stephane Voltaire,OL,R-Fr.,6-5,295.0,"Marion, Mass. / Tabor Academy",,,,
79,,60.0,Jacob Walton,OL,Sr.,6-3,290.0,"Lansdale, Pa. / North Penn",,,,
80,,4.0,Connor Watkins,QB,Jr.,6-3,225.0,"Williamsport, Pa. / Loyalsock Twp.",,,,
81,,0.0,Isas Waxter,DB,Sr.,6-2,215.0,"Newark, N.J. / Immaculate Conception",,,,
82,,89.0,James Welde,TE,R-Fr.,6-4,240.0,"Havertown, Pa. / Monsignor Bonner",,,,
83,,63.0,Quin Whalen,OL,Fr.,6-4,255.0,"Chalfont, Pa. / Central Bucks West",,,,
84,,58.0,Ben Wheless,LS,So.,5-11,220.0,"Raleigh, N.C. / Cardinal Gibbons",,,,
85,,0.0,Tyler Will,TE,Gr.,6-1,255.0,"Newtown Square, Pa. / Episcopal",,,,
86,,36.0,Isaiah Wright,RB,Fr.,5-8,185.0,"Douglassville, Pa. / Malvern Prep",,,,
87,,22.0,Jon Wyatt,DB,Fr.,6-2,175.0,"Somerset, N.J. / St. Thomas Aquinas",,,,
88,,94.0,Garrett Zobel,DL,Sr.,6-2,295.0,"Hatfield, Pa. / La Salle",,,,
0,,,,,,,,,,,Mark Ferrante,Head Coach
1,,,,,,,,,,,Chris Boden,Assistant Coach (Offensive Coordinator/Quarterbacks)
2,,,,,,,,,,,Ross Pennypacker,Assistant Coach (Defensive Coordinator/Defensive Line)
3,,,,,,,,,,,Sean Devine,Assistant Coach (Offensive Run Game Coordinator/Offensive Line)
4,,,,,,,,,,,David Riede,Assistant Coach (Recruiting Coordinator/Linebackers)
5,,,,,,,,,,,Nate Pagan,Assistant Coach (Wide Receivers)
6,,,,,,,,,,,Matt Colangelo,Assistant Coach (Special Teams Coordinator/Safeties)
7,,,,,,,,,,,Josh Fletcher,Assistant Coach (Running Backs)
8,,,,,,,,,,,Dustin Johnson,Assistant Coach (Cornerbacks)
9,,,,,,,,,,,Lachlan Kline,Offensive Assistant (Tight Ends)
10,,,,,,,,,,,Pat Crowley,Defensive Assistant
11,,,,,,,,,,,TJ Landis,Coordinator Of Football Video Operations & Administrative Services
12,,,,,,,,,,,Tyler Waite,Athletic Trainer
13,,,,,,,,,,,Mike Tucker,Strength & Conditioning
